,claim,simple_sentence,truth_value,source
2641,Zelenskyi submitted to the Verkhovna Rada draft laws on the extension of martial law and general mobilization in Ukraine,Zelenskyi submitted to the Verkhovna Rada draft laws on the extension of martial law. Zelenskyi submitted to the Verkhovna Rada draft laws on general mobilization in Ukraine. ,meter-true,nrpublic
2642,The village of Solokha in the Bilhorod district was shelled by Ukraine. There is information about one victim - Governor Gladkov.,The village of Solokha in the Bilhorod district was shelled by Ukraine. There is information about one victim - Governor Gladkov.,meter-true,nrpublic
2643,"Zaporizhzhia NPP will work for Russia, but is ready to supply electricity to Ukraine for a fee - Deputy Prime Minister Marat Khusnullin.",Zaporizhzhia NPP will work for Russia . Zaporizhzhia NPP is ready to supply electricity to Ukraine for a fee - Deputy Prime Minister Marat Khusnullin . ,meter-true,nrpublic
2644,Ukrainian troops shelled the villages of Tyotkine and Oleksiivka - the governor of the Kursk region,Ukrainian troops shelled the villages of Tyotkine Oleksiivka - the governor of the Kursk region. ,meter-true,nrpublic
2645,"Biden will sign a decree on the allocation of $100 million in additional aid to Ukraine within a few hours The new package includes radars and artillery ammunition, sources told Reuters.",Biden will sign a decree on the allocation of $ 100 million in additional aid to Ukraine within a few hours The new package includes radars artillery ammunition  sources told Reuters . ,meter-true,nrpublic
2646,NATO will support Ukraine as long as necessary - the head of the NATO military committee,NATO will support Ukraine as long as necessary - the head of the NATO military committee,meter-true,nrpublic
2647,The US Congress approved the allocation of $40 billion in aid to Ukraine,The US Congress approved the allocation of $40 billion in aid to Ukraine,meter-true,nrpublic
2648,"The new package of US military aid to Ukraine includes 36 counter-battery radars and 18 howitzers, the shipment of these weapons will begin immediately, the Pentagon said.",The new package of US military aid to Ukraine includes 36 counter-battery radars  the shipment of these weapons will begin immediately  the Pentagon said . The new package of US military aid to Ukraine includes 18 howitzers  the shipment of these weapons will begin immediately  the Pentagon said . ,meter-true,nrpublic
2649,"In the Zhytomyr region of Ukraine, in addition to trenches, concrete blocks have begun to be erected along the entire border with Belarus, Zhytomyr mayor Serhiy Sukhomlin said.","In the Zhytomyr region of Ukraine, in addition to trenches, concrete blocks have begun to be erected along the entire border with Belarus, Zhytomyr mayor Serhiy Sukhomlin said.",meter-true,nrpublic
2650,"President of Ukraine Zelenskyi is being asked to rename all Pushkin streets in the country in honor of the writer Stephen King, a petition about this has appeared on the president's website.","President of Ukraine Zelenskyi is being asked to rename all Pushkin streets in the country in honor of the writer Stephen King, a petition about this has appeared on the president's website.",meter-true,nrpublic
2651,Putin pointed out to Governor Alikhanov the inappropriateness of attempts to link the decline in construction in the Kaliningrad region with the situation due to a special military operation in Ukraine.,Putin pointed out to Governor Alikhanov the inappropriateness of attempts to link the decline in construction in the Kaliningrad region with the situation due to a special military operation in Ukraine.,meter-true,nrpublic
2652,Biden signed a bill on the allocation of 40 billion dollars to help Ukraine,Biden signed a bill on the allocation of 40 billion dollars to help Ukraine,meter-true,nrpublic
2653,"The governor of Kursk reported that the shelling from the territory of Ukraine had subsided, the main impact fell on the village of Popovo-Lezhachi, there were no casualties or serious damage",The governor of Kursk reported that the shelling from the territory of Ukraine had subsided  the main impact fell on the village of Popovo-Lezhachi  there were no casualties. The governor of Kursk reported that the shelling from the territory of Ukraine had subsided  the main impact fell on the village of Popovo-Lezhachi  there were serious damage. ,meter-true,nrpublic
2654,"The American Embassy in Ukraine published a photoshop of Repin's ""Zaporozhets"" painting, adding to it Biden, who is signing the law on providing aid to Kyiv in the amount of $40 billion.","The American Embassy in Ukraine published a photoshop of Repin's ""Zaporozhets"" painting, adding to it Biden, who is signing the law on providing aid to Kyiv in the amount of $40 billion.",meter-true,nrpublic
2655,President of Poland Andrzej Duda arrived in Kyiv. Today he will speak in the Verkhovna Rada of Ukraine,,meter-true,nrpublic
2656,"The President of Ukraine, Volodymyr Zelenskyi, announced a bill on the special legal status of Polish citizens in Ukraine. The details of the bill are currently unknown.","The President of Ukraine, Volodymyr Zelenskyi, announced a bill on the special legal status of Polish citizens in Ukraine. The details of the bill are currently unknown.",meter-true,nrpublic
2657,Verkhovna Rada voted to extend martial law and mobilization in Ukraine for 90 days - until August 23,Verkhovna Rada voted to extend martial law mobilization in Ukraine for 90 days - until August 23. Verkhovna Rada voted to extend law mobilization in Ukraine for 90 days - until August 23. ,meter-true,nrpublic
2658,France does not want Russia to win in Ukraine — French Foreign Ministry,France does not want Russia to win in Ukraine — French Foreign Ministry,meter-true,nrpublic
2659,"President of Ukraine Volodymyr Zelenskyi, speaking in the Verkhovna Rada, announced the agreement reached with the leadership of Poland to simplify border crossing between the countries","President of Ukraine Volodymyr Zelenskyi, speaking in the Verkhovna Rada, announced the agreement reached with the leadership of Poland to simplify border crossing between the countries",meter-true,nrpublic
2660,"The process of possible accession of Ukraine to the EU will probably take ""15 or 20 years"" - Minister-delegate at the Ministry of Foreign Affairs of France",The process of possible accession of Ukraine to the EU will probably take `` 15 years '' - Minister-delegate at the Ministry of Foreign Affairs of France. The process of possible accession of Ukraine to the EU will probably take `` 20 years '' - Minister-delegate at the Ministry of Foreign Affairs of France. ,meter-true,nrpublic
2661,Crimea's Deputy Ambassador Muradov said that Ukraine will not survive within its current borders,Crimea's Deputy Ambassador Muradov said that Ukraine will not survive within its current borders,meter-true,nrpublic
2662,"President of Poland Duda hugged Zelensky I will not rest until Ukraine becomes a full member of the EU, because Ukraine is the face of Europe! Defender of the big European family!",President of Poland Duda hugged Zelensky I will not rest until Ukraine becomes a full member of the EU  !. President of Poland Duda hugged Zelensky I will not rest until Ukraine is the face of Europe ! Defender of the big European family !. ,meter-true,nrpublic
2663,The Verkhovna Rada of Ukraine approved a bill banning the use of the symbols Z and V in the country,The Verkhovna Rada of Ukraine approved a bill banning the use of the symbols Z V in the country. The Verkhovna Rada of Ukraine approved a bill banning the use of symbols Z V in the country. ,meter-true,nrpublic
2664,YouTube removed more than 70 thousand videos and blocked nine thousand channels for violating the requirements for content related to the situation in Ukraine — The Guardian,YouTube removed more than 70 thousand videos. YouTube blocked nine thousand channels for violating the requirements for content related to the situation in Ukraine -- The Guardian. ,meter-true,nrpublic
2665,Freezing negotiations with Russia is an initiative of Ukraine,Freezing negotiations with Russia is an initiative of Ukraine,meter-true,nrpublic
2666,The Solomyan court of Kyiv sentenced Russian serviceman Vadym Shishimarin to life imprisonment. He was accused of murdering an unarmed resident of Ukraine.,The Solomyan court of Kyiv sentenced Russian serviceman Vadym Shishimarin to life imprisonment. He was accused of murdering an unarmed resident of Ukraine.,meter-true,nrpublic
2667,"G7 is considering seizing Russian assets to help rebuild Ukraine, German finance minister says Canada is already preparing national legislation to do so","G7 is considering seizing Russian assets to help rebuild Ukraine, German finance minister says Canada is already preparing national legislation to do so",meter-true,nrpublic
2668,"UEFA showed the ball of the Champions League final, which was supposed to be held in St. Petersburg, but due to the situation in Ukraine, it was moved to France. It has the inscription ""Peace"" in Russian and English","UEFA showed the ball of the Champions League final, which was supposed to be held in St. Petersburg, but due to the situation in Ukraine, it was moved to France. It has the inscription ""Peace"" in Russian and English",meter-true,nrpublic
2669,"Roskomnadzor, following the decision of the Prosecutor General's Office, blocked the publications ""Ot tak"", ""Sukhumi.info"", ""Telegraf. by"" and ""Interfax-Ukraine""",Roskomnadzor  following the decision of the Prosecutor General 's Office  blocked the publications Ot tak ''  `` Sukhumi.info ''  `` Telegraf . by Roskomnadzor  following the decision of the Prosecutor General 's Office  blocked the publications ``. Roskomnadzor  following the decision of the Prosecutor General 's Office  blocked the publications Interfax-Ukraine. Roskomnadzor  following the decision of the Prosecutor General 's Office  blocked the publications ''. ,meter-true,nrpublic
2670,"The Security Service of Ukraine summoned Avakov, Turchynov, Yatsenyuk for questioning in the case of Poroshenko and Medvedchuk — mass media",The Security Service of Ukraine summoned Avakov  Turchynov  Yatsenyuk for questioning in the case of Poroshenko -- mass media. The Security Service of Ukraine summoned Avakov  Turchynov  Yatsenyuk for questioning in the case of Medvedchuk -- mass media. ,meter-true,nrpublic
2671,"Tomorrow, the ""yellow"" level of terrorist danger will be canceled in the Voronezh region. On April 11, it was introduced in two districts bordering Ukraine: Kantemirivskyi and Rossoshanskyi",Tomorrow  the `` yellow '' level of terrorist danger will be canceled in the Voronezh region . On April 11  it was introduced in two districts bordering Ukraine : Kantemirivskyi Tomorrow  the `` yellow '' level of terrorist danger will be canceled in the Voronezh region . On April 11  it was introduced in two districts bordering Ukraine : Rossoshanskyi ,meter-true,nrpublic
2672,"The governor of the Belgorod region reports on the shelling of the village of Zhuravlivka from the side of Ukraine, 5 houses were damaged, and there is a casualty.",The governor of the Belgorod region reports on the shelling of the village of Zhuravlivka from the side of Ukraine  5 houses were damaged. There is a casualty. . ,meter-true,nrpublic
2673,The prospect of a nuclear conflict in Ukraine has become possible — UN Office for the Coordination of Humanitarian Affairs,The prospect of a nuclear conflict in Ukraine has become possible — UN Office for the Coordination of Humanitarian Affairs,meter-true,nrpublic
2674,The United States will not lift sanctions against Russia in response to promises to export grain from Ukraine — the State Department,The United States will not lift sanctions against Russia in response to promises to export grain from Ukraine — the State Department,meter-true,nrpublic
2675,President of Ukraine Zelenskyi said that Russia is using the global food crisis as a weapon: the world must prevent a large-scale famine,President of Ukraine Zelenskyi said that Russia is using the global food crisis as a weapon: the world must prevent a large-scale famine,meter-true,nrpublic
2676,"From June 1 to August 31, Belarus limits the stay of citizens in the border zone in three areas near the border with Ukraine — State Border Committee","From June 1 to August 31, Belarus limits the stay of citizens in the border zone in three areas near the border with Ukraine — State Border Committee",meter-true,nrpublic
2677,"Poroshenko was not released from Ukraine. He intended to go to the NATO Parliamentary Assembly, reports Iryna Gerashchenko.","Poroshenko was not released from Ukraine. He intended to go to the NATO Parliamentary Assembly, reports Iryna Gerashchenko.",meter-true,nrpublic
2678,The number of refugees from Ukraine exceeded the mark of 6.7 million people,The number of refugees from Ukraine exceeded the mark of 6.7 million people,meter-true,nrpublic
2679,"Putin stated that the ""pumping"" of Ukraine with weapons is dangerous and, in this connection, warned of the risks of ""further destabilization of the situation and aggravation of the humanitarian crisis.""","Putin stated that the ""pumping"" of Ukraine with weapons is dangerous and, in this connection, warned of the risks of ""further destabilization of the situation and aggravation of the humanitarian crisis.""",meter-true,nrpublic
2680,"Macron and Scholz called on Putin to stop hostilities, go to direct negotiations with Ukrainian President Volodymyr Zelenskyi and find a diplomatic solution to the conflict.","Macron and Scholz called on Putin to stop hostilities, go to direct negotiations with Ukrainian President Volodymyr Zelenskyi and find a diplomatic solution to the conflict.",meter-true,nrpublic
2681,"The Minister of Defense of Ukraine, Oleksiy Reznikov, called on the West to speed up decision-making regarding the supply of armored vehicles and air defense systems.",The Minister of Defense of Ukraine  Oleksiy Reznikov  called on the West to speed up decision-making regarding the supply of armored vehicles . The Minister of Defense of Ukraine  Oleksiy Reznikov  air defense systems . ,meter-true,nrpublic
2682,"The Kalush Orchestra sold the prize for winning Eurovision 2022. The crystal microphone was bought by the WhiteBIT team for $900,000 at a charity auction. The money raised will go to help Ukraine","The Kalush Orchestra sold the prize for winning Eurovision 2022. The crystal microphone was bought by the WhiteBIT team for $900,000 at a charity auction. The money raised will go to help Ukraine",meter-true,nrpublic
2683,Additional troops were sent to the border of the Kursk region after shelling from Ukraine - the governor,Additional troops were sent to the border of the Kursk region after shelling from Ukraine - the governor,meter-true,nrpublic
2684,Ex-President of Ukraine Petro Poroshenko left Ukraine on the third attempt - Ukrainian truth,Ex-President of Ukraine Petro Poroshenko left Ukraine on the third attempt - Ukrainian truth,meter-true,nrpublic
2685,Biden said that the United States will not supply Ukraine with missile systems capable of striking Russia.,Biden said that the United States will not supply Ukraine with missile systems capable of striking Russia.,meter-true,nrpublic
2686,"Turkish President Erdoğan offered Putin to hold a meeting between the delegations of Russia, Ukraine and the UN in Istanbul",Turkish President Erdoğan offered Putin to hold a meeting between the delegations of Russia in Istanbul. Turkish President Erdoğan offered Putin to hold a meeting between the delegations of Ukraine in Istanbul. Turkish President Erdoğan offered Putin to hold a meeting between the delegations of the UN in Istanbul. ,meter-true,nrpublic
2687,"Putin signed a decree on the simplified admission of orphans from the DPR, LPR and Ukraine to Russian citizenship",Putin signed a decree on the simplified admission of orphans from the DPR to Russian citizenship. Putin signed a decree on the simplified admission of orphans from LPR to Russian citizenship. Putin signed a decree on the simplified admission of orphans from Ukraine to Russian citizenship. ,meter-true,nrpublic
2688,"Federal Chancellor Scholz: Ukraine must decide for itself what terms of peace with Russia it will accept - it is on such agreements, and not on those imposed from the outside, that the further sanctions regime of the West will depend",Federal Chancellor Scholz : Ukraine must decide for itself what terms of peace with Russia it will accept - it is on such agreements. Not on those imposed from the outside  that the further sanctions regime of the West will depend. ,meter-true,nrpublic
2689,The Verkhovna Rada of Ukraine removed the ombudsman Denisova from her post,The Verkhovna Rada of Ukraine removed the ombudsman Denisova from her post,meter-true,nrpublic
2690,"Washington will provide Kyiv with weapons for defense within the borders of Ukraine, but not beyond its borders - the US ambassador to the UN",Washington will provide Kyiv with weapons for defense within the borders of Ukraine - the US ambassador to the UN. Washington will provide Kyiv with weapons for defense not - the US ambassador to the UN. Washington will provide Kyiv with weapons for defense beyond its borders - the US ambassador to the UN. ,meter-true,nrpublic
2691,"In an interview with an American TV channel, Zelensky said that Ukraine loses 60-100 soldiers killed and about 500 wounded every day.",In an interview with an American TV channel  Zelensky said that Ukraine loses 60-100 soldiers killed . In an interview with an American TV channel  Zelensky said that Ukraine loses 60-100 soldiers about 500 . In an interview with an American TV channel  Zelensky said that Ukraine loses 60-100 soldiers wounded every day . ,meter-true,nrpublic
2692,Russia informed the OPCW about the preparation of Ukraine's provocations with the possible use of chemical substances,Russia informed the OPCW about the preparation of Ukraine's provocations with the possible use of chemical substances,meter-true,nrpublic
2693,Switzerland vetoed Denmark's shipment of Swiss-made armored personnel carriers to Ukraine Denmark planned to send about 20 Piranha III infantry fighting vehicles to Ukraine.,Switzerland vetoed Denmark's shipment of Swiss-made armored personnel carriers to Ukraine Denmark planned to send about 20 Piranha III infantry fighting vehicles to Ukraine.,meter-true,nrpublic
2694,The Ukrainian military will need three weeks to master the American MLRS handed over to them - Pentagon,The Ukrainian military will need three weeks to master the American MLRS handed over to them - Pentagon,meter-true,nrpublic
2695,"Zelenskyi claims that there is potential for a ""tipping point"" in the conflict in Ukraine","Zelenskyi claims that there is potential for a ""tipping point"" in the conflict in Ukraine",meter-true,nrpublic
2696,"The National Bank of Ukraine raised the key rate to a record - immediately by 15 percentage points, from 10% to 25%.","The National Bank of Ukraine raised the key rate to a record - immediately by 15 percentage points, from 10% to 25%.",meter-true,nrpublic
2697,"Matvienko: Russia will not persuade Ukraine to participate in negotiations, they are possible on Moscow's terms","Matvienko: Russia will not persuade Ukraine to participate in negotiations, they are possible on Moscow's terms",meter-true,nrpublic
2698,Medvedchuk faces up to 15 years in prison in Ukraine - State Bureau of Investigation,Medvedchuk faces up to 15 years in prison in Ukraine - State Bureau of Investigation,meter-true,nrpublic
2699,"Ukraine, Turkey, Russia and the UN have prepared a ""road map"" that will ensure the operation of a safe corridor for the export of agricultural products from Ukrainian ports, the Turkish news agency ""Anadolu"" reports.",Ukraine have prepared a `` road map '' that will ensure the operation of a safe corridor for the export of agricultural products from Ukrainian ports  the Turkish news agency `` Anadolu '' reports . Turkey have prepared a `` road map '' that will ensure the operation of a safe corridor for the export of agricultural products from Ukrainian ports  the Turkish news agency `` Anadolu '' reports . Russia have prepared a `` road map '' that will ensure the operation of a safe corridor for the export of agricultural products from Ukrainian ports  the Turkish news agency `` Anadolu '' reports . The UN have prepared a `` road map '' that will ensure the operation of a safe corridor for the export of agricultural products from Ukrainian ports  the Turkish news agency `` Anadolu '' reports . ,meter-true,nrpublic
2700,"Roskomnadzor demands that ""Wikipedia"" delete the articles ""Battles for Kharkiv (2022)"" and ""Use of phosphorus bombs during the Russian invasion of Ukraine"".",Roskomnadzor demands that `` Wikipedia '' delete the articles `` Battles for Kharkiv -LRB- 2022 -RRB- '' . Roskomnadzor demands that `` Use of phosphorus bombs during the Russian invasion of Ukraine '' . ,meter-true,nrpublic
2701,"Right now, the wooden All Saints hermitage of the Sviatohirskaya Lavra of the Ukrainian Orthodox Church of the Moscow Patriarchate is burning","Right now, the wooden All Saints hermitage of the Sviatohirskaya Lavra of the Ukrainian Orthodox Church of the Moscow Patriarchate is burning",meter-true,nrpublic
2702,"Putin commented for the first time on the US decision to send new weapons to Ukraine. We are cracking them like nuts, dozens have been destroyed, Putin said.","Putin commented for the first time on the US decision to send new weapons to Ukraine. We are cracking them like nuts, dozens have been destroyed, Putin said.",meter-true,nrpublic
2703,"Pope Francis confirmed his desire to visit Ukraine, noting that he is waiting for the right moment","Pope Francis confirmed his desire to visit Ukraine, noting that he is waiting for the right moment",meter-true,nrpublic
2704,The authorities of Ukraine are ready to resume the national football championship in August,The authorities of Ukraine are ready to resume the national football championship in August,meter-true,nrpublic
2705,"Putin signed a decree that the members of the families of the Russian Guards who died in the DPR, LPR, Ukraine and Syria will receive 5 million rubles each","Putin signed a decree that the members of the families of the Russian Guards who died in the DPR, LPR, Ukraine and Syria will receive 5 million rubles each",meter-true,nrpublic
2706,Zelenskyi said that Ukraine is not ready to export grain through Belarus,,meter-true,nrpublic
2707,"The government of Ukraine supported the bill on the legalization of medical cannabis, the country's health minister Viktor Lyashko said.","The government of Ukraine supported the bill on the legalization of medical cannabis, the country's health minister Viktor Lyashko said.",meter-true,nrpublic
2708,The crisis surrounding Ukraine has affected 1.6 billion people in the world — UN.,The crisis surrounding Ukraine has affected 1.6 billion people in the world — UN.,meter-true,nrpublic
2709,Singer and musician Leonid Agutin denied the information that he and his wife Anzhelika Varum left Russia because of a special military operation in Ukraine.,Singer and musician Leonid Agutin denied the information that he and his wife Anzhelika Varum left Russia because of a special military operation in Ukraine.,meter-true,nrpublic
2710,"The Ukrainian delegation to UNESCO began writing the word ""Russia"" with a small letter and accused Moscow of being ""a danger to Ukrainian borscht""",The Ukrainian delegation to UNESCO began writing the word `` Russia '' with a small letter. The Ukrainian delegation to UNESCO accused Moscow of being `` a danger to Ukrainian borscht ''. ,meter-true,nrpublic
2711,"Bloomberg: The European Commission plans to support the idea of ​​granting Ukraine the status of a candidate in the EU. The European Union will announce its recommendation on June 17, adds Forbes citing sources.","Bloomberg: The European Commission plans to support the idea of ​​granting Ukraine the status of a candidate in the EU. The European Union will announce its recommendation on June 17, adds Forbes citing sources.",meter-true,nrpublic
2712,The Netherlands and Denmark are against granting Ukraine the status of a candidate for EU membership - Bloomberg,The Netherlands are against granting Ukraine the status of a candidate for EU membership - Bloomberg. Denmark are against granting Ukraine the status of a candidate for EU membership - Bloomberg. ,meter-true,nrpublic
2713,"A ""hero's desk"" was opened in school No. 2 of the Chuvash village of Batyrevo - the children of Oleksandr Mikko, a soldier who died in Ukraine, were placed behind it","A ""hero's desk"" was opened in school No. 2 of the Chuvash village of Batyrevo - the children of Oleksandr Mikko, a soldier who died in Ukraine, were placed behind it",meter-true,nrpublic
2714,President of Ukraine Volodymyr Zelenskyy became a laureate of the Boris Nemtsov Prize for Courage,,meter-true,nrpublic
2715,"50 WTO members signed a joint statement in support of Ukraine, promising to promote exports from the country - US trade representative Ty","50 WTO members signed a joint statement in support of Ukraine, promising to promote exports from the country - US trade representative Ty",meter-true,nrpublic
2716,"Finnish President Sauli Niiniste said that Western countries are supporting Ukraine with increasingly heavy weapons, while Russia used thermobaric bombs.",Finnish President Sauli Niiniste said that Western countries are supporting Ukraine with increasingly heavy weapons. Russia used thermobaric bombs. . ,meter-true,nrpublic
2717,"Lithuania will arm Ukraine with weapons against drones The country will hand over to Ukraine 110 anti-drone guns of its own production with a total cost of 1.5 million euros, Lithuanian journalist Andryus Tapinas reported.","Lithuania will arm Ukraine with weapons against drones The country will hand over to Ukraine 110 anti-drone guns of its own production with a total cost of 1.5 million euros, Lithuanian journalist Andryus Tapinas reported.",meter-true,nrpublic
2718,"In order to join the EU, Ukraine must first stop hostilities — the French Foreign Ministry","In order to join the EU, Ukraine must first stop hostilities — the French Foreign Ministry",meter-true,nrpublic
2719,Ukraine received from the West only 10% of weapons according to its requests - Deputy Minister of Defense of the country Hanna Malyar Vona also added that it is planned to mobilize hundreds of thousands of people into the Ukrainian army.,Ukraine received from the West only 10% of weapons according to its requests - Deputy Minister of Defense of the country Hanna Malyar Vona also added that it is planned to mobilize hundreds of thousands of people into the Ukrainian army.,meter-true,nrpublic
2720,Macron said that the authorities of Ukraine will have to negotiate with Russia after establishing a ceasefire regime,Macron said that the authorities of Ukraine will have to negotiate with Russia after establishing a ceasefire regime,meter-true,nrpublic
2721,"Greece will send up to 30 BMP-1 infantry fighting vehicles to Ukraine, Greek Prime Minister Kyriakos Mitsotakis said.","Greece will send up to 30 BMP-1 infantry fighting vehicles to Ukraine, Greek Prime Minister Kyriakos Mitsotakis said.",meter-true,nrpublic
2722,"The White House will announce the purchase of artillery, anti-ship missiles and other weapons for Ukraine in the amount of about 1 billion dollars — Reuters source",The White House will announce the purchase of artillery for Ukraine in the amount of about 1 billion dollars -- Reuters source. The White House will announce the purchase of anti-ship missiles for Ukraine in the amount of about 1 billion dollars -- Reuters source. The White House will announce the purchase of other weapons for Ukraine in the amount of about 1 billion dollars -- Reuters source. ,meter-true,nrpublic
2723,"The Ministry of Internal Affairs stated that citizens of Ukraine, the DPR and the LPR may be required to leave Russia after August 17 if they do not issue permission documents",The Ministry of Internal Affairs stated that citizens of Ukraine may be required to leave Russia after August 17 if they do not issue permission documents. The Ministry of Internal Affairs stated that citizens of the DPR may be required to leave Russia after August 17 if they do not issue permission documents. The Ministry of Internal Affairs stated that citizens of the LPR may be required to leave Russia after August 17 if they do not issue permission documents. ,meter-true,nrpublic
2724,"Italian Prime Minister Mario Draghi, French President Emmanuel Macron and German Chancellor Olaf Scholz arrived in Kyiv to discuss Ukraine's candidacy for EU membership with Zelensky — Reuters",Italian Prime Minister Mario Draghi arrived in Kyiv to discuss Ukraine 's candidacy for EU membership with Zelensky -- Reuters. French President Emmanuel Macron arrived in Kyiv to discuss Ukraine 's candidacy for EU membership with Zelensky -- Reuters. German Chancellor Olaf Scholz arrived in Kyiv to discuss Ukraine 's candidacy for EU membership with Zelensky -- Reuters. ,meter-true,nrpublic
2725,Pushylin said in an interview with RIA Novosti that he hopes to complete the special operation in Ukraine by the end of the year.,Pushylin said in an interview with RIA Novosti that he hopes to complete the special operation in Ukraine by the end of the year.,meter-true,nrpublic
2726,"New Western weapons will allow Ukraine to return Crimea, Defense Minister Reznikov said in an interview with CNN.","New Western weapons will allow Ukraine to return Crimea, Defense Minister Reznikov said in an interview with CNN.",meter-true,nrpublic
2727,"Macron said that France, Germany, Italy and Romania are in favor of immediately granting Ukraine the status of a candidate for EU membership, reports AFP.",Macron said that France are in favor of immediately granting Ukraine the status of a candidate for EU membership  reports AFP . Macron said that Germany are in favor of immediately granting Ukraine the status of a candidate for EU membership  reports AFP . Macron said that Italy are in favor of immediately granting Ukraine the status of a candidate for EU membership  reports AFP . Macron said that Romania are in favor of immediately granting Ukraine the status of a candidate for EU membership  reports AFP . ,meter-true,nrpublic
2728,Macron assured in Kyiv that Europe will not demand territorial concessions from Ukraine to settle the conflict — Reuters,Macron assured in Kyiv that Europe will not demand territorial concessions from Ukraine to settle the conflict — Reuters,meter-true,nrpublic
2729,"Macron said that Ukraine should conduct negotiations with Russia on its own. ""Neither France nor Germany will do it for her,"" the French leader emphasized.","Macron said that Ukraine should conduct negotiations with Russia on its own. ""Neither France nor Germany will do it for her,"" the French leader emphasized.",meter-true,nrpublic
2730,Ukraine is ready to work to become a full member of the EU,Ukraine is ready to work to become a full member of the EU,meter-true,nrpublic
2731,"Ukraine will not become a member of the EU tomorrow, this process will take time - Macron","Ukraine will not become a member of the EU tomorrow, this process will take time - Macron",meter-true,nrpublic
2732,"The European Commission recommended granting Ukraine the status of a candidate for EU membership, sources told Bloomberg.","The European Commission recommended granting Ukraine the status of a candidate for EU membership, sources told Bloomberg.",meter-true,nrpublic
2733,"Ukraine will not be able to host Eurovision 2023, the contest will be given to Great Britain, the organizers said","Ukraine will not be able to host Eurovision 2023, the contest will be given to Great Britain, the organizers said",meter-true,nrpublic
2734,"The start of negotiations on the accession of Ukraine and Moldova to the EU is possible only after the fulfillment of all conditions, the European Commission reported.",The start of negotiations on the accession of Ukraine to the EU is possible only after the fulfillment of all conditions  the European Commission reported . The start of negotiations on the accession of Moldova to the EU is possible only after the fulfillment of all conditions  the European Commission reported . ,meter-true,nrpublic
2735,Zelensky thanked the European Commission for the recommendation to grant Ukraine the status of a candidate for EU membership.,Zelensky thanked the European Commission for the recommendation to grant Ukraine the status of a candidate for EU membership.,meter-true,nrpublic
2736,Ukraine introduces a visa regime for Russians from July 1.,Ukraine introduces a visa regime for Russians from July 1.,meter-true,nrpublic
2737,The government of Ukraine officially approved the introduction of a visa regime with Russia from July 1 - Zelenskyi's office,The government of Ukraine officially approved the introduction of a visa regime with Russia from July 1 - Zelenskyi's office,meter-true,nrpublic
2738,"The press secretary of the President of Ukraine denied reports that Scholz, Macron and Draghi convinced Zelensky to sit down at the negotiating table with Putin. Earlier, Die Welt wrote about this",The press secretary of the President of Ukraine denied reports that Scholz convinced Zelensky to sit down at the negotiating table with Putin . Earlier  Die Welt wrote about this The press secretary of the President of Ukraine denied reports that Macron convinced Zelensky to sit down at the negotiating table with Putin . Earlier  Die Welt wrote about this The press secretary of the President of Ukraine denied reports that Draghi convinced Zelensky to sit down at the negotiating table with Putin . Earlier  Die Welt wrote about this ,meter-true,nrpublic
2739,Ukraine does not agree with the European Broadcasting Union's decision to move Eurovision 2023 to another country and will demand that this decision be changed - Ukrainian Culture Minister Tkachenko,Ukraine does not agree with the European Broadcasting Union 's decision to move Eurovision 2023 to another country. Ukraine will demand that this decision be changed - Ukrainian Culture Minister Tkachenko. ,meter-true,nrpublic
2740,"Putin on the situation in Ukraine: ""Is there a civilized choice there?""","Putin on the situation in Ukraine: ""Is there a civilized choice there?""",meter-true,nrpublic
2741,Putin on the possible accession of Ukraine to the European Union: we have nothing against it,Putin on the possible accession of Ukraine to the European Union: we have nothing against it,meter-true,nrpublic
2742,"Putin on the West's attitude towards Ukraine: apart from forests, wheat and corn, nobody needs anything Ukrainian",Putin on the West 's attitude towards Ukraine : apart from forests wheat corn  nobody needs anything Ukrainian. ,meter-true,nrpublic
2743,"Ukraine came to the Russian Empire with three territories - Kyiv, Zhytomyr and Chernihiv, the rest came to her later, including from Lenin, Putin said.",Ukraine came to the Russian Empire with three territories - Kyiv  the rest came to her later  including from Lenin  Putin said . Ukraine came to the Russian Empire with three territories - Zhytomyr  the rest came to her later  including from Lenin  Putin said . Ukraine came to the Russian Empire with three territories - Chernihiv  the rest came to her later  including from Lenin  Putin said . ,meter-true,nrpublic
2744,German Chancellor Olaf Scholz believes that the EU summit will agree to grant Ukraine the status of a candidate for joining the community.,German Chancellor Olaf Scholz believes that the EU summit will agree to grant Ukraine the status of a candidate for joining the community.,meter-true,nrpublic
2745,Ukraine does not agree with the decision to move Eurovision 2023 to Great Britain and demands additional negotiations — Ukrainian Ministry of Culture,Ukraine does not agree with the decision to move Eurovision 2023 to Great Britain. Ukraine does not agree with the decision to move demands additional negotiations -- Ukrainian Ministry of Culture. ,meter-true,nrpublic
2746,"Western allies should prepare for a protracted conflict in Ukraine, which may last several years - British Prime Minister Boris Johnson",Western allies should prepare for a protracted conflict in Ukraine. Western allies may last several years - British Prime Minister Boris Johnson. ,meter-true,nrpublic
