,claim,truth_value,source
2184,Mariupol Mayor Vadym Boychenko said on national television that there is evidence of a potential cholera outbreak that could kill thousands as a result of the port city’s water supply being poisoned by blood from dead bodies that have yet to be collected.,meter-true,washington-post
2185,Putin’s Russia is the world’s great spoiler. ,meter-true,washington-post
2186,The governor of the Luhansk region said that Russia was not in control of Severodonetsk and that “nobody is surrendering” there.,meter-true,washington-post
2187,"The former German chancellor's past efforts to broker peace, as well her opposition to Ukraine joining NATO, have come under scrutiny since the war.",meter-true,washington-post
2188,"The Kremlin claims control over most of the Luhansk region, with Ukraine still defending an industrial zone in Severodonetsk. ",meter-true,washington-post
2189,There are hundreds of prisoners of conscience in Putin’s Russia. They need the world's attention.,meter-true,washington-post
2190,"The Kremlin alleged Ukraine might fire the multiple-launch rocket systems at targets inside Russia, though Kyiv has agreed to use the weapons only within its territory.
",meter-true,washington-post
2191,Zelensky said Ukraine could reclaim Severodonetsk but that conditions have worsened for fighters defending the key city.,meter-true,washington-post
2192,"Ukraine had regained ground in the key eastern city of Severodonetsk, according to the regional governor, but he said Monday the situation there has ""worsened for us.""",meter-true,washington-post
2193,Kyiv was rocked by explosions; Ukraine regained ground in Severodonetsk and rebuked French President Emmanuel Macron.,meter-true,washington-post
2194,Ukraine also rejected a British intelligence forecast that Russia could control the Luhansk region in two weeks.,meter-true,washington-post
2195,"Ukraine’s Zelensky called areas under Russian control a ""zone of total catastrophe"" and said the military situation in Severodonetsk was dire.",meter-true,washington-post
2196,"Ukraine is withstanding Russian attacks in the east, but it is a grinding fight, the Pentagon said.",meter-true,washington-post
2197,"The advanced rocket systems will mean that Ukraine “can fight on the battlefield and be in the strongest possible position at the negotiating table,” Biden said.",meter-true,washington-post
2198,"Ukrainians will keep fighting, but only one person has the power to make the war go away.",meter-true,washington-post
2199,"Ukrainian President Volodymyr Zelensky said Russia's combat power is at ""maximum"" strength in the Donbas region, which includes Luhansk.",meter-true,washington-post
2200,Ukrainian President Volodymyr Zelensky said that 90 percent of Severodonetsk’s buildings and all of its “critical infrastructure” had been destroyed.,meter-true,washington-post
2201,Gloominiess descends on Ukraine as war tide turns.,meter-true,washington-post
2202,"Russian forces advanced Sunday in the industrial hub of Severdonetsk, Ukraine’s military said. Analysts say Moscow controls most of the region.",meter-true,washington-post
2203,A Russian court recently approved the dismissal of more than 100 National Guard members for refusing to participate in the invasion. ,meter-true,washington-post
2204,It could be years before any high-level Russian officials are held to account — if they ever are.,meter-true,washington-post
2205,"Russia’s Defense Ministry said its forces now control Lyman, a town providing access to bridges over the Siversky Donets river.",meter-true,washington-post
2206,Russian-backed forces seized the railway hub of Lyman Friday and advanced on the city of Severodonetsk.,meter-true,washington-post
2207,Russia’s aggression has sparked something like a revolution in Europe.,meter-true,washington-post
2208,"Russia could soon make a direct assault on Severodonetsk, one of the largest eastern cities still under Ukrainian control.",meter-true,washington-post
2209,Swedish and Finnish delegations are in Turkey to discuss Ankara's concerns about their NATO membership bids. ,meter-true,washington-post
2210,"By opposing aid to Ukraine, MAGA Republicans reject the Reagan Doctrine",meter-true,washington-post
2211,European Commission President Ursula von der Leyen accused Russia of “trying to trample the aspirations of an entire nation with tanks.”,meter-true,washington-post
2212,"The eastern city of Severodonetsk remains under Ukrainian control but is being pummeled by nearby Russian forces that are “destroying the city completely,” a local official said.",meter-true,washington-post
2213,"In a letter circulated to colleagues and posted on social media, Boris Bondarev, counsellor to the Russian UN mission in Geneva, says he's never been ""so ashamed"" of his country.",meter-true,washington-post
2214,"Volodymyr Zelensky, speaking the World Economic Forum in Davos, accused Russia of “becoming a state of war criminals.” ",meter-true,washington-post
2215,Severodonetsk looks set to be the war’s next major battlefield as Russia apparently deploys BMP-T “Terminator” tank support vehicles.,meter-true,washington-post
2216,The aid package deepens the U.S. commitment to Ukraine amid signs of preparations for a longer conflict.,meter-true,washington-post
2217,He has highlighted suffering while trying to maintain neutrality.,meter-true,washington-post
2218,"Meantime, Russia plans to cut off Finland from natural gas and the war crimes trial of Russian solider Vadim Shishimarin will resume next week in Ukraine.",meter-true,washington-post
2219,"The former U.S. president, who has faced criticism for the 2003 Iraq invasion, made an apparent verbal slip.",meter-true,washington-post
2220,"The war crimes trial of Russian soldier Vadim Shishimarin, 21, who pleaded guilty to killing a civilian, is set to resume.",meter-true,washington-post
2221,"Canadian-born Ivanka Siolkowsky is painting daffodils, poppies and sunflowers — with bullet holes at their center — in the Kyiv suburb.",meter-true,washington-post
2222,Russian leaders are responding to the historic move by Finland and Sweden to apply to join NATO with talk of “retaliatory measures.”,meter-true,washington-post
2223,"Sweden signed an application to join NATO, and Finland's Parliament voted to apply. Explosions rocked the Lviv region.",meter-true,washington-post
2224,"Even as Russia secured a victory in Mariupol, it suffered another setback on the global stage, as Sweden ended 200 years of military nonalignment to join Finland in applying for NATO membership.",meter-true,washington-post
2225,"Swedish Prime Minister Magdalena Andersson said Sunday that Russia’s invasion of Ukraine has undermined “the European security order.""",meter-true,washington-post
2226,"Ukraine has entered a “new, long phase of the war,” while its troops have pushed Russian forces closer to the northern border.",meter-true,washington-post
2227,"Swedish Foreign Minister Ann Linde said NATO membership would ""have a conflict-preventing effect in Northern Europe.""",meter-true,washington-post
2228,Secretary of State Antony Blinken will travel to Germany on Saturday to meet with NATO foreign ministers and top diplomats of Finland and Sweden.,meter-true,washington-post
2229,Finnish President Sauli Niinisto and Prime Minister Sanna Marin took the first step toward a formal NATO application.,meter-true,washington-post
2230,Comments by political and military leaders suggest the goal is no longer to drive Russia to the negotiating table but to seek a total defeat of Russian forces. That increases the odds of catastrophe.,meter-true,washington-post
2231,The Senate is expected to vote in the coming days on an aid package for Ukraine that the House overwhelmingly approved Tuesday night.,meter-true,washington-post
2232,"From Ukraine’s northeastern city of Kharkiv to its port of Mariupol in the south, Monday will be a day of dread.",meter-true,washington-post
2233,"About 1,000 fighters are still holed up at Mariupol's Azovstal steel plant. Biden signed a bill expediting military aid.",meter-true,washington-post
2234,"Russia's president spoke from Moscow's Red Square. Fighting continues in Mariupol, Odessa and Kherson. ",meter-true,washington-post
2235,"Along the eastern front line, Russian and Ukrainian forces traded blows and territory before Moscow’s planned Victory Day holiday.",meter-true,washington-post
2236,"First lady Jill Biden, who is in Romania as part of a four-day trip to Eastern Europe, met Ukrainian refugee students and their mothers Saturday at a school in Bucharest. ",meter-true,washington-post
2237,"The Russian holiday might come with increased missile strikes, local leaders warned. Meantime, the ‘next stage’ of the Mariupol is evacuation underway and Hungary is resisting the E.U.'s oil ban.",meter-true,washington-post
2238,Russia ramps up attacks on Ukraine's infrastructure as Mariupol officials lose contact with remaining troops at the Azovstal steel plant. ,meter-true,washington-post
2239,Ukrainian officials say debris is being cleared as Russians plan to turn Mariupol into the center of “celebrations” for Victory Day on May 9.,meter-true,washington-post
2240,"The evacuations from the Azovstal steel plant come as Moscow reportedly prepares to annex Ukrainian territory, including Donetsk, Luhansk and Kherson.",meter-true,washington-post
2241,Israel demanded an apology from the Russian government for employing a discredited antisemitic trope.,meter-true,washington-post
2242,Putin won’t find it easy to mobilize Russia for war.,meter-true,washington-post
2243,U.S. diplomats will resume limited activities in Lviv. Nancy Pelosi meets the Polish president. Jill Biden to travel to Romania and Slovakia.,meter-true,washington-post
2244,About 10 percent of the tech workforce is projected to leave Russia before the end of May.,meter-true,washington-post
2245,House Speaker Nancy Pelosi is the highest-ranking U.S. leader to visit Ukraine since the Russian invasion. ,meter-true,washington-post
2246,"Russian-occupied Kherson faces new restrictions, and fighting continues in Kharkiv.",meter-true,washington-post
2247,"To actually enable Ukraine to go on the counteroffensive, it will need even more support. ",meter-true,washington-post
2248,"Ukrainian leaders have been warning for weeks that up to 1,000 civilians were still at the besieged site and growing short on food and water.",meter-true,washington-post
2249,Images of resilience and loss from the front.,meter-true,washington-post
2250,"Willy Joseph Cancel, a 22-year-old American citizen and U.S. Marine veteran fighting in Ukraine, was killed during the Russian invasion this week, according to his family. ",meter-true,washington-post
2251,Ukraine's neighbor faces an imperial Russian challenge that is strikingly familiar. ,meter-true,washington-post
2252,Weakening aggressive authoritarian states is exactly what the U.S. should be doing. ,meter-true,washington-post
2253, Ukrainian officials denounced a brazen attack on the capital city the same day a United Nations leader visited.,meter-true,washington-post
2254,The only way to deal with the expectations Mr. Scholz raised on Feb. 27 is to meet them.,meter-true,washington-post
2255,"The Kremlin’s move to cut off natural gas shipments to Bulgaria and Poland was a blow to the E.U. Ukraine calls reports of explosions in Russia ""karma.""",meter-true,washington-post
2256,The details of alleged rapes by Russian soldiers are emerging from formerly occupied areas,meter-true,washington-post
2257,"Meeting in Germany with officials from more than 40 countries, the United States’ top defense officials made an urgent case for sending more weapons to Ukraine.",meter-true,washington-post
2258,An indictment would represent a landmark moment to hold senior officials accountable.,meter-true,washington-post
2259,American officials say they are rushing equipment to Ukraine and resuming diplomatic activity in the country.,meter-true,washington-post
2260,Ukrainian President Volodymyr Zelensky said top U.S. officials “should not come here with empty hands.” ,meter-true,washington-post
2261,"“Well, this only confirms what I have said many times: The Russian invasion of Ukraine was intended only as a beginning, then they want to capture other countries,"" Ukrainian President Volodymyr Zelensky responded Friday night.",meter-true,washington-post
2262,Some wineries have halted production and pivoted to supporting the refugees and Ukrainian fighters while others contemplate finding other markets amidst war-disrupted supply chain issues.,meter-true,washington-post
2263,"Ukraine's Zelensky said Russia ""so far” rebuffed attempts to evacuate civilians from Mariupol's Azovstal steel plant.
",meter-true,washington-post
2264,Aiden Aslin had been fighting alongside Ukrainian forces defending the port city of Mariupol.,meter-true,washington-post
2265,"For days now, Ukraine has rebuffed Russian deadlines to surrender in the southern port city.",meter-true,washington-post
2266,"Ukrainian Jews, fleeing war, have qualified for citizenship in Israel. But thousands of non-Jews have arrived, sparking debate over what refugees are owed.",meter-true,washington-post
2267,"Luhansk's regional governor said Kreminna is “under the control” of Russian forces. The Azovstal steel plant in Mariupol came under attack, officials said.",meter-true,washington-post
2268,The brutality should motivate the West to do anything within its lawful power to stop Russia from achieving its ends.,meter-true,washington-post
2269,Patriarch Kirill has angered many in echoing the language Vladimir Putin uses to justify the Ukraine invasion.,meter-true,washington-post
2270,"Moscow has for weeks been amassing troops and supplies in preparation for its renewed assault on the Donbas region, which became the Kremlin’s primary focus after its forces failed to capture Kyiv during the first phase of the invasion. ",meter-true,washington-post
2271,"Russian officials warned Sunday that resistance in the port city of Mariupol will be “eliminated,” hours after their dawn deadline for Ukraine to surrender passed without any sign of Kyiv capitulating.",meter-true,washington-post
2272,"Ukrainian President Volodymyr Zelensky also said his country’s military has lost an estimated 2,500 to 3,000 troops since the Feb. 24 invasion. ",meter-true,washington-post
2273,TikTok could also prove its commitment to free expression.,meter-true,washington-post
2274,European nations are weighing climate benefits against the perils of putting nuclear power plants in harm’s way. ,meter-true,washington-post
2275,"Ukraine's president noted the irony of Moscow refocusing attacks on his country's east, where many Russian speakers live. ",meter-true,washington-post
2276,"Soaring prices for imports of wheat, fuel and fertilizer threaten an economic and political toll.",meter-true,washington-post
2277,"The Kremlin’s invasion sparked a refugee crisis, forced nations to rethink neutrality and threatens the global economy.",meter-true,washington-post
2278,Russia warned it could deploy more nuclear weapons in the region if Finland and Sweden join NATO. ,meter-true,washington-post
2279,"Russia stands accused of genocide, yet Israel still won’t do more to help Ukraine.",meter-true,washington-post
2280,"Meanwhile, President Biden announced a new batch of federal judicial nominees, bringing his total for his term to 90. He is getting judges confirmed at a faster clip than any president since John F. Kennedy.",meter-true,washington-post
2281,Satellite images captured by U.S. firm Maxar Technologies show Russian forces repositioning in Ukraine’s east.,meter-true,washington-post
2282,The Russian leader made the remarks after a meeting with Belarusian President Alexander Lukashenko in Russia’s far-eastern Amur region.,meter-true,washington-post
2283,Facebook’s third-party fact-checkers in Ukraine are trying to police a deluge of misinformation while also trying to survive.,meter-true,washington-post
2284,Putin conferred with Belarusian President Alexander Lukashenko as the United States and its allies sought to verify unconfirmed reports of a Russian chemical attack in Mariupol.,meter-true,washington-post
2285,The musician’s cover was in support of Global Citizen’s #StandUpForUkraine fundraising effort.,meter-true,washington-post
2286,"The regional governor of Kharkiv said the town of Izyum “remains the hottest spot” of the war, as Russia moves more equipment and troops into place, in preparation for what Zelensky described as “even larger operations in the east of our state.” ",meter-true,washington-post
2287,"Post reporters Joyce Koh, Max Bearak and Louisa Loveluck — who have all been reporting on the ground in Bucha, Ukraine — will answer your questions on Tuesday at 1 p.m. Eastern time. ",meter-true,washington-post
2288,There were small shiny black boots. Cozy slippers. The 210 pairs represented the reported number of children who died in Russia's war for Mariupol.,meter-true,washington-post
2289,"Russia’s invasion of Ukraine, after a shift away from efforts to take Kyiv, is proceeding primarily on two fronts, Ukrainian officials said Sunday.",meter-true,washington-post
2290,British Prime Minister Boris Johnson and other European leaders visit Kyiv in show of support. ,meter-true,washington-post
2291,"""If I remain silent, I’m not a priest,"" the Rev. Ioann Burdin said.",meter-true,washington-post
2292,Could Chinese President Xi Jinping take a page from Theodore Roosevelt’s playbook to end the war in Ukraine?,meter-true,washington-post
2293,"When war feels close to home, images function differently.",meter-true,washington-post
2294,"Civilians have always played a role in documenting conflicts and humanitarian crises, but the advent of social media brought unprecedented speed and reach. In the past decade, military and media analysts say, “civilian witnessing” has evolved into a powerful force because of its ability to break through public apathy, fact-check official propaganda and create a digital trove of evidence for potential war crimes investigations. ",meter-true,washington-post
2295,Ukrainian officials said Russian missiles struck the Kramatorsk train station in eastern Ukraine while hundreds of evacuees were waiting to escape an expected onslaught in the region. ,meter-true,washington-post
2296,"For all its defects, the U.N. offers potential advantages to the cause of peace and security — in Ukraine and elsewhere.",meter-true,washington-post
2297,Israel is running out of excuses for inaction.,meter-true,washington-post
2298,"Moscow’s Foreign Ministry spokesman said this week that Chanel had joined the “Russophobic campaign” to “cancel Russia.""",meter-true,washington-post
2299,Global outrage has grown since the brutal slaying of civilians in the Kyiv suburb of Bucha was revealed after Russian forces withdrew. ,meter-true,washington-post
2300,New sanctions that will include two of the country’s largest banks as well as Russian President Vladimir Putin’s adult children.,meter-true,washington-post
2301,The legal process for holding the Russian president and his army accountable has begun.,meter-true,washington-post
2302,China's close ties with Russia have become a sticking point for the West as it works to isolate Moscow over the war.,meter-true,washington-post
2303,"International outrage over alleged war crimes in a Kyiv suburb is deepening Moscow’s isolation, as the European Commission proposes a ban on Russian coal and the United States plans a new package of sanctions.
",meter-true,washington-post
2304,"“This guy is brutal, and what’s happening in Bucha is outrageous, and everyone’s seen it,” the U.S. President said. “I think it is a war crime.”",meter-true,washington-post
2305,"Outrage grew Sunday over horrific images out of Bucha, a suburb of Kyiv, with world leaders calling for new sanctions and investigations into alleged war crimes.",meter-true,washington-post
2306,"Ukrainian President Volodymyr Zelensky said that Russia’s pullback in the north was “slow but noticeable,” as the Pentagon announced more security aid. ",meter-true,washington-post
2307,The International Committee of the Red Cross said it would attempt to reach Mariupol again after conditions Friday “made it impossible to proceed” with a major humanitarian mission. ,meter-true,washington-post
2308,Rallying people to accept the temporary economic burdens required to confront Russia is the main challenge for Biden and European leaders.,meter-true,washington-post
2309,"Russian President Vladimir Putin demanded that “unfriendly countries” pay for natural gas in rubles, an apparent bid to help stabilize the Russian currency.",meter-true,washington-post
2310,The devastated city's mayor says Russian forces 'are destroying everything that lives.',meter-true,washington-post
2311,"More than 4 million people have now fled Ukraine, according to the United Nations.",meter-true,washington-post
2312,The European Commission's recommendation comes amid a global crackdown on oligarchs and others seen as supporting Russia’s invasion of Ukraine.,meter-true,washington-post
2313,Members of the Ukrainian delegation proposed countries “guarantee” Ukraine’s security in exchange for Kyiv’s “neutrality.”,meter-true,washington-post
2314,"Post reporters Isabelle Khurshudyan, Shane Harris and Whitney Leaming will answer your questions about the war in Ukraine on Wednesday at 1 p.m. Eastern time.",meter-true,washington-post
2315,The scramble raises fears the war in Ukraine is spilling into the Black Sea.,meter-true,washington-post
2316,Ukrainian officials say they are hoping at most for a cease-fire agreement as they enter a new round of in-person negotiations with Russia set to begin Tuesday in Istanbul.,meter-true,washington-post
2317,"""At the concert ... we felt unity,"" Ukrainian violinist Olha Pyshchyta said.",meter-true,washington-post
2318,Ukrainian President Volodymyr Zelensky said in a new interview that he is open to a compromise involving Ukrainian “neutrality” and guarantees for his country’s security.,meter-true,washington-post
2319,The president also reassured Warsaw of Washington’s commitment to NATO and the security of its allies bordering Russia during the last day of his trip to Europe.,meter-true,washington-post
2320,"Russia has begun to mobilize military reinforcements to send into Ukraine as its combat losses in the month-old war continue to grow, the Pentagon said.",meter-true,washington-post
2321,"The Russian military spy service, the GRU, was behind the compromise, officials said, speaking on the condition of anonymity because of the matter’s sensitivity.",meter-true,washington-post
2322,"In peacetime, the programmers of Ukraine’s tech scene crafted the consumer software that powered homegrown start-ups and some of Silicon Valley’s biggest names. Now, they build apps of war.",meter-true,washington-post
2323,"The United States and its European allies reinforced their tough stand against Russia on Thursday, sharply warning Moscow against using chemical weapons in Ukraine and announcing new sanctions on Russians. The White House also announced the United States would accept 100,000 refugees fleeing Ukraine.",meter-true,washington-post
2324,"Russia is turning to air, artillery, and rocket and missile bombardments of Ukrainian cities to offset the lack of momentum by troops on the ground.",meter-true,washington-post
2325,An American manufacturer is providing the aircraft and teaching the Ukrainians how to operate them.,meter-true,washington-post
2326,"The G-7 is expected to warn Vladimir Putin against chemical, nuclear weapons in Ukraine. Biden is holding emergency talks with NATO in Europe as the war marks one month.",meter-true,washington-post
2327,"As the war hit the four-week mark, President Biden arrived in Europe to rally NATO support for ramping up economic and military pressure against Moscow.",meter-true,washington-post
2328,"""So far, his intention is … he wants to,” Russia’s ambassador to Indonesia said of Vladimir Putin’s attendance at the G-20 summit in Bali, Indonesia, later this year.",meter-true,washington-post
2329,"Uncertainty from the war in Ukraine, the new covid outbreak and regulatory crackdowns spooked foreign investors and slowed President Xi Jinping’s reform agenda.",meter-true,washington-post
2330,"""I’m sorry for our guys. We are burying them every day,"" a local gravedigger says.",meter-true,washington-post
2331,"Secretary of State Antony Blinken pointed to the suffering of civilians in Mariupol, a key port city that Russian forces cut off early in their invasion and then bombarded.",meter-true,washington-post
2332,A start-up company headquartered in Latvia sees its Russian and Ukrainian staff scattered by war.,meter-true,washington-post
2333,"Mariupol continues to see some of the worst bombardment in Ukraine, as the Russian invasion approaches the one-month mark.",meter-true,washington-post
2334,The attack in Kyiv is the latest in a series of violent strikes that have left civilians on edge.,meter-true,washington-post
2335,Who stood tall?,meter-true,washington-post
2336,"Sports are a refuge from the real world, but nothing should distract us from this reality.",meter-true,washington-post
2337,Russian efforts to seize Kyiv and topple Volodymyr Zelensky’s government have so far been frustrated by Ukrainian resistance.,meter-true,washington-post
2338,"Russia’s aggression has united Americans against Vladimir Putin, but inflation still drives political attitudes and partisan divisions shape attitudes toward President Biden",meter-true,washington-post
2339,Fierce fighting for control of Mariupol was impeding search and rescue efforts for civilians said to be trapped in a theater.,meter-true,washington-post
2340,Major disruptions last year have given way to sudden crises caused by war in Ukraine and a coronavirus spike in China.,meter-true,washington-post
2341,Russian citizens have just lost a vital defender of their human rights.,meter-true,washington-post
2342,The war in Ukraine is a reminder of how easily toxic masculinity still could drag us all to savagery.,meter-true,washington-post
2343,It’s pure hell for the journalists who are there covering the war. But we will all be worse off if they are forced to leave.,meter-true,washington-post
2344,"The theater was being used as a civilian shelter when it was struck. In western Ukraine, a Russian missile strike near the airport in Lviv raised concerns about how long the region can remain a relatively safe refuge.",meter-true,washington-post
2345,The United States and its allies should increase financial aid to the U.N. World Food Program and similar initiatives.,meter-true,washington-post
2346,"The latest artistic casualty of war is the Drama Theater of Mariupol, mostly destroyed by an airstrike.",meter-true,washington-post
2347,"A huge slice of Russia’s population is passive, for now, realizing there are risks to speaking out. But a surprising number are doing so.",meter-true,washington-post
2348,"On their TV sets, Russians are seeing a far different set of events in Ukraine than the rest of the world is witnessing.",meter-true,washington-post
2349,More than 400 global companies have announced plans to withdraw or scale back their operations in Russia over its invasion of Ukraine.,meter-true,washington-post
2350,"European authorities and aid groups are warning that criminals may seek to capitalize on the desperation of refugees, with more than 3 million leaving Ukraine since Feb. 24.",meter-true,washington-post
2351,The two high-profile attacks on civilian areas unfolded one day after a Russian airstrike demolished a theater in the port city of Mariupol while hundreds sheltered inside.,meter-true,washington-post
2352,Ukraine's Zelensky is right: Peace should matter more than profit.,meter-true,washington-post
2353,"Ukrainian officials on Wednesday said they were struggling to assess the toll of an airstrike on a theater in the besieged port city of Mariupol, a cultural site where hundreds of residents have recently sought shelter.",meter-true,washington-post
2354,"The real story of Russia’s aggression is not its strength, but its decline.",meter-true,washington-post
2355,Facebook's decision to allow calls for violence from Ukrainians reveals a set of values.,meter-true,washington-post
2356,"Half of the 3 million people who have fled the war in Ukraine are children.  In their own words and drawings, some shared what they have been through.",meter-true,washington-post
2357,"Biden’s participation in the March 24 summit at NATO headquarters was announced as the heads of three governments in the European Union — the Czech Republic, Poland and Slovenia — traveled to Kyiv to meet with Ukrainian President Volodymyr Zelensky.",meter-true,washington-post
2358,How do we talk about renewal when destruction is all around?,meter-true,washington-post
2359,The West is united. Ukraine is fighting on. Russia is off balance.,meter-true,washington-post
2360,"Caution about directly engaging Russia has made sense so far, but a more aggressive posture will be needed to meet the coming challenge.",meter-true,washington-post
2361,Not since ISIS have we seen such a flurry of recruitment activity.,meter-true,washington-post
2362,"Negotiations between Ukraine and Russia are on hold until Tuesday, after the talks resumed following attacks on a military facility 15 miles from the border of NATO member Poland.",meter-true,washington-post
2363,"Influencers are in ""hysterics"" over the app's departure, while Ukrainians being bombed by the Russian military mock them.",meter-true,washington-post
2364,"At least 35 people were killed and 134 injured early Sunday when a barrage of Russian missiles slammed into a military facility in western Ukraine about 15 miles from the border with Poland, a NATO member.",meter-true,washington-post
2365,"As Russia’s invasion entered its 17th day, President Biden authorized the United States to send $200 million worth of military equipment and training to Ukraine.",meter-true,washington-post
2366,Russia will need centuries to recover from Putin's mistake.,meter-true,washington-post
2367,Vladimir Putin's tactics to keep people in line should have no place here.,meter-true,washington-post
2368,"China, despite claiming neutrality, has maintained a pro-Kremlin lean and is opposed to sanctions, stating that it will continue to trade with Russia as usual.",meter-true,washington-post
2369,"Ukrainian President Volodymyr Zelensky accused Russia of again disrupting the evacuation of civilians, but said 7,144 residents were saved on Friday.",meter-true,washington-post
2370,"Hope, not despair, is rallying people to resist Russia’s attack on Ukraine.",meter-true,washington-post
2371,"The war, which has divided Muslim clerics, threatens to destabilize Eurasia.",meter-true,washington-post
2372,The humanitarian crisis in a Ukrainian port city deepened Thursday as its mayor said the Kremlin’s troops are firing on residential areas and continuing to thwart evacuations.,meter-true,washington-post
2373,"The Bumble company, which also owns dating apps Badoo and Fritz, made the decision as many companies around the world halt services in Russia.",meter-true,washington-post
2374,"New York Times editors ran an ""exceptionally graphic"" photo on their front page, as journalists try to convey the war's brutality without exploiting it.",meter-true,washington-post
2375,"Quickly, before I lose my nerve and something even worse happens than has already happened, some thoughts about language in the context of this war.",meter-true,washington-post
2376,"“Atrocity!” Urkrainian President Volodmyr Zelensky tweeted, referring to a hospital in the besieged southern city of Mariupol.",meter-true,washington-post
2377,The Biden administration said it will ban imports of oil and natural gas from Russia and acknowledged Americans would see gas prices increase.,meter-true,washington-post
2378,"Talks between Russian and Ukrainian negiotiators, which began as the war entered its 12th day, yielded some progress on logistical arrangements for local cease-fires and evacuation corridors.",meter-true,washington-post
2379,"While Moldova has never felt closer to Europe, it has also never felt more vulnerable to the Kremlin.",meter-true,washington-post
2380,"Speaking on a day known as “Forgiveness Sunday” to Orthodox Christians, Ukrainian President Volodymyr Zelensky declared in a video message: “We won’t forgive.”",meter-true,washington-post
2381,"The Russian president also warned that a NATO declaration of a no-fly zone over Ukraine would be seen as an act of war, making the alliance ""participants of the military conflict.”",meter-true,washington-post
2382,"Microsoft is suspending all new sales of products and services in Russia, in a major addition to the flood of companies cutting ties over the invasion of Ukraine.",meter-true,washington-post
2383,"“We are simply being destroyed,” said Mariupol Mayor Vadym Boychenko on his Telegram channel, noting the city has been under “merciless bombardment” from Russian forces over the past five days a long enough period of peace to restore utilities such as electricity and water.",meter-true,washington-post
2384,"In the long run, the United States can’t contain both Russia and China. Europe’s resolute opposition to Putin’s war provides an opening for a strategic shift.",meter-true,washington-post
2385,"President Biden called Russia's actions in Ukraine a ""genocide"" as accusations mount that Russian forces have committed war crimes in the invasion.",meter-true,washington-post
2386,The Fédération Internationale Féline is among the latest groups to isolate Russia after its invasion of Ukraine.,meter-true,washington-post
2387,"The announcement of “humanitarian corridors” came as Russian forces encircled major port cities, leading local officials to sound alarms about dwindling supplies.",meter-true,washington-post
2388,Putin is pulling the plug on independent news.,meter-true,washington-post
2389,Chernobyl survivor and Ukrainian historian Serhii Plokhy says the danger of a nuclear accident might be greater than we think.,meter-true,washington-post
2390,"As the fighting raged in Ukrainian streets, President Biden told reporters Wednesday that it’s “clear” Russian forces are deliberately targeting civilian areas in Ukraine.",meter-true,washington-post
2391,We have seen the previously unthinkable rapidly become the politically necessary throughout Europe.,meter-true,washington-post
2392,"Overnight, it can turn a financially sound economy into a basket case.",meter-true,washington-post
2393,"Kyiv was bracing for an all-out assault amid fears that Russian troops would encircle the capital, as they’ve apparently done in the country’s second-largest city, Kharkiv, its mayor told The Post.",meter-true,washington-post
2394,Russia's invasion of Ukraine has drawn international condemnation. But at least one country has stood by Moscow and its leader.,meter-true,washington-post
2395,"Kharkiv, a city of 1.5 million people about 25 miles from the Russian border, has emerged as a major linchpin in Russian efforts to advance on Ukraine’s capital, Kyiv.",meter-true,washington-post
2396,"Western sanctions hit the ruble, and Ukraine has stymied Russian forces trying to capture Kyiv.",meter-true,washington-post
2397,The blunt force of sports has power over Russia. Alex Ovechkin should lend his voice.,meter-true,washington-post
2398,"Earlier Sunday, Ukrainian President Volodymyr Zelensky said Ukraine and Russia would conduct the first diplomatic talks since the Kremlin-launched invasion.",meter-true,washington-post
2399,"A petition calling for an end to the fighting rocketed around Russia's technology community after the country invaded Ukraine on Thursday. More than 10,000 people have signed it.",meter-true,washington-post
2400,"Next steps for the United States and Europe must include beefed-up defense spending, the possible admission of Scandinavian NATO members and a more realistic posture on energy.",meter-true,washington-post
2401,"At daybreak, Ukrainian President Volodymyr Zelensky posted a video of himself, unshaven, on the capital’s streets — proof of his apparent commitment to remain in Kyiv.",meter-true,washington-post
2402,Biden must turn his vision of an alliance of democracies against autocracy into a reality.,meter-true,washington-post
2403,The arrest could bring new details about one of the most notorious detention sites in Ukraine’s ongoing war.,meter-true,washington-post
2404,The developments offered some hope that an international investigation might clarify how Malaysia Airlines Flight 17 was shot down in eastern Ukraine.,meter-true,washington-post
2405,"Washington Post photojournalists have braved danger to capture lasting images of loss and love, which tell the story of 10 months of life in a nation at war.",meter-true,washington-post
2406,"The first week of COP27, the United Nations climate conference, is underway in Egypt. President Biden is attending events with other world leaders.",meter-true,washington-post
2407,"With just one day until Election Day, follow our live coverage to get the latest news and updates on the 2022 midterm elections.",meter-true,washington-post
2408,"On Friday, U.S. and Ukrainian officials were sent scrambling as news broke that Musk had asked the Pentagon last month to take over paying for his Starlink satellite communications service in Ukraine.",meter-true,washington-post
2409,"Many of the global prices for food, fuel and fertilizer that spiked when Russia invaded Ukraine have returned to their pre-war levels, defying the most dire forecasts even as policymakers warn of the continued risk of famine and financial crisis in the developing world.",meter-true,washington-post
2410,The latest U.S. assessment of the war in Ukraine came a day after at least 20 people were killed in missile strikes in Vinnytsia.,meter-true,washington-post
2411,"The NATO summit follows a meeting of the Group of Seven leaders, who pledged to stand by Ukraine but stopped short of imposing new energy sanctions on Russia.",meter-true,washington-post
2412,"After years of what critics saw as lip service, cybersecurity collaboration between the federal government and some critical industries has taken root, officials and industry leaders say, and it could be put to the test as Russian government hackers probe the defenses of American power plants, banks and telecom networks.",meter-true,washington-post
