,claim,truth_value
536,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",meter-false
537,"Russia has ""tremendous numbers of nuclear warheads — 1,800, by the way — where they expanded, and we didn't.""",meter-true
538,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-true
539,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",meter-false
540,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",meter-true
541,"Russia and China are ""doing naval exercises together someplace.""",meter-true
542,"""Texas has a higher incarceration rate than Russia or Iran.""",meter-true
543,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",meter-false
544,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",meter-false
545,"Says the Obama administration invited ""Russia into Syria.""",meter-false
546,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",meter-false
547,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-true
548,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-true
549,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-false
550,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-true
551,Says Romney called Russia our No. 1 enemy.,meter-true
552,Photo shows fighting in Ukraine.,meter-false
553,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-true
554,This video shows “Russian war in Ukraine.”,meter-false
555,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",meter-false
556,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false
557,A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false
558,Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false
559,"""The United States doesn’t have the highest murder rate among developed countries. You look at Russia, you look at Brazil, those are countries that have 3 to 5 times higher murder rates than what we have here in the United States.""",meter-true
560,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-true
561,Russia’s Army was “destroyed.”,meter-false
562,The war in Ukraine is “all over.”,meter-false
563,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true
564,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false
565,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false
566,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",meter-false
567,“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false
568,Video clips show staged war footage from Ukraine.,meter-false
569,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false
570,North Korea has taken military action against Russia.,meter-false
571,“The Russian army has surrendered in Donetsk!”,meter-false
572,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false
573,“Chinese military convoy enters Ukraine from Russia.”,meter-false
574,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",meter-false
575,Russia “has not lost anything” in its invasion of Ukraine.,meter-false
576,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false
577,“US Army in Ukraine.”,meter-false
578,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,meter-false
579,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-false
580,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false
581,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false
582,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-true
583,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false
584,“J.D. Vance profits off Russia propaganda.”,meter-true
585,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false
586,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false
587,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false
588,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false
589,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false
590,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false
591,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false
592,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,meter-false
593,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false
594,Photo of unbroken windows proves war in Ukraine is fake.,meter-false
595,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,meter-false
596,A video shows the Russian warship Moskva exploding.,meter-false
597,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false
598,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false
599,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false
600,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",meter-false
601,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,meter-false
602,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false
603,Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false
604,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false
605,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false
606,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false
607,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false
608,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-true
609,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false
610,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false
611,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",meter-false
612,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false
613,Russian President Vladimir Putin “was assassinated.”,meter-false
614,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false
615,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false
616,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",meter-false
617,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false
618,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false
619,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false
620,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-true
621,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false
622,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false
623,This video shows “Russian war in Ukraine.”,meter-false
624,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-true
625,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false
626,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false
627,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false
628,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false
629,The war in Ukraine is “scripted and staged.”,meter-false
630,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-true
631,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false
632,"""The Russian army does not occupy Ukrainian territory.""",meter-false
633,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false
634,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false
635,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false
636,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-false
637,Video shows footage from Russia invading Ukraine.,meter-false
638,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false
639,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false
640,"This ""footage"" shows Russia attacking Ukraine.",meter-false
641,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false
642,“Russia has never attacked anyone throughout its history.”,meter-false
643,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",meter-false
644,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false
645,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false
646,"The FBI raided a “Cleveland office linked to Ukraine. Biden, Pelosi, Kerry and Romney all had sons getting tens of millions of dollars from no-show jobs in Ukraine.”",meter-false
647,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false
648,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",meter-false
649,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false
650,"""Ukraine blatantly interfered in our election.""",meter-false
651,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false
652,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",meter-false
653,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-true
654,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-false
655,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",meter-false
656,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-false
657,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-true
658,"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians.""",meter-false
659,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",meter-true
660,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",meter-false
661,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false
662,"""The Russian state has never interfered ... into internal American affairs including election process.""",meter-false
663,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false
664,"""Justice Kennedy quit because he and his son helped Trump launder illegal Russian money through Deutsche Bank.""",meter-false
665,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",meter-false
666,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",meter-false
667,"""This is not the first time (the Russians) have been involved in our elections.""",meter-true
668,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-true
669,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-true
670,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",meter-true
671,"Russia and China are ""doing naval exercises together someplace.""",meter-true
672,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-true
673,"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.""",meter-false
674,"""Texas has a higher incarceration rate than Russia or Iran.""",meter-true
675,"Says Sarah Huckabee Sanders tweeted, “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”",meter-false
676,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",meter-true
677,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",meter-false
678,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-false
679,Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false
680,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false
681,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false
682,"""104 House Democrats voted for impeachment before the Ukraine call took place.""",meter-false
683,"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions.",meter-true
684,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false
685,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-false
686,"""This is not the first time (the Russians) have been involved in our elections.""",meter-true
687,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",meter-false
688,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",meter-false
689,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-false
690,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-true
691,Says Romney called Russia our No. 1 enemy.,meter-true
692,North Korea has taken military action against Russia.,meter-false
693,Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false
694,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-true
695,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false
696,"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia.",meter-false
697,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",meter-true
698,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false
699,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false
700,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-false
701,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",meter-false
702,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""",meter-false
703,"""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House.",meter-true
704,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",meter-false
705,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",meter-false
706,"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",meter-true
707,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-true
708,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",meter-false
709,"""Texas has a higher incarceration rate than Russia or Iran.""",meter-true
710,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",meter-false
711,"Says the Obama administration invited ""Russia into Syria.""",meter-false
712,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-true
713,"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",meter-false
714,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-true
715,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-true
716,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-true
717,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",meter-true
718,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-true
719,Says Romney called Russia our No. 1 enemy.,meter-true
720,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",meter-false
721,"The United States ""is number one in the world in energy resources; Russia is number two.""",meter-true
722,"""We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.""",meter-true
723,"""If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.""",meter-true
724,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",meter-true
725,“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”,meter-false
726,Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false
727,“Russia has never attacked anyone throughout its history.”,meter-false
728,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",meter-false
729,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-false
730,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-true
731,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-false
732,“The Simpsons predicted Pizzagate.”,meter-false
733,A video shows migrants faking tears for news cameras.,meter-false
734,Russia’s Army was “destroyed.”,meter-false
735,The Federal Reserve “has suspended the availability of new currency.”,meter-false
736,The war in Ukraine is “all over.”,meter-false
737,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true
738,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false
739,“The CEO of FTX is the daughter of the chairman of the SEC.”,meter-false
740,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false
741,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",meter-false
742,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",meter-false
743,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,meter-false
744,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,meter-false
745,The price of gas is “down from over $5 when I took office.”,meter-false
746,“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false
747,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",meter-false
748,Today’s high food prices were planned during a 2015 food shortage simulation.,meter-false
749,Video clips show staged war footage from Ukraine.,meter-false
750,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false
751,Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.,meter-false
752,"There are “100,000 kids in cages” under the Getty art museum.",meter-false
753,"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States.",meter-true
754,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",meter-false
755,"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”.",meter-false
756,"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”",meter-false
757,North Korea has taken military action against Russia.,meter-false
758,"The Great Reset advocates replacing capitalism with an economic system that is “kind of socialism, kind of communism” but “mostly just fascism.”",meter-false
759,“Norway readies its military to counter Biden.”,meter-false
760,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",meter-false
761,"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”",meter-true
762,Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”,meter-false
763,“The Russian army has surrendered in Donetsk!”,meter-false
764,Vladimir Putin “is fleeing the war!”,meter-false
765,“Pelosi’s panel ready to arrest Trump.”,meter-false
766,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false
767,Photo shows fighting in Ukraine.,meter-false
768,“Chinese military convoy enters Ukraine from Russia.”,meter-false
769,“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,meter-false
770,"""Democrats' radical green energy policies caused record gas prices. """,meter-false
771,"“The pope, Xi and Putin all meet to plan world events!”",meter-false
772,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",meter-false
773,Russia “has not lost anything” in its invasion of Ukraine.,meter-false
774,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false
775,“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,meter-false
776,El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,meter-false
777,Joe Biden threatened to assassinate Ukraine’s former president.,meter-false
778,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,meter-false
779,“US Army in Ukraine.”,meter-false
780,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,meter-false
781,The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”,meter-false
782,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,meter-false
783,“Biden threatens to assassinate Ukraine president.”,meter-false
784,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,meter-false
785,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",meter-false
786,Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,meter-false
787,"""Thanks to failed Dem policies, beer is 9.1% more expensive.""",meter-true
788,“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”,meter-false
789,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,meter-false
790,"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested.",meter-false
791,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-false
792,“Belarus declares war on Poland.”,meter-false
793,“Biden impeachment in progress.”,meter-false
794,“Moscow was engulfed in flames” after a giant explosion.,meter-false
795,Ukrainian “attack destroys skyscraper in Moscow.”,meter-false
796,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false
797,The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.,meter-false
798,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,meter-false
799,“In every other major industrial country in the world … inflation is higher.”,meter-true
800,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",meter-false
801,Three mass shootings were meant to distract from Hillary Clinton controversies.,meter-false
802,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",meter-false
803,When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”,meter-false
804,“Bennie Thompson actively cheer-led riots in the ’90s.”,meter-false
805,The official pride flag was altered to include Ukrainian colors.,meter-false
806,Ukraine adopted “laws banning the Russian language.”,meter-false
807,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,meter-false
808,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false
809,Biden gave Americans “the cheapest gas prices on Earth.”,meter-false
810,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-true
811,"“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”",meter-true
812,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",meter-false
813,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false
814,“J.D. Vance profits off Russia propaganda.”,meter-true
815,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false
816,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false
817,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false
818,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false
819,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",meter-false
820,A photo of Ukrainians with paintball guns proves the war is staged.,meter-false
821,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,meter-false
822,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false
823,Donations of baby formula to Ukraine helped cause the current U.S. shortage.,meter-false
824,"“When unemployment goes down, inflation goes up.”",meter-false
825,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,meter-false
826,“Finland joins NATO.”,meter-false
827,The NewProfilePic app is Russian spyware.,meter-false
828,“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,meter-true
829,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,meter-true
830,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",meter-false
831,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false
832,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false
833,NBC News “covered up Hunter Biden laptop story.”,meter-false
834,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,meter-false
835,Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.,meter-false
836,"Blinken, Austin trip to Kyiv may have been staged",meter-false
837,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false
838,Photo of unbroken windows proves war in Ukraine is fake.,meter-false
839,Fires at food processing plants are an “attempt to starve us.”,meter-false
840,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,meter-false
841,A video shows the Russian warship Moskva exploding.,meter-false
842,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.,meter-false
843,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false
844,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false
845,A photo shows students in Lviv celebrating Adolf Hitler’s birthday.,meter-false
846,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",meter-false
847,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",meter-true
848,"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.""",meter-false
849,"Joe Biden's spending “has sent prices skyrocketing.""",meter-true
