,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
723,Russia’s Army was “destroyed.”,meter-false,2022,December,18
724,The Federal Reserve “has suspended the availability of new currency.”,meter-false,2022,December,9
725,The war in Ukraine is “all over.”,meter-false,2022,December,12
726,"“There may be a new pandemic on the way after the release of a 50,000-year-old zombie virus.”",meter-false,2022,November,29
727,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true,2022,November,29
728,Climate change is “dictated by solar activity and the moon” and has “nothing to do with mankind.”,meter-false,2022,November,13
729,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false,2022,November,27
730,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,2022,November,13
731,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",meter-false,2022,October,27
732,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",tom_ruling_pof,2022,November,2
733,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,meter-false,2022,November,3
734,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,meter-mostly-false,2022,July,14
735,Police dispatch audio from Paul Pelosi’s attack was recorded in a Moscow studio.,tom_ruling_pof,2022,November,29
736,Former President Donald Trump issued an Oct. 27 statement saying he was told his Twitter account “will be back up and running on Monday.”,meter-false,2022,October,27
737,The price of gas is “down from over $5 when I took office.”,meter-false,2022,October,27
738,“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false,2022,October,20
739,Video clips show staged war footage from Ukraine.,tom_ruling_pof,2022,October,22
740,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false,2022,October,22
741,Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.,meter-false,2022,October,19
742,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",meter-false,2022,October,18
743,"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”",meter-false,2022,October,16
744,North Korea has taken military action against Russia.,tom_ruling_pof,2022,October,8
745,“Norway readies its military to counter Biden.”,meter-false,2022,October,5
746,Antony Blinken “confesses that Biden” is responsible for the Nord Stream pipeline leaks.,meter-false,2022,October,4
747,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",meter-mostly-false,2022,September,27
748,"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”",meter-half-true,2022,September,14
749,Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”,meter-false,2022,October,3
750,“I voted with Trump on trade.”,meter-mostly-true,2022,September,27
751,President Joe Biden admitted having an inappropriate relationship with a minor.,meter-false,2022,September,26
752,“The Russian army has surrendered in Donetsk!”,meter-false,2022,September,28
753,Vladimir Putin “is fleeing the war!”,meter-false,2022,September,27
754,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,2022,September,28
755,“President Xi of China under house arrest” amid “coup by the PLA.”,meter-false,2022,September,24
756,Photo shows fighting in Ukraine.,meter-false,2022,September,21
757,“Chinese military convoy enters Ukraine from Russia.”,meter-false,2022,September,18
758,“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,tom_ruling_pof,2022,September,15
759,"""Democrats' radical green energy policies caused record gas prices. """,meter-mostly-false,2022,August,23
760,"“The pope, Xi and Putin all meet to plan world events!”",meter-false,2022,September,13
761,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",tom_ruling_pof,2022,September,12
762,Russia “has not lost anything” in its invasion of Ukraine.,meter-false,2022,September,7
763,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,2022,September,3
764,“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,meter-false,2022,September,6
765,Joe Biden threatened to assassinate Ukraine’s former president.,tom_ruling_pof,2022,August,29
766,"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",tom_ruling_pof,2022,August,24
767,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,meter-false,2022,August,17
768,The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”,meter-false,2022,August,4
769,Brittney Griner is really a man.,tom_ruling_pof,2022,August,7
770,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,meter-false,2022,July,31
771,“Virginia now has the most liberal abortion laws in the world.”,meter-mostly-false,2022,July,9
772,“Biden threatens to assassinate Ukraine president.”,tom_ruling_pof,2022,July,18
773,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",meter-mostly-false,2022,June,23
774,Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,meter-false,2022,July,17
775,“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”,meter-false,2022,July,7
776,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,meter-false,2022,June,29
777,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,2022,July,2
778,“Belarus declares war on Poland.”,meter-false,2022,July,8
779,“Moscow was engulfed in flames” after a giant explosion.,meter-false,2022,July,6
780,Ukrainian “attack destroys skyscraper in Moscow.”,meter-false,2022,July,4
781,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,2022,July,3
782,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,tom_ruling_pof,2022,June,28
783,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",meter-false,2022,June,4
784,Three mass shootings were meant to distract from Hillary Clinton controversies.,tom_ruling_pof,2022,June,14
785,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",meter-false,2022,June,12
786,When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”,meter-false,2022,June,13
787,“U.S. military arrests Michael Sussmann.”,tom_ruling_pof,2022,June,8
788,Ukraine adopted “laws banning the Russian language.”,meter-false,2022,June,6
789,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,tom_ruling_pof,2022,June,3
790,"The sale of more than 600,000 Wisconsin deer licenses shows that Wisconsin’s hunters are the “eighth largest army in the world.”",meter-false,2021,May,23
791,Biden gave Americans “the cheapest gas prices on Earth.”,meter-false,2022,June,2
792,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-half-true,2022,May,26
793,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",tom_ruling_pof,2022,May,25
794,“J.D. Vance profits off Russia propaganda.”,meter-half-true,2022,May,10
795,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,2022,May,19
796,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,2022,May,18
797,A photo of Ukrainians with paintball guns proves the war is staged.,tom_ruling_pof,2022,May,16
798,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,2022,May,13
799,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,tom_ruling_pof,2022,May,15
800,“Finland joins NATO.”,meter-mostly-false,2022,May,15
801,The NewProfilePic app is Russian spyware.,meter-false,2022,May,10
802,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,meter-mostly-true,2022,May,12
803,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",meter-mostly-false,2022,February,18
804,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,2022,May,5
805,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,2022,April,30
806,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,meter-false,2022,April,17
807,Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.,meter-false,2022,April,18
808,"Blinken, Austin trip to Kyiv may have been staged",meter-false,2022,April,25
809,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,2022,April,27
810,Photo of unbroken windows proves war in Ukraine is fake.,tom_ruling_pof,2022,April,23
811,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,tom_ruling_pof,2022,April,23
812,A video shows the Russian warship Moskva exploding.,meter-false,2022,April,14
813,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false,2022,April,16
814,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false,2022,April,18
815,A photo shows students in Lviv celebrating Adolf Hitler’s birthday.,tom_ruling_pof,2022,April,20
816,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",tom_ruling_pof,2022,April,16
817,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",meter-mostly-true,2022,April,5
818,"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.""",meter-false,2018,March,14
819,"Joe Biden's spending “has sent prices skyrocketing.""",meter-half-true,2022,April,13
820,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,tom_ruling_pof,2022,April,15
821,March 2022 moon crash was orchestrated by the government and visible from Earth.,meter-false,2022,April,11
822,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,2022,April,13
823,Fuel containing 15% ethanol will ruin a car engine.,meter-mostly-false,2022,April,12
824,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”,meter-false,2022,March,26
825,Sen. Marsha Blackburn made a white power symbol at Ketanji Brown Jackson.,meter-false,2022,April,7
826,Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false,2022,April,7
827,Poland palace that Biden visited is fake.,meter-false,2022,April,6
828,“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”,meter-half-true,2022,April,1
829,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,2022,February,27
830,"Says Tucker Carlson said, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia? I’m not saying any of this is true, I’m just asking the questions. Why can’t we ask these questions?”",meter-false,2022,April,4
831,The FBI lost Hunter Biden’s laptop.,meter-false,2022,April,4
832,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,2022,April,2
833,“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”,meter-false,2022,April,4
834,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,2022,April,3
835,"Says Mike Gibbons said ""military service doesn't count as real work.""",meter-false,2022,March,26
836,"Says Gov. Tony Evers ""tried to make us pay even more at the pump by hiking the gas tax.""",meter-half-true,2022,March,7
837,The Strategic Petroleum Reserve has “been mostly empty” for decades.,meter-false,2022,March,31
838,"“You go to a store, they don’t have bread.”",meter-false,2022,March,29
839,"“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”",meter-half-true,2022,March,19
840,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",meter-mostly-false,2022,March,20
841,Putin beheaded bioweapon engineers in Ukraine.,tom_ruling_pof,2022,March,23
842,Gas prices are high “due to the Democrats’ war on fossil fuels.”,meter-mostly-false,2022,March,18
843,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-half-true,2022,March,17
844,A video shows Ukraine President Volodymyr Zelenskyy singing “Imagine” by John Lennon.,meter-false,2022,March,19
845,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",meter-false,2022,March,28
846,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,2022,March,5
847,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false,2022,March,21
848,"""Documents were published confirming Moderna created the COVID-19 Virus.”",meter-false,2022,March,14
849,Judge Ketanji Brown Jackson called former President George W. Bush and former Defense Secretary Donald Rumsfeld as “war criminals in a legal filing.”,meter-half-true,2022,March,22
850,Video shows “Russian soldiers using weapons that have been in a cupboard since Soviet times.”,meter-false,2022,March,13
851,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,2022,March,11
852,"“In April 1997, there was a ‘gas out’ conducted nationwide in protest of gas prices. Gasoline prices dropped 30 cents a gallon overnight.”",tom_ruling_pof,2022,March,17
853,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,2022,March,20
854,Photos show “Ukrainian farmers are slowly starting to build their own army.”,meter-false,2022,March,16
855,Russian President Vladimir Putin “was assassinated.”,tom_ruling_pof,2022,March,19
856,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,2022,March,14
857,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,2022,March,2
858,"A photo shows ""NATO resupplying Ukrainian farmers anti-tank supplies.""",meter-false,2022,March,10
859,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",tom_ruling_pof,2022,March,15
860,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,2022,March,13
861,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false,2022,March,15
862,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,2022,March,15
863,Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”,meter-false,2022,March,14
864,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”,meter-false,2022,March,7
865,“Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.”,meter-mostly-true,2022,March,14
866,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-half-true,2022,March,14
867,"A video shows “massive explosion as Ukraine destroyed 280 Russian tanks to pieces using U.S. Javelin missiles.""",meter-false,2022,March,12
868,"“While Ukrainians bled and died, Congressman Budd excused their killer.”",meter-mostly-false,2022,March,8
869,Deceased Ukrainian fighter pilot Col. Oleksandr Oksanchenko was the “Ghost of Kyiv.”,meter-false,2022,March,4
870,"Vice President Kamala Harris ""was asked about gasoline prices ... and she tried to defer to President Duda, the Polish president.""",meter-false,2022,March,13
871,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false,2022,March,13
872,"The U.S. military has reinstated a draft, and women are included.",tom_ruling_pof,2022,February,26
873,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",meter-true,2022,February,3
874,"Joe Biden's cancellation of the Keystone pipeline ""dramatically increased Americans' dependence on Russian oil.""",meter-false,2022,March,7
875,"""Donald Trump's appeasement of Putin wasn't just a personal act of treason, it's the Republican Party's official position.""",meter-mostly-false,2022,March,2
876,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,2022,March,7
877,Video shows Volodymr Zelenskyy singing “Endless Love” with his wife.,meter-false,2022,March,8
878,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false,2022,March,6
879,U.S. has biological weapons labs in Ukraine.,meter-false,2022,March,9
880,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,2022,March,6
881,"""Gas is high because they shut down production in the U.S.” under the Biden administration.",meter-false,2022,March,7
882,An image shows “Ukrainian soldiers praying.”,meter-false,2022,March,6
883,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,tom_ruling_pof,2022,March,2
884,“Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.”,tom_ruling_pof,2022,March,6
885,Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,meter-false,2022,March,6
886,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,2022,March,6
887,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",meter-false,2022,February,27
888,Ukraine issued a press release about Joe Biden,meter-false,2022,March,1
889,Video shows Ukrainian crisis actors come to life after pretending to be dead.,meter-false,2022,March,1
890,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,2022,February,28
891,The war in Ukraine is “scripted and staged.”,tom_ruling_pof,2022,February,25
892,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-half-true,2022,March,1
893,Image shows Ukrainian President Volodymyr Zelensky “has joined the front lines with his troops.”,meter-false,2022,February,27
894,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,2022,February,28
895,Says Vladimir Putin said the West is controlled by Satanic pedophiles.,meter-false,2022,February,28
896,"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,2022,March,1
897,“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”,meter-mostly-false,2022,March,1
898,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",meter-false,2022,February,28
899,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,2022,February,26
900,"Russia unveiled a nuclear weapon, ""Satan 2,"" that is ""capable of destroying everything breathing in the world.""",meter-false,2022,February,25
901,Ukrainians altered this street sign to tell Russian troops to go “f---” themselves.,meter-false,2022,February,26
902,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,2022,March,25
903,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false,2022,February,27
904,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,2022,February,24
905,“We have doubled our (oil) imports from Russia in the last year.”,meter-mostly-false,2022,February,22
906,“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”,meter-mostly-false,2022,February,22
907,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,2022,February,19
908,A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false,2022,February,25
909,"""Hillary Clinton spied on President Trump.""",meter-false,2022,February,16
910,"The Keystone XL pipeline ""would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia.""",meter-half-true,2022,February,25
911,Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false,2022,February,28
912,Video shows a Ukrainian fighter pilot shooting down a Russian plane.,meter-false,2022,February,25
913,Video shows footage from Russia invading Ukraine.,meter-false,2022,February,24
914,Photo shows Empire State Building lit up to support Ukraine.,meter-false,2022,February,23
915,"Photos show “Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger.”",meter-half-true,2022,February,20
916,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,2022,February,24
917,A 2022 video shows “Ukrainian and Russian soldiers face to face.”,meter-false,2022,February,25
918,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,2022,February,24
919,Russia is targeting U.S. biological weapons labs in Ukraine invasion.,meter-false,2022,February,24
920,A photo shows a Russian warplane under attack.,meter-false,2022,February,24
921,"This ""footage"" shows Russia attacking Ukraine.",meter-false,2022,February,24
922,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false,2022,February,19
923,“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,2022,February,20
924,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,2022,February,19
925,"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”",meter-false,2022,February,15
926,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false,2022,February,14
927,“President Trump sanctioned Russia. President Biden gave them a pipeline.”,meter-mostly-false,2022,February,8
928,"Video shows troops at the Ukraine-Russia border on Jan. 27, 2022.",meter-false,2022,January,27
929,Four players have dropped out of the Australian Open with “chest pains.”,meter-false,2022,January,19
930,“People are 7% poorer now because of Biden inflation.”,meter-mostly-false,2022,January,16
931,"Rep. Kathy Castor, D-Fla., is a communist",tom_ruling_pof,2021,December,13
932,"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",meter-false,2021,December,6
933,"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.",meter-false,2021,November,19
934,Photo shows people recently protesting in Austria.,meter-false,2021,November,23
935,Says Bill Gates is linked to the discovery of vials labeled “smallpox” at Pennsylvania lab.,meter-false,2021,November,16
936,"“We became a net exporter of natural gas in 2017, and until recently, our exports have exceeded our imports.”",meter-half-true,2021,July,28
937,“Farmers stand in silence at auction so a young man can buy back his family farmhouse.”,meter-false,2021,September,8
938,“President Putin bans mandatory vaccinations in Russia.”,meter-false,2021,September,7
939,"""Norfolk naval base has been taken by NATO.""",meter-false,2021,August,1
940,There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.,meter-half-true,2021,August,20
941,"The U.S. is “now importing 800,000 barrels of oil from Russia,” but that could have been prevented if the Keystone XL pipeline hadn’t been cancelled.",meter-half-true,2021,August,16
942,Says CNN and other news organizations tweeted that a journalist was executed in Kabul by Taliban fighters.,meter-false,2021,August,16
943,"The number of children in seven countries “missing so far this year” range from 20,000 to 460,000.",meter-false,2021,July,8
944,Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”,tom_ruling_pof,2021,June,23
945,"People with the COVID-19 vaccine are being ""tracked in real time via 5G cellular, and all that data can be hacked into to track you.""",tom_ruling_pof,2021,May,20
946,“Gas prices highest in a decade. Worst jobs report in 2 decades. Highest inflation in 3 decades. Highest increase in illegal immigration in 4 decades.”,meter-mostly-false,2021,May,17
947,Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,meter-false,2021,May,14
948,"A video shows Kim Jong Un calling Joe Biden a ""thug,"" a ""coward,"" and ""mentally unstable"" in a speech.",tom_ruling_pof,2021,March,7
949,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false,2021,April,12
950,"“Covid-does NOT exist AS A VIRUS,” and Russian doctors performing autopsies on deceased COVID-19 patients violate a World Health Organization law",tom_ruling_pof,2021,April,5
951,Says Joe Biden executive orders caused price increases of 50 cents in gas and 10% in food.,meter-false,2021,March,7
952,"""China was behind the interference and the effort to overthrow our government and the election, election fraud.""",meter-false,2021,January,18
953,Says that the oil and gas industry comprises 35% of the Texas economy.,meter-mostly-true,2020,December,12
954,Democrats “spent 4 years refusing to acknowledge Trump’s 2016 victory.”,meter-false,2020,November,12
955,Photo shows Time magazine cover with Barack Obama that says “Treason.”,meter-false,2020,November,22
956,Say a video shows “staffers stuffing ballots in flint mi”,tom_ruling_pof,2020,November,4
957,“Leftists” sent “Proud Boys” emails threatening Democratic voters.,meter-false,2020,October,21
958,“James Comey has 50 counts of TREASON. And John Brennan has 48 counts of TREASON.”,meter-false,2020,September,14
959,"“Trump denies fire assistance to California because they didn't vote for him, but helped Russia with their wildfires in Siberia.”",meter-false,2020,August,23
960,"Says President Barack Obama “spied on my campaign, and got caught!”",meter-false,2020,August,19
961,Contractors hired by government officials to frame Donald Trump are “behind the fake news in mainstream media” and recent protests.,tom_ruling_pof,2020,August,15
962,"Photo shows Angela Merkel, Theresa May and Dalia Grybauskaitė as teenagers.",meter-false,2020,August,3
963,“Israel dropped a tactical nuclear weapon on the port of Beirut.”,meter-false,2020,August,5
964,A study from the CDC and the WHO “proves face masks do not prevent the spread of a virus.”,meter-false,2020,July,23
965,“American coronavirus vaccine killed five Ukrainians.”,meter-false,2020,July,18
966,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false,2020,July,22
967,Says President Donald Trump “is still yet to say anything as the president of the United States about bounties on American troops.”,meter-mostly-false,2020,July,20
968,“We have one of the lowest mortality rates in the world” from COVID-19.,meter-false,2020,July,19
969,The President’s Daily Brief “is like a mini novel.”,meter-false,2020,July,2
970,"Says President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, ‘Slow the testing down.’""",meter-true,2020,June,22
971,Zoo animals were released during protests in Chicago.,tom_ruling_pof,2020,June,1
972,“Italian Parliament Calls For The Arrest of Bill Gates”,meter-false,2020,May,15
973,"Says it was ""a crime for Nixon to wiretap the Democrats at Watergate but OK for Obama to wiretap Republicans at Trump Tower.”",meter-false,2019,May,28
974,"“It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.”",meter-half-true,2020,May,9
975,"“Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that's perhaps the most important number there is.”",meter-false,2020,May,11
976,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",tom_ruling_pof,2020,April,23
977,“We’ve tested more than every country combined.”,tom_ruling_pof,2020,April,27
978,Says a “5G LAW PASSED while everyone was distracted” with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.,meter-mostly-false,2020,March,28
979,"Says President Donald Trump will announce that a scientist ""finally found vaccine to cure corona virus.""",tom_ruling_pof,2020,March,24
980,Says Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.,tom_ruling_pof,2020,March,21
981,“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”,meter-false,2020,March,23
982,Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”,meter-false,2020,March,3
983,"Says the media cut out his request of Russian hackers to find Hillary Clinton’s emails “right at the end so that you don’t see the laughter, the joke.”",meter-false,2020,February,29
984,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-half-true,2020,February,22
985,Says U.S. Rep. Sean Casten “demanded the impeachment of the Republican President before the Mueller report was even released.”,meter-false,2020,January,29
986,"""Vice President Biden threatened a foreign country and forced them to fire a prosecutor who was investigating a company,"" that paid his son Hunter.",meter-false,2020,January,29
987,"Says President Donald Trump’s hold on Ukraine aid was like when ""the Obama administration withheld $585 million of promised aid to Egypt in 2013 ... (and within the  fiscal year) they didn't have to disclose the halt to anyone.""",meter-mostly-false,2020,January,22
988,"""The Democrat controlled House never even asked John Bolton to testify.""",meter-false,2020,January,27
989,"""The missiles that were launched at American forces in Iraq from Iran, were funded by Barack Obama, with American tax dollars.""",meter-false,2020,January,8
990,There have been 317 criminal indictments under three recent Republican presidents and only three indictments under three recent Democratic presidents.,meter-half-true,2019,December,29
991,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false,2019,December,29
992,Says a video shows Iranian rockets being launched toward U.S. airbases in Iraq.,meter-false,2020,January,7
993,Says a video shows Iranian rockets being launched toward a U.S. air base in Iraq.,meter-false,2020,January,7
994,"Says the Democratic leadership and presidential candidates ""are mourning the loss of (Qassem) Soleimani""",tom_ruling_pof,2020,January,6
995,"""Iran will be shooting at our soldiers with bullets, etc., purchased with the $150 billion Obama gave them.""",meter-mostly-false,2020,January,1
