,claim
2837,"""Obama’s stimulus, passed in his first month in office, will cost more than the entire Iraq War."""
2839,"A New York imam wants to ""have a mosque at Ground Zero.''"
2842,"Despite the U.S. spending $10 billion on Iraq's electrical system, Baghdad still only gets five hours of electricity a day."
2843,"Allowing all Bush income tax cuts to expire on Dec. 31 ""will amount to the largest tax increase in the history of America."""
2849,"Cicilline ""continues to accept hundreds of thousands of dollars in lobbyist, corporate PAC and insider money to fund his campaign."""
2850,"Georgia is ""the Saudi Arabia of pine trees."""
2855,"Russ Feingold ""voted against the law that protected our lakes"" and ""was the only Great Lakes senator to vote no."""
2878,"Says he was ""a Marine during Vietnam."""
2887,"""The Health Care and Education Reconciliation Act is the largest-ever investment in higher education."""
2889,"Rubio's ""got more experience than Obama had."""
2896,"""The spillover violence (from Mexico) in Texas is real and it is escalating."""
2897,"""War for the soul of the TxDems: 57% of Dem incumbents for Tx House LOST their primary."""
2907,"""Obama has proposed a 1.4% pay increase for active duty military in 2011. This is THE LOWEST SINCE 1973 ... A LOWER PAY INCREASE THAN WELFARE RECIPIENTS!!!"""
2908,"""Todd Staples recently tried to woo his supporters and right-wing base by suggesting the Agriculture Commission cut programs intended to feed the elderly and disabled, many of whom are veterans."""
2912,"In 2001, former Federal Reserve chairman Alan Greenspan ""justified increasing spending and cutting taxes, saying that we didn't really need to pay down the debt."""
2914,"Franklin Roosevelt never allocated more than 12 percent of GDP to federal spending, while the percentage for Barack Obama is not projected to drop below 22.8 percent."
2933,"""In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there."""
2934,"""We're going to have more troops (in Afghanistan) . . . than the Russians had."""
2938,The Senate health care bill is longer than Tolstoy's 'War and Peace.'
2942,"A president must ""obtain Congress' consent before formally accepting the Nobel Prize."""
2949,"After Fahrenheit 9/11 came out, ""Bush's approval rating never was better, it only got worse."""
2963,"The war spending bill ""actually spends more money on the International Monetary Fund than on the war."""
2967,"""Already we've identified $2 trillion in deficit reductions over the next decade."""
2972,"""As a percentage of gross domestic product, we are reducing nondefense discretionary spending to its lowest level since the '60s, lower than it was under Reagan, lower than it was under Clinton, lower than it was under Bush, or both Bushes."""
2981,"""For my energy plan, my economic plan, and the other proposals you'll hear tonight, I've offered spending cuts above and beyond their cost."""
2982,"McCain is ""selectively editing Joe Biden's words...Biden actually said about Barack Obama: 'They're gonna find out this guy's got steel in his spine.'"""
2989,"""You had supported John McCain's military strategies pretty adamantly until this race."""
2990,"John McCain said ""he wouldn't even sit down with the government of Spain, a NATO ally that has troops in Afghanistan with us now."""
2991,"Barack Obama ""pays for every dime"" of his spending plans."
2995,"""In January, I outlined a plan to help revive our faltering economy, which formed the basis for a bipartisan stimulus package that passed the Congress."""
2996,"McCain ""voted to cut education funding, against accountability standards. He even proposed abolishing the Department of Education."""
3000,"""For four days in Denver, the Democrats were afraid to use the words 'Islamic terrorism.'"""
3003,"Obama voted ""to cut off funding for our American troops on the battlefield."""
3014,"""I argued for years that we need to move from a 'Musharraf policy' to a 'Pakistan policy.' """
3022,"Obama ""voted against critical resources: no to individual body armor, no to helicopters, no to ammunition, no to aircraft."""
3030,John McCain has given erratic and inconsistent answers on when troops should return from Iraq.
3035,John McCain has changed position on invading Iraq.
3037,"""These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for."""
3046,"""We have drawn down to presurge levels. Basra, Mosul and now Sadr City are quiet and it's long and it's tough and there will be setbacks."""
3049,"It doesn't make sense ""historically"" to drop out because the 1968 race was still competitive when ""Bobby Kennedy was assassinated in June in California."""
3053,"John McCain ""is one of the few senators of either party who oppose this bill (to expand education aid for veterans) because he thinks it's too generous."""
3059,"Rev. Wright said ""that al-Qaida and the American flag were the same flags."""
3063,"After Reagan took office, ""we didn't raise taxes and we didn't cut entitlements. What we did was we cut taxes."""
3066,"Obama supports ""teaching schoolchildren — in 2nd grade, no less — about homosexual relationships."""
3074,"""I negotiated open borders to let fleeing refugees into safety from Kosovo."""
3086,"Mitt Romney wants ""to set a date for withdrawal"" from Iraq."
3100,"Biden was responsible for ""ending genocide in Bosnia."""
3102,"""The estate tax, which came into being by Republicans like Teddy Roosevelt and others ... is there for a real simple reason: In America, we've never liked the idea of massive inherited wealth."""
3115,"""McCain Trying to Have it Both Ways on Iraq"""
3124,"Sen. Clinton said ""the surge of troops in Iraq was 'working.' Now.... Sen. Clinton says the surge 'has failed' and that we should 'begin the immediate withdrawal of U.S. troops.'"""
3129,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”"
3131,"Says the suspected Boulder mass shooter is a Muslim ""who entered illegally from Mexico and purchased the firearm from a guy that sells stolen guns."""
3139,"The United States paid for a 274-mile wall between Jordan and Syria, ""approved by the Dems in the house and senate,"" in order ""to keep ISIS out."""
3152,"The Iran deal ""handed billions of dollars of cash on cargo planes, sent it to a state sponsor of terror, and Tammy Baldwin was one of the first U.S. senators to get on board and support that."""
3161,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!"""
3168,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it."""
3170,"""A majority of President Trump's supporters and voters wanted (the United States) to stay in"" the Paris Agreement."
3180,"Refugee ""vetting was very haphazard,"" under the Obama Administration. ""In many cases, we simply accepted the word of applicants."""
3184,"""My policy is similar to what President Obama did in 2011 when he banned visas for refugees from Iraq for six months."""
3186,"""We don't get any of that information"" from the federal government on who refugees are, where they come from and how long they are likely to stay."
3190,"""If you look worldwide, the number of terrorist incidents have not substantially increased."""
3191,"""I was gone"" when there was a red line against Syria."
3197,"Germany ""is crime-riddled right now"" because of migration to Europe."
3208,"Says the Obama administration invited ""Russia into Syria."""
3213,"""The head of the FBI has told Congress they cannot vet those (Syrian) refugees."""
3218,"""There is currently no ability to vet these people,"" referring to Syrian refugees."
3221,"Climate change is ""directly related"" to the growth of terrorism."
3226,"""I deployed the Texas National Guard"" to the Texas-Mexico border. ""And the policy worked; apprehensions at the border declined 74 percent."""
3235,"ISIS is ""now the predominant Islamist group in Benghazi."""
3238,"The Obama administration ""supported Muslim allies trying to establish a new international blasphemy standard."""
3239,"Republicans are ""trying to impeach our president."""
3246,"""It is true that we know that ISIS is present in Ciudad Juarez (Mexico)"""
3257,Says he didn't tell viewers that the Obama campaign hid news about the motives behind the attack in Benghazi because Obama was running for re-election.
3265,"During his first year, President Obama said he ""was going to visit Kim Jong-ll and Ahmadinejad and Assad and Chavez – the worst actors in the world."""
3268,"The U.S. ""only ranks 25th worldwide on defense spending as a percentage of GDP."""
3274,"Hillary Clinton ""agrees with (John McCain) in embracing the Bush-Cheney policy of not talking to leaders we don't like."""
3283,"""FEC charges (Beto O'Rourke's 2018 campaign) Illegal Campaign Contributions."""
3286,“Tim Michels pushed for years to raise (Wisconsin’s) gas tax.”
3288,“Charlie Crist is pro-life.”
3304,“We have doubled our (oil) imports from Russia in the last year.”
3314,"Clips of Dr. Anthony Fauci show he “flip-flopped” on guidance for wearing masks, whether kids should be in school and whether people should change how they interact."
3316,People vaccinated for COVID-19 “do not spread the disease to anyone else.”
3318,“U.S. acres burned each year are much fewer now — even in our worst years — than was the case in the early 20th century.”
3321,"""Japan says goodbye Moderna, hello ivermectin."""
3326,"Illinois Republican lawmakers “have argued that they want an independent [redistricting] commission, but they didn't do anything about it.”"
3336,HR 1 “gives the federal government the power to establish their own committees” to take over the redistricting process.
3338,"“Joe Biden and Kamala Harris forced our troops to sleep on the floor of a garage, yet has authorized $89 million for hotel rooms for illegal immigrants.”"
3339,"""Marco Rubio's 'red flag' gun confiscation bill"" calls for guns to be confiscated ""without due process, based on unsubstantiated accusations."""
3343,"""The process to distribute the vaccine, particularly outside of nursing homes and hospitals out into the community as a whole, did not really exist when we came into the White House."""
3346,"“There were several states where outside actors dramatically changed the rules of the road, so to speak, two weeks out, one week out, on how elections would be run.”"
3347,"Says activists threatened his family and “screamed threats, vandalized, and tried to pound open our door.”"
3357,Says Susan Collins “pushed for policies that benefited her husband’s lobbying business.”
3359,"President Donald Trump’s tax returns show “what any wealthy person's tax history is, if you can believe it — which is good years and bad years, years of immense taxes and years of almost no taxes at all because you carry over losses.”"
3365,"""Marquette University threatened to rescind student’s admission over pro-Trump TikTok video."""
3371,"""Right now, China controls 80% of all ingredients and raw materials going into our generic prescription drugs."""
3372,“40% of the initial small business funds didn’t go to small businesses at all.”
3374,"Says all Vegas hotels but Trump’s have donated food, rooms in COVID response."
3387,"""The American military has been completely rebuilt under my administration at a cost of $2.5 trillion."""
3390,"Texas lawmakers ""left children able to be sterilized and mutilated at any point in their life"" by failing to adopt a law prohibiting minors from undergoing medical or surgical gender transitions."
3400,"Says the ""only valid reason to oppose voter ID is that you plan to cheat,"" and ""every Democrat in Congress opposes voter ID."""
3408,"""The debate on securing our border can't be measured in partisan jabs. It has to be measured in the human toll caused by porous borders: 1/3 migrant women are sexually assaulted;  7/10 migrants are victims of violence; 20k migrant children were illegally smuggled last month."""
3410,"Says as a Schedule 1 drug, marijuana carries a designation that means it ""should not be researched"""
3411,"Says that Andrew Gillum said, ""Police and prisons have no place in justice."""
3416,"Capital punishment is a ""specific deterrent with the most heinous crimes."""
3417,"After Hurricane Hermine struck Tallahassee, ""utility companies lined up trucks to restore power. But as mayor, Andrew Gillum refused help from workers."""
3422,"Says Supreme Court nominee Brett Kavanaugh’s opinion that a president ""may decline to enforce a statute . . . when the president deems the statute unconstitutional"" is ""contrary to 200 years of Supreme Court precedent."""
3423,"""US representatives promise implement of UN gun-control plans"""
3425,"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians."
3426,"""Jim Renacci has been a lobbyist even while in Congress"" and ""voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest."""
3430,"""Luke Messer? He plotted with the Never-Trumpers to steal the nomination from President Trump."""
3435,"Says Mike DeWine ""interfered with and stifled"" a sexual harassment investigation and then ""eliminated the office that investigated harassment claims within the AG’s office."""
3441,"Charles Francis ""vows to slash funding for parks and open space."""
3448,"""Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid – that they’re not a boy or a girl and they can choose whichever gender they want."""
3450,"Gov. Roy Cooper has ""filed nearly one lawsuit a month, with every single one of them an attempt to extend his own power."""
3452,"""The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!"""
3467,"""I'm calling into question the accuracy of the ruling. The district judge in Seattle said there was no indication of terrorism from these seven countries in our country."""
3469,"Says Secretary of State Rex Tillerson got a ""government service golden parachute"" payment of $180 million ""from Exxon Mobil that he would have to forfeit had he taken a job elsewhere."""
3471,"Says Betsy DeVos and her family ""have donated extensively to groups which promote the idea that students who identify as LGBT must undergo 'conversion' therapy."""
3481,"Says Russ Feingold ""got paid $8,000 a lecture at Stanford University."""
3484,"Says it’s not possible for some Wisconsin residents to watch Packers games, ""they’re forced to watch Viking games,"" so he ""got a law passed to fix"" the problem."
3485,"""The man who was in charge of the investigation of Hillary Clinton accepted essentially from Hillary Clinton $675,000 that went to his wife."""
3489,"""Just like Hillary Clinton,"" Russ Feingold had a ""run-in with corruption and scandal by using a personal slush fund -- a.k.a. the Feingold Foundation --  while plotting another run for U.S. Senate."""
3490,"Says ""I’ve been proven right"" about ""Hillary Clinton's radical call for open borders, meaning anyone in the world can enter the United States without any limit at all."""
3498,"Says Hillary Clinton ""abided by the ethics agreement"" between the Clinton Foundation and the Obama administration."
3499,"""...Secret documents reveal that Iran could obtain a nuclear weapon far sooner than we were told. And Tammy Duckworth voted ‘yes’ (on the Iran nuclear deal)."""
3500,"""Roy Cooper's refusal to do his job is costing taxpayers money."""
3501,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money."""
3504,"""We defied the stand-down orders"" during the Benghazi attack."
3507,"Says the Clinton Foundation ""accepted millions and millions of dollars from governments like Algeria, Saudi Arabia, Oman and the United Arab Emirates,"" which violated ""a ban on all contributions to the Foundation from foreign nations."""
3514,"""Senate Bill 1070, simply, just mirrors federal law."""
3525,"U.S. global AIDS spending helped reduce ""political instability and violence"" by ""40 percent"" in recipient nations."
3528,"Says ""the one person (Donald Trump) has suggested that would make a good justice is his sister, who is a court of appeals judge appointed by Bill Clinton. She is a hardcore pro-abortion liberal judge."""
3531,"The United States has ""10,000 IRS agents making sure that you don't take an improper charity deduction,"" but to fight terrorism, it has ""less than two dozen people focusing on countering violent extremism at home."""
3533,"Says Hillary Clinton told her daughter and a government official that Benghazi ""was a terrorist attack, and then tells everybody else that it was a video."""
3537,"Says Carlos Lopez-Cantera ""even voiced enthusiastic support for bringing an Arizona-style immigration law to Florida, calling the measure 'common sense.’"""
3546,"Says the Clintons ""burst through their own self-pronounced guidelines"" by accepting foreign donations. ""There is a clip of Bill Clinton saying we're not going to take foreign donations."""
3549,"Says Israel Prime Minister Benjamin Netanyahu ""didn't change his position"" on a two-state solution."
3550,"The delay in school testing ""was not that of a vendor, the problem was not that of the test materials itself, it was the product of a cyber attack."""
3554,"Georgia has had 12 school shootings in the two years since the mass killing at Sandy Hook Elementary School, more than any other state."
3563,Says Scott Brown co-sponsored legislation to let employers deny women coverage for mammograms.
3567,"Says Sen. Jeanne Shaheen’s ""wealth has surged while in public office."""
3572,"Says Rep. Bruce Braley, D-Iowa, ""skipped an important VA reform hearing to attend three fundraisers."""
3576,"""Wendy Davis’ legal work is currently under FBI investigation."""
3580,Jason Carter supports using Georgia tax dollars to promote Obamacare
3583,"In discussing the attacks on the U.S. consulate in Benghazi, Libya, ""Ms. Rice did say 'a terrorist attack.' It’s not that she put the whole thing on the video."""
3587,"Every one of ""more than 30 federal judges who have considered the issue of gay and lesbian rights since last June… ruled that marriage is a constitutional right and you cannot deprive individual citizens of that right based on their sexual orientation."""
3589,"""I always supported civil unions."""
3591,"""We have been confronted with an unexpected storm that has hit the metropolitan area."""
3598,"""If you survey, most (North Carolina) Democrats also agree with our (election) laws and voter ID."""
3601,"Says ""Nathan Deal killed pro-gun bills in 2013."""
3603,"""The United States Senate — Democrats and Republicans — (voted) to keep our government open."""
3605,A judge took the Star Scientific tax case away from Ken Cuccinelli
3606,"""A little-known unit of the Department of Justice, the Community Relations Service, was deployed to Sanford, FL, following the Trayvon Martin shooting to help organize and manage rallies and protests against George Zimmerman."""
3609,"Broward County was one of three counties in the nation ""pivotal to an Obama victory"" in 2012."
3612,"Says uncompensated health care costs absorbed by Texas hospitals are adding $1,800 a year to Texas private insurance rates."
3625,"Says Charlie Crist and Missouri Rep. Todd Akin ""hold same abortion views. No exception except the life of the mother."""
3633,"Says the Obama administration ""watered down sanctions"" against Iran, delayed them and tried to stop Congress ""from putting the tough sanctions in place."""
3636,"""When Congress voted to condemn Iran for sentencing a Christian pastor to death, (U.S. Rep. Lois) Capps was the only member who voted no."""
3639,"Says Romney tax plan ""could take away middle-class deductions for child care, mortgages and college tuition."""
3642,The significant drop in Florida’s unemployment rate is a good economic sign.
3653,"Says Michael Cargill was ""arrested and incarcerated in Bell County."""
3655,"Women ""earn only 77 cents for every dollar earned by men in the same position."""
3661,"Says ""I never billed a single hour of my time to the City of Portland in the last 10 years -- so, no revolving door."""
3662,"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter."""
3665,"""This president ... could have gotten crippling sanctions against Iran. He did not."""
3674,"""Bob Menendez just voted to increase the government's debt ceiling to $1.9 TRILLION! In his 19 years in Congress, Menendez has helped overspend America over $15 TRILLION into debt."""
3677,Says murder is the chief cause of death for pregnant women.
3679,"Says that according to one economist, $1 of unemployment benefits boosts the economy by $1.61."
3687,Says Texas Senate hopeful Donna Campbell doesn’t live in the district she’s hoping to win in 2012.
3690,"Says Barack Obama’s ""favorability rating in Israel once clocked in at 4 percent."""
3692,Tax increases under Michigan Gov. Jennifer Granholm led to state unemployment going from 6.8 percent to 15.3 percent.
3694,(Rep. Bob Goodlatte's) balanced budget amendment does not require a balanced budget.
3695,"""The Florida Legislature has not filed a lawsuit to fight Amendments 5 and 6."""
3700,Muslims tried to use Sharia law to influence court decisions in New Jersey and Oklahoma
3711,"""The New START treaty was passed despite significant concerns among some people in the State and Defense Departments."""
3716,Robert Hurt supported a bill that helped the uranium industry after taking contributions from the industry and because his father had a stake in it.
3720,"""Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America."""
3721,"PolitiFact Texas says ""Congressman Edwards' attacks on Bill Flores are false."""
3726,"A bill to cap carbon emissions ""could cost Ohio 100,000 jobs."""
3728,"Dan Gelber's employment by BP's law firm ""could disqualify him from representing Florida against BP as Attorney General."""
3735,"Late changes to the Arizona immigration law ""lay to rest questions over the possibility of racial profiling."""
3736,"""Dubai is the only country with huge amounts of imported workers that's actually passed legislation to give these immigrant workers a better deal in the Middle East."""
3739,"""I left the city with $43 million in the bank."""
3741,"""Mayor White has major stake in Barnett Shale production company."""
3742,The Bush administration prosecuted 190 suspected terrorists in federal courts.
3743,Says his executive order requiring young girls to be vaccinated against HPV wasn't mandatory.
3773,"""Barack Obama: I'm 'the First Sitting American President to Come From Kenya.'"""
3794,"Mark Kelly ""voted to allow prison inmates to receive stimulus checks five separate times."""
3799,"Raphael Warnock ""called police thugs, then cut their funding."""
3812,Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”
3816,"""The Supreme Court ruled that border agents can enter anyone’s home within a 100-mile radius of the border without a warrant for any reason and federal courts cannot do anything about it."""
3832,“Judge Jackson doesn’t think perverts should have to register (as sex offenders). She says it ‘stigmatizes’ THEM.”
3835,Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”
3854,"""In 2015, when Terry McAuliffe was governor, the Virginia Department of Education promoted incorporating critical race theory lens in education...They were trying to indoctrinate kids.”"
3858,Ted Budd’s family used AgriBioTech money to help “give donations to these Washington special interest groups that are running negative ads against me in the Senate race.”
3860,"""Verizon promotes defunding the police and (the) idea that America is fundamentally racist."""
3877,"Says North Carolina bill ""would allow politically active 501(c)(4) organizations to hide major donors while using their money to support or oppose candidates and political issues.”"
3892,“Republicans recently passed a bill to eliminate early voting on Sunday” in Georgia
3893,"Under H.R. 1, the Federal Election Commission “for the first time ever, instead of being an equal number of Republicans and Democrats (would be) three of one side and two of the other."""
3898,HR 1 “automatically registers every welfare recipient to vote.”
3904,"""Schools are trying to make a law that teachers can see girls' private parts to make sure they're not trans."""
3906,"After the Capitol insurrection, “one of the first people arrested was a leader of antifa."""
3912,"“CNN-NPR photojournalist Jade Sacker was embedded with antifa leader"" during the U.S. Capitol attack."
3914,Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”
3915,Quotes show Democrats supported riots “when BLM was BURNING down cities and killing people in the streets!”
3923,"As part of the Obama administration's criminal justice reforms, “38,000 prisoners were released from federal prison.”"
3935,"“So far, out of 175 arrested in Kenosha, 102 were not from Kenosha. Rioting has become its own industry.”"
3936,“Houston Texans coming out for the Black National Anthem then going into the locker room for THE REAL NATIONAL ANTHEM is DISGRACEFUL.”
3950,"The longest filibuster in U.S. history was 75 days and “took place in 1964, when Democrats tried to block the Civil Rights Act.”"
3954,Says police unions have it “written into a contract that (officers) are not going to be accountable” for misconduct.
3957,"COVID-19’s “contagion probability” between two people is 70% if the carrier is not masked, 5% if the carrier is masked, and 1.5% if both parties are."
3968,Says a photograph shows U.S. soldiers sleeping on the ground after Washington D.C.’s mayor kicked them out of local hotels.
3979,"“While all COVID-19 news has been going on, the U.S. Government has been sneakily trying to remove end-to-end encryption” which means “the government will be able to see all of your messages and listen to all of your calls.”"
3981,“Replacing marriage licenses with domestic union contracts does not alter state or federal benefits.”
3982,"Says at polling places in Texas on Super Tuesday “the Republican side gets 25 machines, the Democratic side gets 5 machines. People were literally standing in line for seven hours.”"
3983,“Bernie Sanders in 1963 — arrested protesting segregation. Joe Biden in 1975 — passionate speech defending segregation.”
3987,"Says the photo ID law passed by North Carolina lawmakers is “one of the nation’s most lenient voter ID laws."""
3996,"""Most of the requests for records possessed by the Attorney General’s Office are from private law firms and companies."""
3998,"Says President Trump’s administration has ""actually worsened our nation’s homelessness crisis"" by cutting affordable housing programs, allowing shelters to refuse people based on gender identity or sexual orientation, evicting immigrant families of mixed legal status from subsidized housing and raising rent."
4009,"""A black person is four times as likely as a white person to be incarcerated for the exact same crime."""
4010,"Says the U.S. Department of Justice has ""seen in the past"" that police department ""consent decrees don’t work, that there’s very little change, that oftentimes immediately after a consent decree goes into effect, crime actually goes up."""
4013,"""I did not oppose busing in America. What I opposed is busing ordered by the Department of Education."""
4014,"Says the Central Park Five ""admitted their guilt."""
4016,"Says North Carolina banned and criminalized ""Islamic Sharia Law"""
4018,"In Florida, ""it’s illegal for mayors to even bring up gun reform for discussion."""
4021,"""Our road conditions cost WI families. In Milwaukee, the average cost per driver is $2,300."""
4026,"Says presidents George W. Bush and Barack Obama each tried to get immigration bills passed, but ""it did not work because the other party was unwilling to provide the president and his party a victory."""
4035,"""HR 1 is going to take your hard-earned tax dollars and millions more and send them to (a political candidate’s) campaign so (they) can put ads on TV."""
4037,"""Half the states in the U.S. have laws that criminalize criticism."""
4042,"Says new U.S. Democratic Rep. Rashida Tlaib has been linked to an ""unindicted terrorist."""
4044,"Says former North Carolina elections board chairman ""tried to drag a cancer-stricken woman out of her hospital bed to testify at her son’s hearing on the first day of early voting over a bogus complaint that the board hadn’t even fully investigated."""
4051,"Says California Republican Young Kim is ""a tax cheat"" who ""illegally claimed a $7,000 annual homestead exemption on a house she wasn’t living in,"" had ""multiple tax liens placed on her"" as a result and ""owes over $10,000 in unpaid federal income taxes."""
4055,"Says Beto O’Rourke ""voted to shield MS-13 gang members from deportation."""
4058,"An agreement between the city of Chicago and the ACLU caused ""virtually all of the rise in homicides"" in 2016."
4066,"""PHARMACEUTICAL COMPANIES that manufacture vaccines have IMMUNITY FROM PROSECUTION!"""
4071,"""I am the only (state attorney general) in America fighting to hold the big tech companies accountable for their behavior."""
4076,"Says detained immigrant parents separated from their children at the border are being charged ""as much as $8 a minute to call their children."""
4079,"Says Brett Kavanaugh is ""pro-Obamacare."""
4084,"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa."""
4087,"A legal settlement that reined in Chicago police ""resulted in approximately 236 additional victims killed and over 1,100 additional shootings in 2016 alone."""
4113,"Says former President Barack Obama ""pardoned a traitor who gave U.S. enemies state secrets, he also pardoned a terrorist who killed Americans."""
4118,"House Bill 330 ""grants immunity from liability to motorists who strike protesters."""
4122,"California and New York are ""the two biggest polluting states in the country."""
4125,"""I've gotten rid of the Johnson Amendment … I signed an executive order so that now ... ministers and and preachers and rabbis and whoever it may be, they can speak. You know, you couldn’t speak politically before, now you can."""
4129,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton."""
4137,"""Larry Krasner is the only candidate running for District Attorney who explicitly pledges to never seek the death penalty."""
4138,"Says Jon Ossoff wants to ""allow illegal immigration."""
4140,"""Just last May, the Department of Justice inspector general found that these (‘sanctuary city’) policies also violate federal law."""
4151,"Says Neil Gorsuch ""comes down on the side of felons over gun safety."""
4153,"""From the release of a child rapist from the Dominican Republican to that of an Italian drug smuggler, Philadelphians have already been put in direct danger by Mayor Kenney’s policy of blocking local law enforcement from participating with federal immigration authorities."""
4156,"Says Georgia’s 5th congressional district, represented by John Lewis, is ""in horrible shape and falling apart (not to mention crime infested)."""
4163,"""We would be just like North Carolina with HB2-like (transgender bathroom) legislation. It actually passed our chamber and I vetoed it."""
4165,"""Black Lives Matter, who are attacking law enforcement officers"" -- Barack Obama ""had them to the White House."""
4170,"""Casey Weinstein: No faith in our military"" ... ""When some of our cadets wanted to watch a religious film, Casey Weinstein sued the U.S. military. Sued our soldiers?"""
4171,"""There’s a section in the Constitution called the Emoluments Clause that says no one, nor their spouses, can take money from foreigners. (Hillary Clinton) has to be guilty of 70 or 100 counts just on that one charge."""
4182,"Says ""no, you’re wrong,"" responding to the assertion that stop-and-frisk was ruled unconstitutional in New York."
4189,"""That's legal: If you find out about somebody else's salary even if you're doing exactly the same job, you can be retaliated against, including being fired, in most places."""
4201,"""[Hillary Clinton]'s not trusted -- virtually at all."""
4202,"In 2010, Clinton ""said Iran could enrich uranium. In 2014 she said she’s always argued against it."""
4207,"Barack Obama issued a decree ""demanding that every public school now allow grown men and boys into the little girls’ bathroom."""
4212,"Says Judge Gonzalo Curiel ""is a member of a club or society, very strongly pro-Mexican."""
4230,"""A third of the budget for the city of Ferguson (Missouri) was being reaped by civil fines."""
4233,"""In Houston, Texas, today, there are no homeless veterans."""
4240,"""There are over 700,000 Americans on some watch list or another that would all be captured"" in a Democratic amendment intended to stop suspected terrorists from buying guns."
4249,"Says Scott Walker ""said he wouldn't touch"" the state civil service system but now supports overhauling it."
4250,"There is not ""one of the Muslim nations"" that doesn't have ""discrimination against women, discrimination against gays, subjugation of other religious beliefs."""
4252,"""I released all my emails."""
4253,"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't."""
4256,There is debate among constitutional scholars about whether the First Amendment will continue to protect faith leaders from being forced to perform marriages against their religious beliefs.
4257,"Says states not directly involved in the gay marriage lawsuits that reached the Supreme Court ""are not bound"" by the court’s ruling."
4264,"""This type of mass violence does not happen in other advanced countries. It doesn’t happen in other places with this kind of frequency."""
4284,"""Students In Fla. High School Forced To Recite Islamic Prayer, Make Prayer Rugs."""
4294,"Says. Rep. Joe Barton, R-Texas, once said, ""Wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up."""
4297,"""China has made enormous progress in its human rights. That is a fact recognized by all the people in the world."""
4299,"Says Charlie Crist wants felons who ""commit a heinous crime"" such as ""intentional permanent disfigurement of a child, you walk out of jail, you immediately get to vote."""
4301,"""Under the administration of Gov. Scott Walker, northern Wisconsin’s mining economy is moving forward and more people are getting good, high-paying jobs."""
4303,"David Perdue ""opposes laws that provide equal pay protections for women."""
4304,"A 2011 measure passed into law with Wendy Davis’ support ""removes from the attorney general the ability to settle lawsuits just like"" the school funding case."
4309,"Greg Abbott did ""nothing"" to pursue reports of the sexual abuse of boys at a West Texas state-run school."
4313,"Says Michigan U.S. Senate candidate Terri Lynn Land ""said guaranteeing equal pay for women who do the same job as men is not a good idea."""
4321,"Compared to President Obama, ""President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians."""
4322,The Obama Administration is suing a Wisconsin company for forcing employees to speak English.
4331,"""Last year the (Medicaid Fraud Control Unit) in Virginia alone recovered over $200 million!"""
4332,"""More whites believe in ghosts than believe in racism."""
4337,"""We know that Sunday mornings have usually been given over to conservative white men."""
4342,"""EPA officials have commended (Koch Industries) for our ‘commitment to a cleaner environment’ and called us ‘a model for other companies.’ """
4343,"Says Cathy Jordan was ""arrested"" and dragged out of her home by ""a SWAT team of hooligans"" for using medical marijuana."
4352,"In 2011, Carlos López-Cantera ""staunchly supported"" a Florida bill modeled after Arizona’s immigration law"
4371,"Wisconsin’s criminal threshold for drunken-driving is ""way out of line"" with ""states surrounding us,"" which ""have the second offense as a felony."""
4374,"""Texas women make an average of $8,355 less per year than men doing the very same job."""
4382,"Most Americans want ""traditional marriage,"" as defined by the Defense of Marriage Act."
4389,"The IRS scandal ""clearly showed some criminal behavior."""
4393,"An 11-year-old girl was investigated by the FBI and had to pay a $500 federal criminal fine ""because she found an injured woodpecker and put it in a cage to make sure that the bird was OK."""
4396,"In just six years, Georgia has dropped from first in the nation from a business-friendly legal climate to 24th."
4400,"""Congresswoman Frederica Wilson successfully postpones closure of the North Perry airport tower."""
