,claim,year_of_publish,month_of_publish,day_of_publish,truth_value,Unnamed: 0
200,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",2022,October,25,meter-false,200.0
201,“The Russian army has surrendered in Donetsk!”,2022,September,28,meter-false,201.0
202,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",2022,September,28,meter-false,202.0
203,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",2022,September,12,tom_ruling_pof,203.0
204,“The Russian army is withdrawing from Ukraine!” in September 2022,2022,September,3,meter-false,204.0
205,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",2022,July,2,meter-mostly-false,205.0
206,Ukraine adopted “laws banning the Russian language.”,2022,June,6,meter-false,206.0
207,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",2022,April,27,meter-false,207.0
208,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,2022,March,17,meter-half-true,208.0
209,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",2022,March,28,meter-false,209.0
210,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",2022,March,11,tom_ruling_pof,210.0
211,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",2022,March,14,meter-false,211.0
212,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,2022,March,2,meter-false,212.0
213,This video shows “Russian war in Ukraine.”,2022,March,7,meter-false,213.0
214,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",2022,March,7,meter-mostly-true,214.0
215,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,2022,March,2,tom_ruling_pof,215.0
216,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",2022,March,6,meter-mostly-false,216.0
217,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,2022,February,28,meter-false,217.0
218,The war in Ukraine is “scripted and staged.”,2022,February,25,tom_ruling_pof,218.0
219,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,2022,February,28,meter-false,219.0
220,"""The Russian army does not occupy Ukrainian territory.""",2022,March,1,tom_ruling_pof,220.0
221,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",2022,February,28,meter-false,221.0
222,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,2022,February,26,meter-false,222.0
223,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,2022,March,25,meter-false,223.0
224,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",2022,February,27,meter-false,224.0
225,“We have doubled our (oil) imports from Russia in the last year.”,2022,February,22,meter-mostly-false,225.0
226,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",2022,February,19,meter-mostly-false,226.0
227,A photo showing young children saluting troops was captured in Ukraine in 2022.,2022,February,25,meter-false,227.0
228,Actor Steven Seagal spotted among Russian special forces in Ukraine,2022,February,28,meter-false,228.0
229,Video shows footage from Russia invading Ukraine.,2022,February,24,meter-false,229.0
230,TikTok video shows Russian soldiers parachuting into Ukraine.,2022,February,24,meter-false,230.0
231,A 2022 video shows “Ukrainian and Russian soldiers face to face.”,2022,February,25,meter-false,231.0
232,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,2022,February,24,meter-false,232.0
233,A photo shows a Russian warplane under attack.,2022,February,24,meter-false,233.0
234,“Russia has never attacked anyone throughout its history.”,2022,February,20,tom_ruling_pof,234.0
235,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",2022,February,19,tom_ruling_pof,235.0
236,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",2022,February,14,meter-false,236.0
237,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,2021,January,23,meter-false,237.0
238,"""Ukraine blatantly interfered in our election.""",2019,December,8,meter-false,238.0
239,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",2019,November,15,tom_ruling_pof,239.0
240,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",2019,October,21,meter-mostly-false,240.0
241,"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine.""",2019,October,7,meter-false,241.0
242,"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life""",2019,October,1,meter-false,242.0
243,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",2019,May,2,meter-half-true,243.0
244,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",2019,January,2,tom_ruling_pof,244.0
245,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false,245.0
246,"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia.",2018,July,23,meter-false,246.0
247,"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians.",2018,January,29,meter-mostly-false,247.0
248,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",2018,February,24,tom_ruling_pof,248.0
249,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",2018,February,20,meter-mostly-false,249.0
250,"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",2017,July,12,meter-half-true,250.0
251,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",2017,June,23,meter-mostly-false,251.0
252,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",2016,July,27,meter-mostly-false,252.0
253,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",2016,July,3,meter-mostly-true,253.0
254,"""Texas has a higher incarceration rate than Russia or Iran.""",2016,February,26,meter-mostly-true,254.0
255,"Says the Obama administration invited ""Russia into Syria.""",2015,December,15,meter-mostly-false,255.0
256,"Russia ""has an economy the size of Italy.""",2014,July,27,meter-mostly-true,256.0
257,"Compared to President Obama, ""President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians.""",2014,July,17,meter-mostly-false,257.0
258,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",2014,May,18,meter-half-true,258.0
259,"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""",2014,April,17,meter-false,259.0
260,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",2014,March,16,meter-mostly-false,260.0
261,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",2014,February,28,meter-half-true,261.0
262,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",2014,March,2,meter-true,262.0
263,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",2014,March,2,meter-true,263.0
264,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",2013,September,7,meter-mostly-false,264.0
265,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",2012,October,11,meter-half-true,265.0
266,Says Romney called Russia our No. 1 enemy.,2012,September,6,meter-mostly-true,266.0
267,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,2022,November,13,meter-false,267.0
268,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",2022,November,2,tom_ruling_pof,268.0
269,“Ukraine has a nuclear bomb primed in Mykolaiv.”,2022,October,20,meter-false,269.0
270,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",2022,October,25,meter-false,270.0
271,North Korea has taken military action against Russia.,2022,October,8,tom_ruling_pof,271.0
272,“The Russian army has surrendered in Donetsk!”,2022,September,28,meter-false,272.0
273,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",2022,September,28,meter-false,273.0
274,“Biden threatens to assassinate Ukraine president.”,2022,July,18,tom_ruling_pof,274.0
275,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",2022,July,2,meter-mostly-false,275.0
276,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,2022,July,3,meter-false,276.0
277,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",2022,June,12,meter-false,277.0
278,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",2022,May,26,meter-half-true,278.0
279,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,2022,May,22,meter-false,279.0
280,“Soldiers destroyed Russian tank with NLAW in ambush.”,2022,May,18,meter-false,280.0
281,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,2022,May,13,meter-false,281.0
282,Photo of unbroken windows proves war in Ukraine is fake.,2022,April,23,tom_ruling_pof,282.0
283,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",2022,April,16,meter-false,283.0
284,Video shows “Russian soldiers using weapons that have been in a cupboard since Soviet times.”,2022,March,13,meter-false,284.0
285,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",2022,March,11,tom_ruling_pof,285.0
286,U.S. has biological weapons labs in Ukraine.,2022,March,9,meter-false,286.0
287,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,2022,March,6,meter-false,287.0
288,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,2022,March,2,tom_ruling_pof,288.0
289,The war in Ukraine is “scripted and staged.”,2022,February,25,tom_ruling_pof,289.0
290,"Russia unveiled a nuclear weapon, ""Satan 2,"" that is ""capable of destroying everything breathing in the world.""",2022,February,25,meter-false,290.0
291,Russia is targeting U.S. biological weapons labs in Ukraine invasion.,2022,February,24,meter-false,291.0
292,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",2021,April,12,meter-false,292.0
293,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",2020,February,22,meter-half-true,293.0
294,"Says President Donald Trump’s hold on Ukraine aid was like when ""the Obama administration withheld $585 million of promised aid to Egypt in 2013 ... (and within the  fiscal year) they didn't have to disclose the halt to anyone.""",2020,January,22,meter-mostly-false,294.0
295,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",2019,December,29,meter-false,295.0
296,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",2019,November,13,meter-mostly-true,296.0
297,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",2019,October,21,meter-mostly-false,297.0
298,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",2019,February,27,meter-mostly-true,298.0
299,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false,299.0
300,"President Donald ""Trump’s latest set of sanctions against companies and countries benefiting North Korea includes every nation but one making shipments to (North Korea). The one nation Trump exempted from his punitive ban was . . . wait for it . . . drumroll: Russia.""",2018,March,2,meter-mostly-false,300.0
301,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",2017,November,26,meter-mostly-false,301.0
302,"Russia has ""tremendous numbers of nuclear warheads — 1,800, by the way — where they expanded, and we didn't.""",2016,October,19,meter-half-true,302.0
303,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",2016,October,4,meter-half-true,303.0
304,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",2016,September,28,meter-mostly-false,304.0
305,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",2016,September,9,meter-half-true,305.0
306,"Russia and China are ""doing naval exercises together someplace.""",2016,August,1,meter-mostly-true,306.0
307,"""Texas has a higher incarceration rate than Russia or Iran.""",2016,February,26,meter-mostly-true,307.0
308,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",2016,March,21,meter-false,308.0
309,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",2016,January,13,tom_ruling_pof,309.0
310,"Says the Obama administration invited ""Russia into Syria.""",2015,December,15,meter-mostly-false,310.0
311,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",2015,August,6,meter-false,311.0
312,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",2015,July,27,meter-mostly-true,312.0
313,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",2014,March,23,meter-half-true,313.0
314,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",2013,September,7,meter-mostly-false,314.0
315,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",2012,October,22,meter-half-true,315.0
316,Says Romney called Russia our No. 1 enemy.,2012,September,6,meter-mostly-true,316.0
317,Photo shows fighting in Ukraine.,2022,September,21,meter-false,317.0
318,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",2022,May,26,meter-half-true,318.0
319,This video shows “Russian war in Ukraine.”,2022,March,7,meter-false,319.0
320,"“The former Miss Universe-Ukraine, Anastasiia Lenna, turned in her high heels for some combat boots to fight for her country.”",2022,February,27,meter-false,320.0
321,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",2022,February,27,meter-false,321.0
322,A photo showing young children saluting troops was captured in Ukraine in 2022.,2022,February,25,meter-false,322.0
323,Actor Steven Seagal spotted among Russian special forces in Ukraine,2022,February,28,meter-false,323.0
324,"""The United States doesn’t have the highest murder rate among developed countries. You look at Russia, you look at Brazil, those are countries that have 3 to 5 times higher murder rates than what we have here in the United States.""",2015,June,24,meter-half-true,324.0
325,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",2012,October,11,meter-half-true,325.0
326,Russia’s Army was “destroyed.”,2022,December,18,meter-false,326.0
327,The war in Ukraine is “all over.”,2022,December,12,meter-false,327.0
328,“Gas prices are down back to where they were before Russia invaded Ukraine.”,2022,November,29,meter-true,328.0
329,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",2022,November,27,meter-false,329.0
330,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,2022,November,13,meter-false,330.0
331,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",2022,November,2,tom_ruling_pof,331.0
332,“Ukraine has a nuclear bomb primed in Mykolaiv.”,2022,October,20,meter-false,332.0
333,Video clips show staged war footage from Ukraine.,2022,October,22,tom_ruling_pof,333.0
334,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,2022,October,22,meter-false,334.0
335,North Korea has taken military action against Russia.,2022,October,8,tom_ruling_pof,335.0
336,“The Russian army has surrendered in Donetsk!”,2022,September,28,meter-false,336.0
337,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",2022,September,28,meter-false,337.0
338,“Chinese military convoy enters Ukraine from Russia.”,2022,September,18,meter-false,338.0
339,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",2022,September,12,tom_ruling_pof,339.0
340,Russia “has not lost anything” in its invasion of Ukraine.,2022,September,7,meter-false,340.0
341,“The Russian army is withdrawing from Ukraine!” in September 2022,2022,September,3,meter-false,341.0
342,“US Army in Ukraine.”,2022,August,17,meter-false,342.0
343,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,2022,July,19,meter-false,343.0
344,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",2022,July,2,meter-mostly-false,344.0
345,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,2022,July,3,meter-false,345.0
346,Video shows Ukrainian soldiers shooting down Russian helicopters.,2022,June,29,meter-false,346.0
347,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",2022,May,26,meter-half-true,347.0
348,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,2022,May,23,meter-false,348.0
349,“J.D. Vance profits off Russia propaganda.”,2022,May,10,meter-half-true,349.0
350,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,2022,May,22,meter-false,350.0
351,Video shows “Russian tank column totally destroyed by attack helicopter.”,2022,May,19,meter-false,351.0
352,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,2022,May,18,meter-false,352.0
353,“Soldiers destroyed Russian tank with NLAW in ambush.”,2022,May,18,meter-false,353.0
354,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,2022,May,13,meter-false,354.0
355,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",2022,May,5,meter-false,355.0
356,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,2022,April,30,meter-false,356.0
357,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,2022,April,17,meter-false,357.0
358,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",2022,April,27,meter-false,358.0
359,Photo of unbroken windows proves war in Ukraine is fake.,2022,April,23,tom_ruling_pof,359.0
360,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,2022,April,23,tom_ruling_pof,360.0
361,A video shows the Russian warship Moskva exploding.,2022,April,14,meter-false,361.0
362,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",2022,April,16,meter-false,362.0
363,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",2022,April,16,meter-false,363.0
364,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",2022,April,18,meter-false,364.0
365,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",2022,April,16,tom_ruling_pof,365.0
366,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,2022,April,15,tom_ruling_pof,366.0
367,Ukraine was responsible for the Kramatorsk train station bombing.,2022,April,13,meter-false,367.0
368,Ukraine is the “money laundering and child sex trafficking capital of the world!”,2022,April,7,meter-false,368.0
369,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,2022,February,27,meter-false,369.0
370,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",2022,April,2,meter-false,370.0
371,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",2022,April,3,meter-false,371.0
372,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,2022,March,28,meter-false,372.0
373,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,2022,March,17,meter-half-true,373.0
374,“The Simpsons” predicted Russia’s invasion of Ukraine.,2022,March,5,meter-false,374.0
375,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,2022,March,21,meter-false,375.0
376,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",2022,March,11,tom_ruling_pof,376.0
377,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,2022,March,20,meter-false,377.0
378,Russian President Vladimir Putin “was assassinated.”,2022,March,19,tom_ruling_pof,378.0
379,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",2022,March,14,meter-false,379.0
380,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,2022,March,2,meter-false,380.0
381,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",2022,March,15,tom_ruling_pof,381.0
382,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,2022,March,13,meter-false,382.0
383,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",2022,March,15,meter-false,383.0
384,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,2022,March,15,meter-false,384.0
385,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,2022,March,14,meter-half-true,385.0
386,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",2022,March,9,meter-false,386.0
387,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,2022,March,13,meter-false,387.0
388,This video shows “Russian war in Ukraine.”,2022,March,7,meter-false,388.0
389,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",2022,March,7,meter-mostly-true,389.0
390,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",2022,March,6,meter-false,390.0
391,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,2022,March,6,meter-false,391.0
392,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",2022,March,2,meter-false,392.0
393,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,2022,February,28,meter-false,393.0
394,The war in Ukraine is “scripted and staged.”,2022,February,25,tom_ruling_pof,394.0
395,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,2022,March,1,meter-half-true,395.0
396,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,2022,February,28,meter-false,396.0
397,"""The Russian army does not occupy Ukrainian territory.""",2022,March,1,tom_ruling_pof,397.0
398,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,2022,February,26,meter-false,398.0
399,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,2022,March,25,meter-false,399.0
400,A photo of a wounded young child was captured in Ukraine in 2022.,2022,February,24,meter-false,400.0
401,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",2022,February,19,meter-mostly-false,401.0
402,Video shows footage from Russia invading Ukraine.,2022,February,24,meter-false,402.0
403,TikTok video shows Russian soldiers parachuting into Ukraine.,2022,February,24,meter-false,403.0
404,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,2022,February,24,meter-false,404.0
405,"This ""footage"" shows Russia attacking Ukraine.",2022,February,24,meter-false,405.0
406,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",2022,February,19,meter-false,406.0
407,“Russia has never attacked anyone throughout its history.”,2022,February,20,tom_ruling_pof,407.0
408,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",2022,February,19,tom_ruling_pof,408.0
409,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",2022,February,14,meter-false,409.0
410,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",2021,April,12,meter-false,410.0
411,"The FBI raided a “Cleveland office linked to Ukraine. Biden, Pelosi, Kerry and Romney all had sons getting tens of millions of dollars from no-show jobs in Ukraine.”",2020,August,5,meter-false,411.0
412,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,2020,July,22,meter-false,412.0
413,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",2020,April,23,tom_ruling_pof,413.0
414,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",2019,December,29,meter-false,414.0
415,"""Ukraine blatantly interfered in our election.""",2019,December,8,meter-false,415.0
416,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",2019,December,1,meter-false,416.0
417,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",2019,November,15,tom_ruling_pof,417.0
418,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",2019,November,13,meter-mostly-true,418.0
419,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",2019,October,21,meter-mostly-false,419.0
420,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",2019,September,24,meter-mostly-false,420.0
421,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",2019,August,26,meter-mostly-false,421.0
422,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",2019,May,2,meter-half-true,422.0
423,"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians.""",2019,March,13,tom_ruling_pof,423.0
424,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",2019,February,27,meter-mostly-true,424.0
425,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",2019,January,2,tom_ruling_pof,425.0
426,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false,426.0
427,"""The Russian state has never interfered ... into internal American affairs including election process.""",2018,July,16,tom_ruling_pof,427.0
428,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",2018,July,8,meter-false,428.0
429,"""Justice Kennedy quit because he and his son helped Trump launder illegal Russian money through Deutsche Bank.""",2018,June,30,meter-false,429.0
430,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",2018,February,24,tom_ruling_pof,430.0
431,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",2017,June,23,meter-mostly-false,431.0
432,"""This is not the first time (the Russians) have been involved in our elections.""",2017,June,8,meter-half-true,432.0
433,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",2017,March,3,meter-mostly-true,433.0
