Unnamed: 0,claim,year_of_publish,month_of_publish,day_of_publish,truth_value
569,North Korea has taken military action against Russia.,2022,October,8,tom_ruling_pof
570,“The Russian army has surrendered in Donetsk!”,2022,September,28,meter-false
571,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",2022,September,28,meter-false
572,“Chinese military convoy enters Ukraine from Russia.”,2022,September,18,meter-false
573,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",2022,September,12,tom_ruling_pof
574,Russia “has not lost anything” in its invasion of Ukraine.,2022,September,7,meter-false
575,“The Russian army is withdrawing from Ukraine!” in September 2022,2022,September,3,meter-false
576,“US Army in Ukraine.”,2022,August,17,meter-false
577,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,2022,July,19,meter-false
578,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",2022,July,2,meter-mostly-false
579,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,2022,July,3,meter-false
580,Video shows Ukrainian soldiers shooting down Russian helicopters.,2022,June,29,meter-false
581,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",2022,May,26,meter-half-true
582,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,2022,May,23,meter-false
583,“J.D. Vance profits off Russia propaganda.”,2022,May,10,meter-half-true
584,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,2022,May,22,meter-false
585,Video shows “Russian tank column totally destroyed by attack helicopter.”,2022,May,19,meter-false
586,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,2022,May,18,meter-false
587,“Soldiers destroyed Russian tank with NLAW in ambush.”,2022,May,18,meter-false
588,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,2022,May,13,meter-false
589,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",2022,May,5,meter-false
590,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,2022,April,30,meter-false
591,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,2022,April,17,meter-false
592,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",2022,April,27,meter-false
593,Photo of unbroken windows proves war in Ukraine is fake.,2022,April,23,tom_ruling_pof
594,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,2022,April,23,tom_ruling_pof
595,A video shows the Russian warship Moskva exploding.,2022,April,14,meter-false
596,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",2022,April,16,meter-false
597,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",2022,April,16,meter-false
598,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",2022,April,18,meter-false
599,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",2022,April,16,tom_ruling_pof
600,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,2022,April,15,tom_ruling_pof
601,Ukraine was responsible for the Kramatorsk train station bombing.,2022,April,13,meter-false
602,Ukraine is the “money laundering and child sex trafficking capital of the world!”,2022,April,7,meter-false
603,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,2022,February,27,meter-false
604,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",2022,April,2,meter-false
605,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",2022,April,3,meter-false
606,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,2022,March,28,meter-false
607,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,2022,March,17,meter-half-true
608,“The Simpsons” predicted Russia’s invasion of Ukraine.,2022,March,5,meter-false
609,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,2022,March,21,meter-false
610,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",2022,March,11,tom_ruling_pof
611,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,2022,March,20,meter-false
612,Russian President Vladimir Putin “was assassinated.”,2022,March,19,tom_ruling_pof
613,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",2022,March,14,meter-false
614,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,2022,March,2,meter-false
615,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",2022,March,15,tom_ruling_pof
616,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,2022,March,13,meter-false
617,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",2022,March,15,meter-false
618,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,2022,March,15,meter-false
619,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,2022,March,14,meter-half-true
620,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",2022,March,9,meter-false
621,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,2022,March,13,meter-false
622,This video shows “Russian war in Ukraine.”,2022,March,7,meter-false
623,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",2022,March,7,meter-mostly-true
624,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",2022,March,6,meter-false
625,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,2022,March,6,meter-false
626,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",2022,March,2,meter-false
627,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,2022,February,28,meter-false
628,The war in Ukraine is “scripted and staged.”,2022,February,25,tom_ruling_pof
629,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,2022,March,1,meter-half-true
630,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,2022,February,28,meter-false
631,"""The Russian army does not occupy Ukrainian territory.""",2022,March,1,tom_ruling_pof
632,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,2022,February,26,meter-false
633,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,2022,March,25,meter-false
634,A photo of a wounded young child was captured in Ukraine in 2022.,2022,February,24,meter-false
635,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",2022,February,19,meter-mostly-false
636,Video shows footage from Russia invading Ukraine.,2022,February,24,meter-false
637,TikTok video shows Russian soldiers parachuting into Ukraine.,2022,February,24,meter-false
638,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,2022,February,24,meter-false
639,"This ""footage"" shows Russia attacking Ukraine.",2022,February,24,meter-false
640,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",2022,February,19,meter-false
641,“Russia has never attacked anyone throughout its history.”,2022,February,20,tom_ruling_pof
642,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",2022,February,19,tom_ruling_pof
643,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",2022,February,14,meter-false
644,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",2021,April,12,meter-false
645,"The FBI raided a “Cleveland office linked to Ukraine. Biden, Pelosi, Kerry and Romney all had sons getting tens of millions of dollars from no-show jobs in Ukraine.”",2020,August,5,meter-false
646,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,2020,July,22,meter-false
647,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",2020,April,23,tom_ruling_pof
648,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",2019,December,29,meter-false
649,"""Ukraine blatantly interfered in our election.""",2019,December,8,meter-false
650,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",2019,December,1,meter-false
651,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",2019,November,15,tom_ruling_pof
652,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",2019,November,13,meter-mostly-true
653,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",2019,October,21,meter-mostly-false
654,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",2019,September,24,meter-mostly-false
655,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",2019,August,26,meter-mostly-false
656,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",2019,May,2,meter-half-true
657,"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians.""",2019,March,13,tom_ruling_pof
658,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",2019,February,27,meter-mostly-true
659,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",2019,January,2,tom_ruling_pof
660,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false
661,"""The Russian state has never interfered ... into internal American affairs including election process.""",2018,July,16,tom_ruling_pof
662,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",2018,July,8,meter-false
663,"""Justice Kennedy quit because he and his son helped Trump launder illegal Russian money through Deutsche Bank.""",2018,June,30,meter-false
664,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",2018,February,24,tom_ruling_pof
665,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",2017,June,23,meter-mostly-false
666,"""This is not the first time (the Russians) have been involved in our elections.""",2017,June,8,meter-half-true
667,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",2017,March,3,meter-mostly-true
668,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",2016,October,4,meter-half-true
669,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",2016,September,9,meter-half-true
670,"Russia and China are ""doing naval exercises together someplace.""",2016,August,1,meter-mostly-true
671,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",2016,July,3,meter-mostly-true
672,"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.""",2016,June,28,tom_ruling_pof
673,"""Texas has a higher incarceration rate than Russia or Iran.""",2016,February,26,meter-mostly-true
674,"Says Sarah Huckabee Sanders tweeted, “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”",2020,June,11,meter-false
675,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",2019,February,27,meter-mostly-true
676,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",2019,January,2,tom_ruling_pof
677,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",2009,December,2,meter-mostly-false
678,Ukraine is the “money laundering and child sex trafficking capital of the world!”,2022,April,7,meter-false
679,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",2022,April,3,meter-false
680,A photo of a wounded young child was captured in Ukraine in 2022.,2022,February,24,meter-false
681,"""104 House Democrats voted for impeachment before the Ukraine call took place.""",2019,December,11,meter-mostly-false
682,"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions.",2019,January,13,meter-half-true
683,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false
684,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",2018,February,20,meter-mostly-false
685,"""This is not the first time (the Russians) have been involved in our elections.""",2017,June,8,meter-half-true
686,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",2017,March,2,meter-false
687,"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",2015,August,6,meter-false
688,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",2013,September,7,meter-mostly-false
689,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",2012,October,22,meter-half-true
690,Says Romney called Russia our No. 1 enemy.,2012,September,6,meter-mostly-true
691,North Korea has taken military action against Russia.,2022,October,8,tom_ruling_pof
692,Ukraine is the “money laundering and child sex trafficking capital of the world!”,2022,April,7,meter-false
693,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",2020,February,22,meter-half-true
694,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",2019,December,29,meter-false
695,"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia.",2019,October,13,tom_ruling_pof
696,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",2019,February,27,meter-mostly-true
697,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false
698,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",2018,July,8,meter-false
699,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",2018,February,20,meter-mostly-false
700,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",2017,November,26,meter-mostly-false
701,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""",2017,July,12,tom_ruling_pof
702,"""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House.",2017,March,6,meter-mostly-true
703,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",2017,March,2,meter-false
704,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",2016,September,28,meter-mostly-false
705,"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",2016,July,26,meter-mostly-true
706,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",2016,July,3,meter-mostly-true
707,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",2016,June,22,meter-mostly-false
708,"""Texas has a higher incarceration rate than Russia or Iran.""",2016,February,26,meter-mostly-true
709,"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",2016,January,13,tom_ruling_pof
710,"Says the Obama administration invited ""Russia into Syria.""",2015,December,15,meter-mostly-false
711,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",2015,July,27,meter-mostly-true
712,"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",2014,December,10,meter-mostly-false
713,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",2014,May,18,meter-half-true
714,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",2014,March,23,meter-half-true
715,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",2014,February,28,meter-half-true
716,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",2014,January,19,meter-half-true
717,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",2012,October,22,meter-half-true
718,Says Romney called Russia our No. 1 enemy.,2012,September,6,meter-mostly-true
719,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",2012,March,26,tom_ruling_pof
720,"The United States ""is number one in the world in energy resources; Russia is number two.""",2011,December,7,meter-true
721,"""We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.""",2011,June,14,meter-true
722,"""If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.""",2010,April,3,meter-true
723,"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",2014,January,19,meter-half-true
724,“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”,2022,December,8,meter-mostly-false
725,Ukraine is the “money laundering and child sex trafficking capital of the world!”,2022,April,7,meter-false
726,“Russia has never attacked anyone throughout its history.”,2022,February,20,tom_ruling_pof
727,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",2019,January,2,tom_ruling_pof
728,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",2014,March,16,meter-mostly-false
729,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",2014,February,28,meter-half-true
730,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",2009,December,2,meter-mostly-false
731,“The Simpsons predicted Pizzagate.”,2022,November,16,tom_ruling_pof
732,A video shows migrants faking tears for news cameras.,2020,March,2,meter-false
733,Russia’s Army was “destroyed.”,2022,December,18,meter-false
734,The Federal Reserve “has suspended the availability of new currency.”,2022,December,9,meter-false
735,The war in Ukraine is “all over.”,2022,December,12,meter-false
736,“Gas prices are down back to where they were before Russia invaded Ukraine.”,2022,November,29,meter-true
737,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",2022,November,27,meter-false
738,“The CEO of FTX is the daughter of the chairman of the SEC.”,2022,November,15,meter-false
739,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,2022,November,13,meter-false
740,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",2022,October,27,meter-false
741,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",2022,November,2,tom_ruling_pof
742,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,2022,November,3,meter-false
743,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,2022,July,14,meter-mostly-false
744,The price of gas is “down from over $5 when I took office.”,2022,October,27,meter-false
745,“Ukraine has a nuclear bomb primed in Mykolaiv.”,2022,October,20,meter-false
746,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",2022,October,25,meter-false
747,Today’s high food prices were planned during a 2015 food shortage simulation.,2022,October,12,tom_ruling_pof
748,Video clips show staged war footage from Ukraine.,2022,October,22,tom_ruling_pof
749,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,2022,October,22,meter-false
750,Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.,2022,October,19,meter-false
751,"There are “100,000 kids in cages” under the Getty art museum.",2022,October,18,tom_ruling_pof
752,"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States.",2022,September,20,meter-half-true
753,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",2022,October,18,meter-false
754,"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”.",2022,October,17,meter-false
755,"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”",2022,October,16,meter-false
756,North Korea has taken military action against Russia.,2022,October,8,tom_ruling_pof
757,"The Great Reset advocates replacing capitalism with an economic system that is “kind of socialism, kind of communism” but “mostly just fascism.”",2022,February,26,meter-false
758,“Norway readies its military to counter Biden.”,2022,October,5,meter-false
759,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",2022,September,27,meter-mostly-false
760,"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”",2022,September,14,meter-half-true
761,Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”,2022,October,3,meter-false
762,“The Russian army has surrendered in Donetsk!”,2022,September,28,meter-false
763,Vladimir Putin “is fleeing the war!”,2022,September,27,meter-false
764,“Pelosi’s panel ready to arrest Trump.”,2022,September,25,meter-false
765,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",2022,September,28,meter-false
766,Photo shows fighting in Ukraine.,2022,September,21,meter-false
767,“Chinese military convoy enters Ukraine from Russia.”,2022,September,18,meter-false
768,“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,2022,September,15,tom_ruling_pof
769,"""Democrats' radical green energy policies caused record gas prices. """,2022,August,23,meter-mostly-false
770,"“The pope, Xi and Putin all meet to plan world events!”",2022,September,13,meter-false
771,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",2022,September,12,tom_ruling_pof
772,Russia “has not lost anything” in its invasion of Ukraine.,2022,September,7,meter-false
773,“The Russian army is withdrawing from Ukraine!” in September 2022,2022,September,3,meter-false
774,“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,2022,September,6,meter-false
775,El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,2022,August,28,meter-false
776,Joe Biden threatened to assassinate Ukraine’s former president.,2022,August,29,tom_ruling_pof
777,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,2022,August,17,meter-false
778,“US Army in Ukraine.”,2022,August,17,meter-false
779,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,2022,July,29,meter-false
780,The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”,2022,August,4,meter-false
781,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,2022,July,31,meter-false
782,“Biden threatens to assassinate Ukraine president.”,2022,July,18,tom_ruling_pof
783,Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,2022,July,19,meter-false
784,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",2022,June,23,meter-mostly-false
785,Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,2022,July,17,meter-false
786,"""Thanks to failed Dem policies, beer is 9.1% more expensive.""",2022,June,28,meter-half-true
787,“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”,2022,July,7,meter-false
788,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,2022,June,29,meter-false
789,"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested.",2022,July,11,meter-false
790,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",2022,July,2,meter-mostly-false
791,“Belarus declares war on Poland.”,2022,July,8,meter-false
792,“Biden impeachment in progress.”,2022,July,6,tom_ruling_pof
793,“Moscow was engulfed in flames” after a giant explosion.,2022,July,6,meter-false
794,Ukrainian “attack destroys skyscraper in Moscow.”,2022,July,4,meter-false
795,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,2022,July,3,meter-false
796,The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.,2022,July,4,meter-false
797,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,2022,June,28,tom_ruling_pof
798,“In every other major industrial country in the world … inflation is higher.”,2022,June,16,meter-half-true
799,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",2022,June,4,meter-false
800,Three mass shootings were meant to distract from Hillary Clinton controversies.,2022,June,14,tom_ruling_pof
801,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",2022,June,12,meter-false
802,When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”,2022,June,13,meter-false
803,“Bennie Thompson actively cheer-led riots in the ’90s.”,2022,June,7,meter-false
804,The official pride flag was altered to include Ukrainian colors.,2022,May,24,meter-false
805,Ukraine adopted “laws banning the Russian language.”,2022,June,6,meter-false
806,A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,2022,June,3,tom_ruling_pof
807,Video shows Ukrainian soldiers shooting down Russian helicopters.,2022,June,29,meter-false
808,Biden gave Americans “the cheapest gas prices on Earth.”,2022,June,2,meter-false
809,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",2022,May,26,meter-half-true
810,"“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”",2022,May,9,meter-half-true
811,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",2022,May,25,tom_ruling_pof
812,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,2022,May,23,meter-false
813,“J.D. Vance profits off Russia propaganda.”,2022,May,10,meter-half-true
814,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,2022,May,22,meter-false
815,Video shows “Russian tank column totally destroyed by attack helicopter.”,2022,May,19,meter-false
816,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,2022,May,18,meter-false
817,“Soldiers destroyed Russian tank with NLAW in ambush.”,2022,May,18,meter-false
818,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",2022,May,10,meter-mostly-false
819,A photo of Ukrainians with paintball guns proves the war is staged.,2022,May,16,tom_ruling_pof
820,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,2022,May,11,meter-false
821,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,2022,May,13,meter-false
822,Donations of baby formula to Ukraine helped cause the current U.S. shortage.,2022,May,12,meter-false
823,"“When unemployment goes down, inflation goes up.”",2022,May,15,meter-mostly-false
824,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,2022,May,15,tom_ruling_pof
825,“Finland joins NATO.”,2022,May,15,meter-mostly-false
826,The NewProfilePic app is Russian spyware.,2022,May,10,meter-false
827,“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,2022,May,8,meter-half-true
828,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,2022,May,12,meter-mostly-true
829,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",2022,February,18,meter-mostly-false
