id,claim,desc,truth_value
292,"Russia’s foreign minister heads to Mali, his third trip to Africa in recent months.","Mali said it and Russia will seek to strengthen security and defense ties, in a country where Russia already provides helicopters and mercenaries.",meter-true
293,Seven Surprises,"After a four-month book leave, I’m looking at what changed during that time.",meter-true
294,Year Two of the Ukraine War Is Going to Get Scary,"In the war’s first year, America and its allies have had it relatively easy. Will the West bear any burden to uphold a liberal world order?",meter-true
295,Your Monday Briefing: The U.S. Shoots Down China’s Balloon,"Also, Pervez Musharraf died and Beyoncé could have a big night at Grammy Awards.",meter-true
296,"For Biden, a Chance for a Fresh Start in a New Era of Divided Government",The president plans to use his first State of the Union address since Republicans took control of the House to call for bipartisan cooperation. Neither he nor many others expect that to happen.,meter-true
297,Zelensky’s Party Says It Will Move to Replace Defense Minister,"The expected move against Oleksii Reznikov comes amid a widening corruption scandal, although he was not implicated in wrongdoing.",meter-true
298,"‘Here, It’s Like Paradise’: Ukraine’s Ski Resorts Offer a Respite From the War","Ukrainians have flocked to resorts nestled in the Carpathian Mountains, largely spared the worst of the war, for a respite. One soldier recuperating there explored what it means to heal.",meter-true
299,The Costs of a Long War in Ukraine,Why the Biden White House needs to push for peace in 2023.,meter-true
300,U.S. Presses Partners to Weed Out Illicit Trade With Russia,American officials worry that commercial activities in Turkey and the United Arab Emirates could be fueling Russia’s war machine and have threatened to punish those involved.,meter-true
301,,,meter-true
302,Russia Pushes to Take Ukrainian Town Near a Vital Supply Line,Ukraine has used the strategic town of Vuhledar to launch attacks disrupting transit on a critical rail link between the war’s southern and eastern fronts.,meter-true
303,"When It Comes to Building Its Own Defense, Europe Has Blinked","Despite expectations that Russia’s invasion of Ukraine would force Europe to bolster its military strength, it has instead reinforced dependency on U.S. leadership, intelligence and might.",meter-true
304,Gautam Adani’s Rise Was Intertwined With India’s. Now It’s Unraveling.,"The tycoon often said the Adani Group’s goals were in lock step with India’s needs. Now, the company’s fortunes are crashing, a collapse whose pain will be felt across the country.",meter-true
305,E.U. Vows More Help for Ukraine but Tamps Down Membership Talk,"European Union leaders met in Kyiv with President Volodymyr Zelensky, who said Ukraine would not give up on Bakhmut, the eastern city caught in a fierce battle with Russian forces.",meter-true
306,U.S. Sends Longer-Range Weapons,The latest aid package will allow Ukraine to hit targets 90 miles away.,meter-true
307,I Saw Ammunition Being Made for Ukraine,"The U.S. has given Ukraine more than a million American-made artillery shells, and Ukrainians are shooting thousands of them at Russian troops each day. I decided to take a closer look at where the artillery ammunition is made.",meter-true
308,"What Weapons Is Ukraine Getting, and Will They Arrive in Time?","Kyiv has been promised scores of tanks and other armor, and the longest range munitions yet. But with a looming Russian offensive, a race is on to get the matériel to the battlefield.",meter-true
309,"Fears of Russian Nuclear Weapons Use Have Diminished, but Could Re-emerge","Nearly a year into the war in Ukraine, U.S. policymakers and intelligence analysts have more confidence that they understand at least some of President Vladimir V. Putin’s red lines.",meter-true
310,"At Czech Spa Town, ‘Russia for Us Is the Past, and It Was Not Pleasant’","Since the 18th century, Russians have flocked to the healing waters of Karlovy Vary. Now, the Czech government has barred them from visiting the country, and the town must reinvent itself.",meter-true
311,Germany adds older Leopard 1s to the list of tank for Ukraine.,"An older model than the already approved Leopard 2, the tanks will need refurbishment and could face ammunition shortages.",meter-true
312,,,meter-true
313,Ukraine Renews Threat to Boycott Olympics if Russians Compete,Ukraine’s sports minister said his country was marshaling allies to press the International Olympic Committee to bar Russian and Belarusian athletes.,meter-true
314,Value Stocks? Growth Stocks? Markets Last Year Turned Everything Topsy-Turvy.,"With the exception of Apple, eight tech giants are no longer “pure growth” stocks, while Exxon and Chevron are, a new study says. Our columnist says: Buyer, beware.",meter-true
315,Why Eggs Cost So Much,"Inflation, avian flu and war have made a food staple much more expensive.",meter-true
316,How Prosecutors Say a Top F.B.I. Agent Sold His Services Overseas,"As the counterintelligence chief in New York, Charles McGonigal had access to sensitive American secrets. His arrest has touched off a scramble to assess the damage.",meter-true
317,How Gabrielle Giffords Measures Progress on Gun Safety: The Week in Reporter Reads,"Five articles from around The Times, narrated just for you.",meter-true
318,The Decisive Test for Germany Is Still to Come,Chancellor Olaf Scholz’s strategy of caution surely won’t hold.,meter-true
319,Your Friday Briefing,Russian losses in the war in Ukraine.,meter-true
320,"As Russia Strikes Ukrainian Civilians, Putin Tells His People the War Is Just","Invoking World War II on the 80th anniversary of victory at Stalingrad, Mr. Putin repeated his false justifications for an invasion that has taken a staggering toll.",meter-true
321,Soaring Death Toll Gives Grim Insight Into Russian Tactics,"Moscow is sending poorly trained recruits, including convicts, to the front lines in eastern Ukraine to pave the way for more seasoned fighters, U.S. and allied officials say.",meter-true
322,The White House says Russian Olympians should be permitted only as neutral participants.,The stance differs from the full ban demanded by Ukraine and supported by some of its allies.,meter-true
323,,,meter-true
324,Your Thursday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
325,"In High-Profile Raids, Zelensky Showcases Will to Tackle Corruption","President Volodymyr Zelensky is eager to highlight his crackdown on corruption, ahead of E.U. accession talks and possible Western investigations of war aid.",meter-true
326,Your Friday Briefing: The U.S. Military Expands in the Philippines,"Also, Vladimir Putin evokes Stalingrad and a contested film is a box-office hit in India.",meter-true
327,Investors Cheer Meta’s Slimmed-Down Ambitions,"Meta’s chief executive, Mark Zuckerberg, called 2023 the “year of efficiency,” a pronouncement that is reassuring investors and sparking a wider rally in tech stocks.",meter-true
328,Shell’s Profit Soared to $42 Billion Last Year,"The record haul, pushed by high energy prices and a hunger for liquefied natural gas, came as a new chief signaled a more “balanced approach” to renewable energy.",meter-true
329,Forget Pandemic Puppies. Meet the Inflation Chicken.,People are snapping up chickens that are “heavy layers” in response to egg inflation. The chick situation holds lessons about the broader economy.,meter-true
330,How to Forge Shells for Ukraine's Artillery,"At factories in Pennsylvania and Iowa, steel shells are formed in 2,000-degree furnaces and filled with explosives — offering Kyiv a lifeline of ammunition.",meter-true
331,A U.S. Ambassador Finds Himself on Hostile Ground in Hungary,"David Pressman, a gay human rights lawyer, has been accused by pro-government media in Hungary of undermining traditional values, violating diplomatic conventions and meddling in the judiciary.",meter-true
332,Your Thursday Briefing,The start of a new Russian offensive.,meter-true
333,Russian Diesel Is Europe’s New Embargo Target,The coming ban on Russian exports of refined oil products could strain energy markets and crimp Russia’s output.,meter-true
334,,,meter-true
335,What ‘No’ on F-16 Fighter Jets Might Mean for Ukraine,"If the usual script plays out, the Biden administration’s reluctance to provide the planes could be temporary, officials say.",meter-true
336,Your Wednesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
337,Hard Drinking and Murky Finances: How an American Veterans Group Imploded in Ukraine,The Mozart Group was training Ukrainian soldiers and evacuating frontline residents until the money ran out. Its collapse sheds light on the stresses faced by such groups.,meter-true
338,Has the Russian Offensive Begun?,Ukraine is bracing for a major escalation in the Donbas.,meter-true
339,Your Thursday Briefing: Rising Militancy in Pakistan,"Also, Adani Enterprises pulls its offering and soldiers die on both sides in Bakhmut.",meter-true
340,Why Iran’s Missile Program Alarms Its Rivals,"A drone attack on a military facility in central Iran, said to be the work of Israel’s intelligence agency, focused renewed attention on Tehran’s advancing missile capabilities.",meter-true
341,Ukraine Fears New Offensive Is Underway as Russia Masses Troops,"Russia is massing hundreds of thousands of troops and stepping up its bombardment, perhaps signaling the biggest assault since the start of the war. “I think it has started,” Ukraine’s leader says.",meter-true
342,"As Energy Costs Bite, Museums Rethink a Conservation Credo","Tight climate controls have become the norm to protect artworks and artifacts. But as heating and electricity prices soar, Europe’s museums administrators are wondering whether the rules need to be so strict.",meter-true
343,Review: Dvorak’s ‘Poetic Tone Pictures’ Makes Its Carnegie Debut,The pianist Leif Ove Andsnes brought Dvorak’s sprawling 1889 rarity to New York with committed playing and interpretive wisdom.,meter-true
344,Eurozone Inflation Slows Sharply as Energy Costs Continue to Ease,"Prices rose at an annual rate of 8.5 percent last month, down from 9.2 percent in December, but signs of persistent cost increases remain.",meter-true
345,,,meter-true
346,She Lost Her Childhood Home Over Taxes. Then It Erupted in Flames.,"For years, Eve Morawski waged an epic battle against real estate investors who bought her tax debt and ultimately seized her Maplewood, N.J., home.",meter-true
347,What Exxon and Chevron Are Doing With Those Big Profits,"Economic and military uncertainty clouds the outlook for Exxon, Chevron and other energy companies, whose bonanza from high prices is already fading.",meter-true
348,Your Wednesday Briefing,Europe’s economic recovery.,meter-true
349,"As Parisians March to Fight Pension Changes, Shopkeepers Nod and Agree","Angry protests over a plan to raise France’s retirement age pile uncertainty on small businesses, but most are siding with the demonstrators.",meter-true
350,"Seeing a Prize, Russia Inundates a Ukraine City With Troops","The battle in the eastern Ukraine city of Bakhmut is growing in importance, as both sides pour forces into the battle.",meter-true
351,How Will Joe Biden Be Remembered in 50 Years?,He could be seen as the savior of the free world or as the man who came up short.,meter-true
352,Your Tuesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
353,Your Wednesday Briefing: China Rebounds,"Also, Russia’s resilient economy and Sri Lanka’s enduring struggle.",meter-true
354,U.S. Says Russia Fails to Comply With Nuclear Arms Control Treaty,"The United States says Russia is not allowing American inspectors access to its arsenal to ensure compliance with the New START agreement, which the two nations renewed in 2021.",meter-true
355,"Wagner Group May Have Committed War Crimes in Mali, U.N. Experts Say","Persistent reports point to “horrific executions” and other atrocities possibly committed by the Kremlin-affiliated mercenary force and the Malian military, according to human rights experts.",meter-true
356,,,meter-true
357,"Iran and Russia move toward linking their banking systems, helping both withstand Western sanctions.","President Vladimir V. Putin of Russia had long been cautious  about deepening ties to Iran, but his calculus has changed during the course of the war.",meter-true
358,The Shift to Renewable Energy Is Speeding Up. Here’s How.,The head of the world’s leading energy organization called the war in Ukraine an “accelerator” of the transition.,meter-true
359,An Ad Hoc Ukrainian Ballet Troupe Settles Into Life in The Hague,The dancers in the United Ukrainian Ballet have found a home in the Netherlands. This week the company makes its U.S. debut in Alexei Ratmansky’s “Giselle.”,meter-true
360,"Europe’s Economy Edges Higher, Heading Off Forecasts of Recession","The eurozone economy grew 0.1 percent late last year, a reflection of modestly rising optimism as energy prices have eased, but risks remain.",meter-true
361,"Russia Sidesteps Western Punishments, With Help From Friends",A surge in trade by Russia’s neighbors and allies hints at one reason its economy remains so resilient after sweeping sanctions.,meter-true
362,Sri Lanka Is Calm Again. That Doesn’t Mean Things Are Any Better.,"After an economic collapse and political upheaval, Sri Lankans have become resigned to leaner meals and reduced horizons.",meter-true
363,Russian Mercenaries Are Destabilizing Africa,Wagner’s reach extends far beyond the war in Ukraine.,meter-true
364,Russia’s economic growth suggests Western sanctions are having a limited impact.,,meter-true
365,A Risky Trade in Ukraine Grows Riskier Amid the War,"Russia’s invasion has disrupted the social services that help reduce harm to the women and men who sell sex, threatening public health.",meter-true
366,"With tanks in the pipeline, Ukraine redoubles its efforts to obtain warplanes.","Ukraine’s allies have supplied Kyiv with an ever-growing list of weaponry, but many countries are wary of its recent requests for military jets.",meter-true
367,,,meter-true
368,Quotation of the Day: Zelensky Presses Allies for Arms on Wish List,"Quotation of the Day for Tuesday, January 31, 2023.",meter-true
369,Your Tuesday Briefing,Dozens are killed in a suicide bombing in Pakistan.,meter-true
370,I.M.F. Upgrades Global Outlook as Inflation Eases,The International Monetary Fund said the world economy was poised for a rebound as inflation eases.,meter-true
371,Ukraine Urges Allies to Speed Up Delivery of Weaponry,"“We have to make time our weapon,” President Volodymyr Zelensky declared as Ukrainians girded for an expected Russian offensive.",meter-true
372,Your Monday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
373,Missiles and Fighter Jets,Ukraine is pleading with its allies to supply more advanced weaponry.,meter-true
374,Your Tuesday Briefing: A Bombing in Pakistan,"Also, Israel attacks Iran and the Adani Group fights fraud allegations.",meter-true
375,Which Sundance Movies Could Follow ‘CODA’ to the Oscars?,"Jonathan Majors in “Magazine Dreams” and Teyana Taylor in “A Thousand and One,” among others, could make the journey from Park City to the Dolby Theater.",meter-true
376,"NATO’s chief hints that South Korea should consider military aid for Ukraine, a move Seoul has resisted.","NATO’s secretary-general, Jens Stoltenberg, urged South Korea to increase its support for Ukraine in the face of Russia’s invasion.",meter-true
377,Boris Johnson says that Vladimir Putin threatened to fire a missile at him. The Kremlin calls it ‘a lie.’,The former British prime minister said the Russian leader made the remark during a phone call in the weeks before Putin’s forces invaded Ukraine.,meter-true
378,,,meter-true
379,Blinken Meets Netanyahu at Turbulent Moment for Israel,"The secretary of state and the Israeli leader had a ‘candid’ conversation amid deepening rifts over the Palestinians, Ukraine and a rightward shift by Benjamin Netanyahu’s government.",meter-true
380,Russia Freed Prisoners to Fight Its War. Here’s How Some Fared.,"Tens of thousands of inmates have joined a mercenary group fighting with the Kremlin’s decimated forces in Ukraine. Some of them are returning to civilian life with military training and, in many cases, battlefield traumas.",meter-true
381,Your Monday Briefing,A wave of violence in Israel and the West Bank.,meter-true
382,"Israel Launched Drone Attack on Iranian Facility, Officials Say","While the target’s purpose is unclear, the city of Isfahan is a major center of Iranian missile production, research and development.",meter-true
383,Your Monday Briefing: The Fallout from a Police Beating,"Also, violence is flaring in Israel and the West Bank.",meter-true
384,"Matt Gaetz, Political Arsonist, Has New Powers. What Will He Do With Them?","“I am not some ‘Lord of the Flies’ nihilist,” said the far-right congressman and chief tormentor of Speaker Kevin McCarthy.",meter-true
385,Russia and Ukraine Battle for Control of Villages Near the Key City of Bakhmut,The area is a flash point in an offensive that Moscow views as crucial for its goal of seizing the Donbas region of eastern Ukraine.,meter-true
386,Industry Gatekeepers,"One company controls a wide swath of the concert industry, and lawmakers say music fans are paying the price.",meter-true
387,Novak Djokovic Captures His 10th Australian Open Men’s Singles Title,"After missing last year’s tournament when he was deported for being unvaccinated for Covid-19, the Serb beat Stefanos Tsitsipas of Greece in straight sets to win his 22nd Grand Slam title.",meter-true
388,"A Small Boat, a Vast Sea and a Desperate Escape From Russia","In September, two men set out from Russia, hoping a boat could carry them to asylum on U.S. soil. Their quest for freedom did not go as planned.",meter-true
389,,,meter-true
390,Czech Republic Elects Retired NATO General as Its President,"Petr Pavel, a political novice, defeated Andrej Babis, a populist business tycoon and former prime minister, in the first of several important European elections this year.",meter-true
391,Big Risks and Big Rewards for Aryna Sabalenka at the Australian Open,"The Belarusian, who beat Elena Rybakina to win her first Grand Slam title on Saturday, held the trophy in triumph while the war in Ukraine remained a brutal reality.",meter-true
392,Fighting Rages in Eastern Ukraine Over Critical Supply Routes,"While the heaviest fighting is still around the city of Bakhmut, in recent days Russian forces have stepped up assaults on a strategic town farther to the south.",meter-true
393,"Kharkiv Got Some Breathing Space, but Still Doesn’t Breathe Easily","For the past four months, residents have slowly trickled back into the reclaimed city. But signs of the conflict — and the chance that it might return — are everywhere.",meter-true
394,"To Fix Its Problems in Ukraine, Russia Turns to the Architect of the War","President Vladimir V. Putin is on his third overall commander in Ukraine. But his military’s fundamental issues have not been addressed, Western officials say.",meter-true
395,"Russia Outlaws a News Site and a Rights Group, Stifling Critical Voices","The Kremlin stepped up efforts to banish independent sources of news. Prosecutors labeled Meduza, a popular news site, “undesirable,” so anyone who aids or promotes it can be prosecuted.",meter-true
396,Your Friday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
397,Tanks Alone Won’t Turn the Tide of the War in Ukraine,The United States will have to step up its training program to ensure the Ukrainian military can use all the Western-provided equipment effectively.,meter-true
398,The Specter of Corruption,A government shake-up raises questions about how Ukraine is addressing concerns about aid.,meter-true
399,China’s Oil and Gas Use Fell in 2022 for First Time in Decades,"Pandemic lockdowns curbed Chinese energy demand, but the International Energy Agency expects a rebound this year.",meter-true
400,,,meter-true
401,Transcript: Ezra Klein Interviews Jessica Chen Weiss,"The Jan. 27, 2023, episode of “The Ezra Klein Show.”",meter-true
402,Strife Returns for Djokovic. He Is Back in the Australian Open Final Anyway.,"Djokovic will play for his 22nd Grand Slam title on Sunday against Stefanos Tsitsipas. Will his father, Srdjan, be in his usual seat in the stands to cheer him on?",meter-true
403,Russia says it will switch four occupied Ukrainian regions to Moscow time.,"Russia, which has many time zones, is seeking to integrate the regions after illegally annexing them in September.",meter-true
404,Too Many Top Secrets,The U.S. government classifies tens of millions of documents a year. Experts say the practice is excessive.,meter-true
405,U.S. Officials Overseeing Aid Say Ukrainian Leaders Are Tackling Corruption,The ouster of several officials has renewed questions about how the Zelensky government is addressing concerns about aid.,meter-true
406,Your Friday Briefing,A barrage of Russian missiles across Ukraine.,meter-true
407,"In Wave of Strikes, Russian Missiles Kill 12 Across Ukraine","Russia’s forces once again pounded energy infrastructure and other civilian sites, a day after the United States and Germany pledged to send dozens of tanks to Ukraine.",meter-true
408,"Russia cracks down on the free press and outlaws Meduza, a leading independent news site.",The move made Meduza the latest journalistic outlet to fall victim to the Kremlin’s efforts to suppress criticism.,meter-true
409,"UNESCO Moves to Protect Odesa, Designating the City a World Heritage Site",The Black Sea port has been battered by Russian shelling for months.,meter-true
410,Your Thursday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
411,,,meter-true
412,An Australian Open Final With Tennis and Debate on the Ukraine War,"Nearly a year after Russia invaded Ukraine, a Russian-turned-Kazakh will play a Belarusian in the finals, which is sure to stir the debate over whether athletes from those countries should participate in international sports.",meter-true
413,Your Friday Briefing: China’s Campaign Against ‘Zero-Covid’ Protesters,"Also, Russian missile attacks in Ukraine and a major deal for Indian women’s cricket.",meter-true
414,White House officials tell senators that Ukraine is committed to anti-corruption.,The firing of several top members of the government in Kyiv had stirred concern over how U.S. aid was being used.,meter-true
415,People Shelter in Kyiv Subway as Russia Launches Missile Attacks,Russia launched several rounds of missiles throughout Ukraine a day after Germany and the United States pledged to send tanks to aid Ukraine’s war effort.,meter-true
416,How Useful Is Diversity Training?,Readers discuss an essay that argued that it may do more harm than good. Also: Protests in Russia; overdose deaths; Jacinda Ardern; fact and fiction.,meter-true
417,A Lasting Impact,“The 1619 Project” continues to provoke national debate about race and history.,meter-true
418,"With Pierogies and Artillery Shells, Scranton Fights Back in Ukraine","On a chilly Sunday morning, a Ukrainian Catholic Church holds a bake sale to buy winter coats and other supplies for soldiers, while ammunition is forged at a nearby factory.",meter-true
419,The Man Who May Challenge Putin for Power,"Yevgeny Prigozhin, the head of the mercenary group Wagner, may be Putin’s greatest threat to power.",meter-true
420,Late Night Responds to Biden’s Decision to Send Tanks to Ukraine,"Stephen Colbert said that for Volodymyr Zelensky’s birthday on Wednesday, “Joe Biden got him exactly what he asked for.”",meter-true
421,Your Thursday Briefing,The effects of Britain’s cost-of-living crisis on families.,meter-true
422,,,meter-true
423,Ukraine War Accelerates Shift of Power in Europe to the East,"The war has raised the influence of Central and Eastern European countries with negative views of Russia, amplified calls to expand the E.U. and NATO, and dimmed the power of France and Germany.",meter-true
424,How Biden Reluctantly Agreed to Send Tanks to Ukraine,The decision unlocked a flow of heavy arms from Europe and inched the United States and its NATO allies closer to direct conflict with Russia.,meter-true
425,"Germany and U.S., Dropping Resistance, Will Send Battle Tanks to Ukraine","Although welcomed by Kyiv as a critical weapon to expel Russia’s invasion, the Leopard 2 tanks from Germany and Abrams tanks from the United States are unlikely to arrive soon.",meter-true
426,Your Wednesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
427,A video appears to show Novak Djokovic’s father with pro-Putin tennis fans at the Australian Open.,"In the footage, Srdjan Djokovic seems to pose with fans carrying Russian symbols, which have been banned from the tournament.",meter-true
428,"Tanks, Finally",Germany and the U.S. open the door to new weaponry for Ukraine.,meter-true
429,Ukraine’s Scientists Receive a Funding Lifeline From Abroad,"The Simons Foundation in New York is providing annual grants to the country’s chemists, biologists, physicists and mathematicians.",meter-true
430,Your Thursday Briefing: Tanks for Ukraine,"Also, China’s natural gas shortage and India’s efforts to quash a Modi documentary.",meter-true
431,Two British men went to Soledar. Neither came back.,"Andrew Bagshaw, 47, and Chris Parry, 28, were part of an ad hoc cohort of foreigners who have gone to Ukraine despite little to no experience with combat situations.",meter-true
432,"Western Tanks Are Coming to Ukraine, but Will They Be Enough?","Western allies have pledged to send at least 105 tanks, far less than Ukraine says it needs, and it may be months before they join the battle.",meter-true
433,,,meter-true
434,Russian officials say Leopard 2 and M1 Abrams tanks are a ‘losing scheme.’,"Dmitri Peskov, the Kremlin spokesman, said that delivering American M1 Abrams and German Leopard 2 tanks to Ukraine would burden Europe without strengthening the Ukrainian military.",meter-true
435,The U.S. Has Made a Coldly Logical Decision in Ukraine. So Has Russia.,America’s increasing commitment and Russia’s mobilization show how short wars become long ones.,meter-true
436,Inside a Nuclear War Bunker Built to Save Canada’s Leaders,"Amid renewed tensions with Russia, tourists are flocking to a decommissioned nuclear fallout shelter that Canada built to preserve its government during a nuclear war.",meter-true
437,Getting tanks to the front lines looms as a challenge.,,meter-true
438,Natural Gas Shortages Hit China as Temperatures Plunge,Local governments starved for cash after enormous spending on costly “zero Covid” measures cannot afford to keep up adequate supplies of gas.,meter-true
439,Your Wednesday Briefing,More advanced weaponry for Ukraine.,meter-true
440,Imagery Shows How a Cemetery for Russian Mercenaries Is Expanding,Recent satellite imagery and video footage offer a rare look at combat fatalities sustained by the Wagner mercenary group in Ukraine.,meter-true
441,"Mystery Deepens Around George Santos’s $700,000 in Campaign Loans","In amended campaign finance reports, Mr. Santos seemed to suggest that the loans did not come from his personal funds, as he had originally stated.",meter-true
442,"U.S. Plans to Send Abrams Tanks to Ukraine, Officials Say","The Biden administration had resisted sending tanks, which Ukraine says it needs, but the move is seen as likely to push Germany to approve the transfer of its own tanks.",meter-true
443,"Ukraine Fires Officials Amid Corruption Scandal, as Allies Watch Closely","As it fights Russia’s invasion, Ukraine depends for its survival on aid from Western nations, which have concerns about endemic graft and how the money is used.",meter-true
444,,,meter-true
445,On ‘The Daily’: Looking Back on the War in Ukraine,"Our co-host Sabrina Tavernise went to Ukraine last year to cover the war. In the episodes below, listen to Ukrainians process their experiences in raw, unfiltered ways.",meter-true
446,Your Tuesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
447,"2022 Was a Deadly Year for Journalists, Especially in Latin America",There were nearly as many journalists killed in Mexico alone as there were in Ukraine.,meter-true
448,"With ‘Little Steps,’ Victoria Azarenka Is Making a Deep Run","Azarenka has taken a more process-oriented approach than in the past. But the outcomes have been good, too, as she’s in an Australian Open semifinal for the first time since she won it all in 2013.",meter-true
449,Your Wednesday Briefing: Ukraine Cracks Down on Corruption,"Also, another mass shooting in California and New Zealand’s next leader.",meter-true
450,Doomsday Clock Moves Closer to Midnight Than Ever,"The Bulletin of the Atomic Scientists set the clock at 90 seconds to midnight on Tuesday, citing the war in Ukraine as well as climate change, online disinformation and other threats.",meter-true
451,Pentagon Will Increase Artillery Production Sixfold for Ukraine,"The Army’s top acquisition official says production of the 155-millimeter shells badly needed by Kyiv will rise to 90,000 a month in two years.",meter-true
452,The Afghans I Trained Are Fighting for Putin in Ukraine,The tragedy of the withdrawal from Afghanistan isn’t over. It’s just beginning.,meter-true
453,Poland asks Germany’s permission to send its Leopard tanks to Ukraine.,"Germany says it will decide shortly on whether to send advanced tanks to Kyiv, which has been pleading for such equipment for months.",meter-true
454,Unions and Video Games,"Gaming is a huge industry, and workers are trying to unionize.",meter-true
455,,,meter-true
456,Can Germany Be a Great Military Power Again?,"Leery of Russian aggression, Europe’s economic giant is making a historic attempt to revitalize its armed forces. It has a long way to go.",meter-true
457,Russia’s War Breathes New Life Into a Cold War Symbol,"Radio Free Europe/Radio Liberty, a news network originally set up as a C.I.A. operation early in the Cold War, is experiencing a renaissance and making a case for its independence.",meter-true
458,Your Monday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
459,Pressure Mounts on Germany,"Poland vows to send tanks to Ukraine on its own, if necessary",meter-true
460,"Your Tuesday Briefing: California Mourns, as Death Toll Rises","Also, resistance to Chinese influence in the Solomon Islands and Beijing’s efforts to subsidize I.V.F.",meter-true
461,"In Moscow, a Quiet Antiwar Protest With Flowers and Plush Toys","Amid Russia’s crackdown on resistance to the war in Ukraine, some have dared to lay bouquets and other offerings at a statue of a Ukrainian poet, protesting the recent Russian strike on civilians in Dnipro.",meter-true
462,Inflation Is So High in Egypt That Eggs Are a Luxury,"After months of punishing inflation and a plummeting currency, Egyptians are growing louder about the crisis. In exchange for a bailout, the I.M.F. is imposing stern conditions on the government.",meter-true
463,Zelensky vows action against corruption after a minister is fired for embezzlement.,The Ukrainian leader said the dismissal should serve as notice to officials whose actions “violate the principle of justice.”,meter-true
464,Are Beauty Pageants Still Relevant?,What do competitions like the Miss Universe pageant celebrate? Do you think they have a place in today’s world?,meter-true
465,Your Monday Briefing,At least 10 are killed in a mass shooting near Los Angeles.,meter-true
466,,,meter-true
467,Zelensky Urges Ukrainians to Remain Unified,"On a day meant to mark the unification of Ukraine in 1919, the country’s leader said it was vital for Ukrainians of all regions to bind together.",meter-true
468,Your Monday Briefing: A Lunar New Year Shooting,"Also, New Zealand’s next leader and a Lunar New Year travel surge in China.",meter-true
469,Russian Agents Suspected of Directing Far-Right Group to Mail Bombs in Spain,U.S. officials say the operation may be a signal by Russia that the country and its proxies could carry out more terrorist actions in Europe if nations continue supporting Ukraine.,meter-true
470,Peru’s Deadly Protests,A failed coup attempt set off unrest that has immobilized the country.,meter-true
471,Germany’s Reluctance on Tanks Stems From Its History and Its Politics,A post-Nazi aversion to war and a commitment to promoting peace through engagement combines with an old fixation on Russia and a deep aversion to leading militarily.,meter-true
472,Five Rules for an Aging World,Why demography may be shaping up to be a bigger risk to the world than climate change.,meter-true
473,"U.S. Extends Troop Deployment in Romania, at Ukraine War’s Doorstep",The buildup is part of President Biden’s commitment to increase American forces in Europe in response to the Russian invasion last February.,meter-true
474,A Brutal New Phase of Putin’s Terrible War in Ukraine,The job at hand is to persuade Russia that a negotiated peace is the only option.,meter-true
475,"Amid Mounting Frustration With Germany, Ukraine Holds Out Hope It Will Get Tanks","While Germany has not yet made a decision on whether to send Leopard 2s to Ukraine, a Kyiv official said his country’s soldiers would begin training on them.",meter-true
476,"A Hit French Novel Tries to Explain Putin. Too Well, Some Critics Say.","A popular novel, “The Wizard of the Kremlin,” presents a sympathetic portrait of the Russian leader, critics say, raising concerns that it might influence national policy toward the Ukraine war.",meter-true
477,,,meter-true
478,"Safe at Home in Dnipro, Until a Russian Missile Struck","Despite the ever-present danger of war, life in Ukraine proceeds almost normally at times. Then, suddenly, it all changes, as it did in Dnipro last weekend after a missile struck an apartment complex.",meter-true
479,The NATO Alliance Is Holding Strong on Ukraine. But Fractures Are Emerging.,The allies differ on strategy for the coming year and the more immediate question of what Ukraine needs ahead of a major offensive in the spring.,meter-true
480,Allies Fail to Agree on Sending Tanks to Ukraine,"Officials tried to play down the rift. But Germany is still insisting it will not be the country to take the first step alone, for fear of incurring Moscow’s wrath.",meter-true
481,Your Friday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
482,The Push for Tanks Falls Short,Germany has been reluctant to send its Leopards.,meter-true
483,"Which Leaders Resign, Like Jacinda Ardern? Often, the System Decides.","In parliamentary systems like New Zealand’s, it is the norm for leaders to step down when doing so may serve their party’s electoral prospects. In other political systems, leaving office early is rare.",meter-true
484,"Elon Musk Said Davos Isn’t Fun. Well, Is It?",A not-so-scientific poll of attendees at the Super Bowl of global capitalism.,meter-true
485,What are Stryker vehicles? And why is the Pentagon sending them to Ukraine?,The vehicles weigh about 20 tons and have eight wheels. They move quickly while carrying soldiers and can be armed with a variety of weapons.,meter-true
486,The Death of Globalization? You Won’t Find It in New Orleans.,The city that was once the world’s gateway to America is betting it can win in a new and different era of global integration.,meter-true
487,How Smart Are the Robots Getting?,The Turing test used to be the gold standard for proving machine intelligence. This generation of bots is racing past it.,meter-true
488,,,meter-true
489,Western defense officials are still working to reach an agreement on providing Leopard 2 tanks to Ukraine.,,meter-true
490,Your Friday Briefing,A meeting in Germany of Ukraine’s allies.,meter-true
