,0,truth_value,1
310,"In Iran, a Patronizing Pronouncement on ‘National Women’s Day’",MISLEADING,meter-false
311,Pro-Russian Disinfo Spreads About U.S. Arms Shipments,FALSE,meter-false
312,"Chinese TV Warps U.S. Views on Wealth, Income Equality",MISLEADING,meter-false
313,China Flouts International Norms – and Truth – in Forced Renditions,FALSE,meter-false
314,Kremlin Floats Phony ‘Civil War in Ukraine’ Narrative,FALSE,meter-false
315,Russian Security Chief Spins Baseless Olympics Conspiracy Theory,UNSUBSTANTIATED,meter-false
316,Presto Chango: Russian Media Elevate Putin from ‘Mafia Boss’ to Genius,MISLEADING,meter-false
317,Germany Refuses Arms for Ukraine While Selling to the World,MISLEADING,meter-false
318,China Fibs About Progress on U.S. Trade Deal,MISLEADING,meter-false
319,"In South China Sea, Beijing Turns Reality Upside Down",FALSE,meter-false
320,"Russian Mercenaries Reported in Mali, Despite Govt. Denials",MISLEADING,meter-false
321,"To Justify Ukraine Threat, Russia Touts Phony NATO ‘Promise’ Tale",FALSE,meter-false
322,COVID-19 Rapid Test Results Are Not Rigged in Advance,FALSE,meter-false
323,A Misleading Intervention by Cambodia’s Hun Sen in Myanmar,MISLEADING,meter-false
324,"As U.S. Talks Kick Off, Russian FM Falsely Calls Ukraine an ‘Orphan’ State",FALSE,meter-false
325,"Despite Denial, Corruption Charges Swirl Around Bosnian Serb Leader",FALSE,meter-false
326,"With No Basis, Xi Blames 'External Forces' for Kazakhstan Unrest",UNSUBSTANTIATED,meter-false
327,Russia’s Misleading Claims About Recognizing the Taliban,MISLEADING,meter-false
328,The Kremlin’s Evasive ‘No Comment’ on Rights Group Shutdown,MISLEADING,meter-false
329,Sisi Downplays Military’s Encroachment on Egyptian Economy,MISLEADING,meter-false
330,China’s Issues Fatuous Denials of Economic Bullying,FALSE,meter-false
331,Kremlin Has Flagrantly Broken Budapest Pact on Ukraine’s Security,FALSE,meter-false
332,Kremlin Dodges as Court Doc Points to Russians in Eastern Ukraine,LIKELY FALSE,meter-false
333,Whataboutism and China's Promotion of Social Media Surrogates,MISLEADING,meter-false
334,"Belarus Misleads, Blaming NATO for Instigating Migrant Buildup",MISLEADING,meter-false
335,Flimsy Evidence of Secret Philippines Plot to Invade Malaysia,UNSUBSTANTIATED,meter-false
336,A Far-Right Leader’s False Claims About Anti-Vaccine Protests in Austria,FALSE,meter-false
337,RT Falsely Claims New Zealand Legalizes ‘Orgies’ Amid COVID Measures,FALSE,meter-false
338,Boycotts for Human Rights Do Not Violate Olympic Charter,FALSE,meter-false
339,Ukraine Doesn’t Need Russia’s Permission to Navigate Kerch Strait,FALSE,meter-false
340,"Censorship, Surveillance, Suppression: No, China Is Not a ‘Democracy’",FALSE,meter-false
341,State Department Official Did Not say U.S. Will Abandon Ukraine,FALSE,meter-false
342,"As Biden and Putin Talk, Disinfo from Ukraine Separatist on Russian Military Buildup",MISLEADING,meter-false
343,China Deflects as Xinjiang Papers Implicate Xi Jinping,FALSE,meter-false
344,North Korea Gets It Wrong on Omicron Variant,MISLEADING,meter-false
345,China Falsely Denies Gwadar Protests as ‘Fake News’,FALSE,meter-false
346,There is Nothing Fake About the Omicron Mutation,FALSE,meter-false
347,New Fake Russian History: The Costly Winter War With Finland,FALSE,meter-false
348,Venezuela Election Observers Were Not Spies,FALSE,meter-false
349,Misleading Claims About the Omicron Variant and Vaccines,MISLEADING,meter-false
350,"China Denounces Lithuania Over Border Crisis, Ignoring Belarus’ Role",PARTIALLY TRUE,meter-false
351,Iran’s Atomic Chief Falsely Claims ‘No Deviations’ in Nuclear Program,FALSE,meter-false
352,Russian Admiral Re-Floats Kursk Sub Conspiracy Amid NATO Tensions,FALSE,meter-false
353,No Proof Ivermectin Cut COVID-19 Surge in Indonesia,FALSE,meter-false
354,China Falsely Attributes Blackouts to ‘Seriousness’ About Climate,FALSE,meter-false
355,Xi Falsely Claims China Never Started a War or Took 'One Inch of Land’,FALSE,meter-false
356,"Russia Makes Space Junk, Denies Danger to its Own Astronauts",FALSE,meter-false
357,"Lukashenko is Not ‘Heating Europe’, Just a Migrant Crisis",FALSE,meter-false
358,Vietnam Did Not ‘Bully’ China Ahead of Bloody ’79 War,FALSE,meter-false
359,Myanmar Junta Holds To Election Fraud Lie As Violence Intensifies,FALSE,meter-false
360,Russia’s False Denial of Trevor Reed’s Hunger Strike,FALSE,meter-false
361,Russia Spreads Disinfo About Belarus-Poland Migrant Standoff,MISLEADING,meter-false
362,What’s With Those Inflammatory Photos of Indian Troops Caught By China?,UNCLEAR,meter-false
363,Why Turkmenistan’s COVID Stats Are Likely Fabricated,LIKELY TRUE,meter-true
364,Foreign Businesses in Hong Kong are not ‘More Stable’ Thanks to National Security Law,FALSE,meter-false
365,Iran Blatantly Lies to Cover Up an Act of Piracy,FALSE,meter-false
366,Moving Confederate Statues Isn’t Like Destroying Ancient Palmyra,FALSE,meter-false
367,Wild Conspiracy Theory Linking Pfizer COVID-19 Vaccine To ‘Lucifer’ Goes Viral,FALSE,meter-false
368,How Russia Distorted a Ukrainian Drone Strike in Donbas,FALSE,meter-false
369,Lukashenko and Dubious Claims That Poland Is Massing Tanks at Border,MISLEADING,meter-false
370,China Distorts US Hurdles in Donating Expiring COVID-19 Vaccines,MISLEADING,meter-false
371,Bolsonaro Did Not Do “The Right Thing” to Fight COVID in Brazil,MISLEADING,meter-false
372,"China Misrepresents Greenhouse Gas Curbs, Addiction to Coal",MISLEADING,meter-false
373,Ukraine Did Not Threaten Russia With a 'Missile Strike',FALSE,meter-false
374,Erdogan’s Bogus Case for Booting NATO Ambassadors,MISLEADING,meter-false
375,"Cambodia: After 30 Years, a Promise of Democracy Still Broken",FALSE,meter-false
376,Details Oleg Deripaska Forgot to Mention After FBI Raid,FALSE,meter-false
377,Putin’s Flack Misleads on Russian Vaccine Phobia,MISLEADING,meter-false
378,Vaccines Are Not More Deadly Than COVID-19 in Taiwan,FALSE,meter-false
379,Colin Powell’s Death Does Not Undercut Coronavirus Vaccines,MISLEADING,meter-false
380,China’s Gaslighting on Greenhouse Gases,MISLEADING,meter-false
381,European Union Sanctions on Russia Are Not ‘Illegitimate’,FALSE,meter-false
382,Myanmar’s False Claim of Cooperation Toward Peace,FALSE,meter-false
383,China Misrepresents U.S. Vaccine Donations,MISLEADING,meter-false
384,Russia Has Not Been a ‘Reliable’ Energy Source for Europe,MISLEADING,meter-false
385,Iran Conflates Israel With Russia in South Caucasus Wrangling,MISLEADING,meter-false
386,How China Misrepresents the U.S. ‘One China’ Policy on Taiwan,MISLEADING,meter-false
387,Project Veritas 'Sting' Spreads Vaccine Falsehoods,FALSE,meter-false
388,"Technically, China Did Not Invade Taiwan’s Airspace",FALSE,meter-false
389,Russia's False Rebuttal of Pandora Papers Probe,FALSE,meter-false
390,China Falsely Claims Huawei Case Was ‘Fabricated’,FALSE,meter-false
391,Erdogan’s False Claim That Turkey is ‘Incomparably Free’,FALSE,meter-false
392,Russian Foreign Ministry Distorts Kosovo-Serbia Escalation,MISLEADING,meter-false
393,New Historic Find Contradicts China’s Maritime Power Play,UNCLEAR,meter-false
394,"Russia, Sentinel for World Cybersecurity? We Think Not.",MISLEADING,meter-false
395,"China Labels Australian Sub Deal ‘Proliferation,’ But That’s a Stretch",MISLEADING,meter-false
396,The Half-Truth About Russian ‘Peacekeepers’ in Moldova,MISLEADING,meter-false
397,China’s Bogus Attack on a Top U.S. Coronavirus Lab,MISLEADING,meter-false
398,Duterte’s Reported Links to a Drug War Death Squad,UNCLEAR,meter-false
399,"Russia’s Elections ‘Competitive, Honest?’ Not a Chance",FALSE,meter-false
400,"Russia Dangles Mercenaries to Mali, Denies Military Talks",MISLEADING,meter-false
401,"With False Pretext, Hong Kong Limits Democracy to ’Patriots’",FALSE,meter-false
402,"Evidence of Taliban War Crimes Mounts, Despite Denials",FALSE,meter-false
403,Japan Shades History with Textbook Edit of Sexual Slavery,TRUE,meter-true
404,"People Disappear, But Bangladesh Pretends They Don't",MISLEADING,meter-false
405,Beijing’s Duplicitous Mischief at Mischief Reef,FALSE,meter-false
406,Nine Lies from Russia About 9/11,FALSE OR MISLEADING,meter-false
407,"How Russia Distorted, Censored MH17 Trial Coverage",MISLEADING,meter-false
408,Hacks of German Politicians Get Russia's Standard Denial,MISLEADING,meter-false
409,"After Criticism in Thailand, China Inflates Sinovac’s Efficacy",MISLEADING,meter-false
410,"Sri Lanka Denies Food ‘Shortage’, Only an ‘Emergency’",FALSE,meter-false
411,‘The Kite Runner’ and a Chinese Time Warp in Xinjiang,MISLEADING,meter-false
412,Syria Misrepresents Scale of Mediterranean Oil Spill,FALSE,meter-false
413,RT Misleads After an Anti-Masker is Booted From Singapore,MISLEADING,meter-false
414,"Russia Expels a BBC Reporter, Then Feigns Tit-For-Tat",MISLEADING,meter-false
415,Russia Says it Can’t Interfere in Ukraine – While it Meddles in Ukraine,FALSE,meter-false
416,"From Beijing, Wrath and Conspiracies After U.S. Virus Report",FALSE,meter-false
417,Who’s Responsible for ‘Deplorable’ EU-Russian Relations?,FALSE,meter-false
418,Nigeria Misleadingly Claims Victory While Terror Spreads,FALSE,meter-false
419,"From Pakistan, a False Claim About U.S.-Taliban Talks",FALSE,meter-false
420,Setting Hungary Straight About Afghan Refugee Rights,FALSE,meter-false
421,Is Ukraine the Next Afghanistan? Nyet So Fast.,FALSE,meter-false
422,China Whitewashes Taliban Rise,MISLEADING,meter-false
423,Putin Falsely Equates U.S. Capitol Rioters With Navalny,FALSE,meter-false
424,"Ortega’s Groundless Attack on Humanitarian, Democracy Groups in Nicaragua",UNSUBSTANTIATED,meter-false
425,Cambodia’s Misleading Excuse for Trampling Free Speech,MISLEADING,meter-false
426,Doublespeak from Russian FM on Foreign Troops in Libya,MISLEADING,meter-false
427,Who’s ‘Crazy’? Lukashenko’s Rant About Airline Sanctions,FALSE,meter-false
428,The Taliban’s Already Broken Pledge to Protect Afghan Women,MISLEADING,meter-false
429,Here We Go Again: U.S. Military Did Not Bring COVID-19 To Wuhan,FALSE,meter-false
430,Venezuela a ‘Leading Democracy’? Get Real,FALSE,meter-false
431,Poland: Censorship Under the Guise of Media ‘Reform’?,MISLEADING,meter-false
432,China Daily’s Phony AIDS/COVID Connection,FALSE,meter-false
433,"Russian FM Falsely Claims Olympic Ban Was About Politics, Not Doping",MISLEADING,meter-false
434,"China Cites Fictitious Scientist to Muddy COVID-19 Origins, Then Covers Up",FALSE,meter-false
435,China Outsources Fort Detrick Pandemic Conspiracy To Philippines,FALSE,meter-false
436,"Havana Syndrome, Microwave Weapons, Russian Lies",FALSE,meter-false
437,Indian Ag Minister Claims No Protesting Farmers Died – Except That Hundreds Did,FALSE,meter-false
438,Iran’s Bogus ‘False Flag’ Claim on Ship Attack,FALSE,meter-false
439,"Top Russian Officials Confused About al-Qaida, Taliban Ties",FALSE,meter-false
440,Venezuela’s Top Diplomat Falsely Calls EU Sanctions Against Nicaragua Unlawful,FALSE,meter-false
441,Taliban Play Dumb About Acclaimed Photojournalist’s Death,MISLEADING,meter-false
442,"Amid Pandemic Crisis, Thai PM Moves to Stifle Critics",MISLEADING,meter-false
443,Belarusian State Media Conceal Harassment of Olympic Athlete,FALSE,meter-false
444,"While Fanning Hostility, China Falsely Claims Foreign Journalists Have “Unfettered” Access",FALSE,meter-false
445,"State Media Misrepresent an Olympic Reporter’s Question, and Russia Cries Foul",MISLEADING,meter-false
446,India's Misleading Defense of a News Media Raid,MISLEADING,meter-false
447,Russian State Media Buoy Beijing’s False Claims in South China Sea,FALSE,meter-false
448,Unholy Spin: Xi Endorses ‘Religious Rights’ In Tibet,FALSE,meter-false
449,Really? Russia Inflates a Minor Mistake Into a Bogus Navalny Conspiracy,FALSE,meter-false
450,Update: China Misleads on Nature of Wuhan Coronavirus Research,MISLEADING,meter-false
451,India’s Puzzling Denial About Oxygen and COVID-19 Deaths,FALSE,meter-false
452,Belarus Falsely Denies Helping Smuggle Migrants Into Lithuania,FALSE,meter-false
453,China ‘Never Supports’ Cyberattacks? Experts Beg to Differ,LIKELY FALSE,meter-false
454,Dangerous Vaccine Disinfo Drives Protests in France,MISLEADING,meter-false
455,"Taliban Claim Brutal Execution Video is ‘Fake,’ But Witnesses Step Up",LIKELY FALSE,meter-false
456,"Despite Growing Evidence, China Denies Uyghur ‘Forced Labor’",LIKELY FALSE,meter-false
457,"Pushing a Prisoner Swap with U.S., Russia Whitewashes an Arms Dealer, a Drug Trafficker and a Hacker",MISLEADING,meter-false
458,Cuban Foreign Minister Falsely Claims Peaceful Protesters Have ‘No Reason for Fear’,FALSE,meter-false
459,'Expelled’ U.S. Destroyer Violated International Law in South China Sea? Nope.,FALSE,meter-false
460,Duterte Spokesman Protests ‘Press Freedom Predator’ Label,MISLEADING,meter-false
461,Russia’s U.S. Embassy Distorts What Happened in Republican Party Cyber-Attack,MISLEADING,meter-false
462,Iran Distorts History of Iraqi Chemical Attacks' Aftermath,MISLEADING,meter-false
463,Lavrov’s Weird Claim: Western Schools Teach ‘Jesus Was Bisexual.’,FALSE,meter-false
464,Russia’s Black Sea Buccaneering,FALSE,meter-false
465,"On Stage in Moscow, Myanmar Coup Maker Falsely Blames Protestors for Violence",FALSE,meter-false
466,Kremlin Falsely Dismisses U.N. Atrocity Accusations in Africa as ‘Another Lie’,FALSE,meter-false
467,Centenary Falsehood: China’s ‘Huge Effort’ to Protect Human Rights,FALSE,meter-false
468,"Orban Claims He’s a ‘Fighter’ for Gay Rights, But Just Look at His Record",FALSE,meter-false
469,U.K. Pol Misleads on COVID-19 Vaccine and DNA,MISLEADING,meter-false
470,Disinfo: Russian ‘Warning’ Shots at British Warship,MISLEADING,meter-false
471,Why Is Apple Daily Closing? It’s Not What Hong Kong Claims,MISLEADING,meter-false
472,Taliban Violence Undermines Claim to Seek Mutual ‘Understanding’,MISLEADING,meter-false
473,"Belarus Says Sanctions Aim To Steal Markets, But It’s Really About Air Piracy",FALSE,meter-false
474,"Iran Touts ‘Sound’ Elections, But Rigged Is More Like It",MISLEADING,meter-false
475,Duterte Ally Smears Criminal Court Prosecutor,FALSE,meter-false
476,Putin’s Convenient Memory Lapse on Iran Satellite Deal,FALSE,meter-false
477,"China Revises Xinjiang Census, But Something's Not Adding Up",MISLEADING,meter-false
478,"Disputing UK, China Makes Orwellian Claim of ‘Freedom’ in Hong Kong",FALSE,meter-false
479,"Putin Ridicules Ransomware Blame, Ignores History of Attackers",MISLEADING,meter-false
480,‘Zero Evidence’ for Novel Coronavirus Lab Leak? Not so Fast.,MISLEADING,meter-false
481,Putin Falsely Labels Ukrainian Indigenous Peoples Law ‘Nazi’,FALSE,meter-false
482,Belarus Makes Sketchy New Claims to Defend Diverting Flight,FALSE,meter-false
483,"In Memory of ‘Father of Hybrid Rice,’ China Forgets Great Famine",UNSUBSTANTIATED,meter-false
484,Iran’s Nuclear ‘Cooperation’ Doesn’t Go Far,FALSE,meter-false
485,"Amid Impeachment Furor, Bolsonaro Misleads With Boasts of Vaccine 'Success'",MISLEADING,meter-false
486,Russia’s Top Virologist Takes China’s Side Against Lab Leak Theory,FALSE,meter-false
487,A ‘Thai Variant’ for Coronavirus? Not Really. It's Complicated.,TRUE,meter-true
488,Kagame’s Selective Memory About Mass Killings in Congo,FALSE,meter-false
489,"To Boost its Ally, Russia Trumpets Bogus Syria Vote",FALSE,meter-false
490,"China Never Started a War? Vietnam, India Beg to Differ",FALSE,meter-false
491,The Mystery of Maduro’s Vaccination Drive for Venezuela,UNCLEAR,meter-false
492,Whitewash: China Calls Invasion of Tibet ‘Peaceful Liberation’,FALSE,meter-false
493,Belarus Spins Plane Ruse as Heroic Move by Dictator Lukashenko,FALSE,meter-false
494,China’s New Trackless ‘Train’ is Just a Bus,MISLEADING,meter-false
495,Indian Politician Brags About Vaccine Efforts as COVID-19 Rages,MISLEADING,meter-false
496,Russian State TV Claims Biden ‘Seized’ the White House,FALSE,meter-false
497,China’s ‘Wolf Warriors’ Spread Staged Eid al-Fitr Dance Video,MISLEADING,meter-false
498,"Iran’s 'Domestically-Manufactured' Simorgh, or a Converted Last-Century American F-5",MISLEADING,meter-false
499,Malaysian Twitizens Invent War With Israel,FALSE,meter-false
500,China Distorts its Suppression of Journalists While Railing Against Media ‘Distortion’,MISLEADING,meter-false
501,Netanyahu Spokesman Tweets Old Video of Syria War as ‘Gaza Now’,FALSE,meter-false
502,Re-Entry Envy: China’s Gripes About its Crashing Rocket Leave Out Key Point,MISLEADING,meter-false
503,RT Levels Bogus Charge of ‘Covid Apartheid’ Against Michigan’s Whitmer,FALSE,meter-false
504,"With Scant Evidence, Colombia Says Criminal Groups Are Behind Protests",MISLEADING,meter-false
505,Turkey’s Misleading Claim About Mercenaries in Libya,MISLEADING,meter-false
506,Pirate Prevarication on the ‘Captain Phillips’ Anniversary,FALSE,meter-false
507,Iranian State TV Invents ’Mystery’ About 1980 Embassy Siege,FALSE,meter-false
508,"After Crushing Free Media, Cambodia’s Hun Sen Claims to 'Place High Value' on Journalism",FALSE,meter-false
509,"Palestinian Envoy Touts Number of Xinjiang Mosques, Ignores Demolition Evidence",MISLEADING,meter-false
510,Russia Points at Ukraine With Dubious Terror Plot Involving … Russians!,MISLEADING,meter-false
511,Did Vietnam’s President Vow to Never Oppose China? Doubtful.,LIKELY FALSE,meter-false
512,Biden’s Speech Minimizes Historic US Greenhouse Contribution,MISLEADING,meter-false
513,Candor and Correction From Iran’s Foreign Minister,MISLEADING,meter-false
514,Russian Media Still Misleadingly Mad About HBO’s Chernobyl,MISLEADING,meter-false
515,Bolsonaro’s 'New' Climate Change Promises Weren’t New at All,MISLEADING,meter-false
516,Russia’s Sputnik V Skews Stats to Falsely Trash Pfizer Vaccine,FALSE,meter-false
517,Turkish Defense Minister Distorts History of Mass Armenian Deaths That Biden Called 'Genocide',MISLEADING,meter-false
518,Is China's Belt and Road Really ‘Green’?,MISLEADING,meter-false
519,"Putin Advances Claims of U.S.-Instigated Plot to Oust, Kill Belarusian Leader",UNSUBSTANTIATED,meter-false
520,"Beijing Denies Expansionism Despite South China Sea Militarization, Sweeping Claims",FALSE,meter-false
521,"Belarus Distorts U.S. Message, Ignores Repression Record",MISLEADING,meter-false
522,No Proof: Russia’s UK Ambassador Says Navalny Faking Illness,UNSUBSTANTIATED,meter-false
523,China Falsely Attacks Aussie Think Tank Documenting Uyghur Persecution,FALSE,meter-false
524,Venezuela’s VP Says Rich Countries Are Not Giving Vaccines for Free. They Are.,FALSE,meter-false
525,Truth-Squadding Russia’s Response to New U.S. Sanctions,FALSE,meter-false
526,"To Slam U.S., China Grossly Distorts Risks of Fukushima Wastewater Dump",MISLEADING,meter-false
527,"Denouncing ‘Foreign Fighters,’ Libyan Warlord Ignores his Own Russian Mercenaries",MISLEADING,meter-false
528,"From Russia’s Proxies, Unsupported Claims of Mass Ukraine Army Desertions",LIKELY FALSE,meter-false
529,Iran Fabricates Claim that U.S. Blocked Vaccines from India,FALSE,meter-false
530,More Russian Disinfo: Security Chief Blasts U.S. For ‘Selfish’ Vaccine Policy,MISLEADING,meter-false
531,Bolsonaro's Son Covers for Agribusiness on Worsening Amazon Deforestation,FALSE,meter-false
532,"Fake News About Ukraine Conflict? ‘Hard to Imagine,’ Kremlin Says",MISLEADING,meter-false
533,Prominent Filipinos Tout Unproven Parasite Drug for COVID-19,UNSUBSTANTIATED,meter-false
534,Putin’s Blind Eye on Russia’s Ethnic Strife,MISLEADING,meter-false
535,China Sidesteps WHO Chief on Coronavirus Origins with Anti-US Disinfo,FALSE,meter-false
536,"As Military Tensions Rise, ‘Mythical’ Russian Aggression Is Very Real in Ukraine",FALSE,meter-false
537,China's Disingenous Denials of Vaccine Nationalism,FALSE,meter-false
538,Is Thailand Driving Back Myanmar Refugees? Evidence Says So,MISLEADING,meter-false
539,Is Kazakhstan a ‘Multiparty’ Democracy? In Name Only,MISLEADING,meter-false
540,Biden Flubs Southwest Border Stat Test,FALSE,meter-false
541,Russia Floats Flagrant Falsehoods on the Anniversary of NATO’s Kosovo Air Campaign,FALSE,meter-false
542,"Ortega Promises Vaccines for All in Nicaragua, But Doesn’t Say How",UNCLEAR,meter-false
543,Russia Today Video Slams Virus Lockdowns with COVID-19 Disinfo,MISLEADING,meter-false
544,"When an Infant Dies After Baptism, Romanian Cleric Falsely Blames Parents",FALSE,meter-false
545,Russia’s ‘Breaking’ U.S. Missile News is Two Years Old and Fake,FALSE,meter-false
546,"In Brazil, an Outgoing Health Minister’s Alternate COVID-19 Reality",MISLEADING,meter-false
547,Who Really Led U.S.-Russia Relations to a Dead End?,FALSE,meter-false
548,Russia Spins Pseudo-History on Anniversary of Crimea Seizure,FALSE,meter-false
549,China Tries to Sow Doubt About Coronavirus Origins,MISLEADING,meter-false
550,Big Names Resurrect Dubious Chem Weapons Conspiracy,FALSE,meter-false
551,U.S.-Mexico Border Stats: Spin and a Political Scrum,MISLEADING,meter-false
552,Russia Tries to Whitewash Syrian Regime's Chemical Attacks,FALSE,meter-false
553,Did Russia Spread Dirt on a U.S. Coronavirus Vaccine? You Betcha.,FALSE,meter-false
554,Why the West Invaded Russia and What the Kremlin Left Out,MISLEADING,meter-false
555,Duterte Makes Misleading Claims about Gender Equity in Philippines,MISLEADING,meter-false
556,Was ‘Justice Served’ by Saudis in Jamal Khashoggi’s Murder?,FALSE,meter-false
557,"No, COVID-19 Vaccines Don’t Make You Infertile",FALSE,meter-false
558,Cambodia’s Lies About ‘Coup’ Case and Verdict,FALSE,meter-false
559,Has the U.S. Ever Helped Russia? Yes!,FALSE,meter-false
560,Maduro Misleads with Video on Venezuela’s Pandemic Response,MISLEADING,meter-false
561,"Bolsonaro Misrepresents German Report on Kids, Masks",MISLEADING,meter-false
562,TikTok Video Falsely Blames U.S. for Assad Regime’s Bombing,FALSE,meter-false
563,Russia Never Annexed Crimea? UN Disagrees,FALSE,meter-false
564,Was a Bangkok Market the Original Coronavirus Source?,UNSUBSTANTIATED,meter-false
565,"Russian UN Official Calls Ukraine Aggression a ‘Fairy Tale,’ But It’s Non-Fiction",FALSE,meter-false
566,Venezuela’s Blind Spot on European Sanctions,MISLEADING,meter-false
567,RT Falsely Claims No Proof Kremlin is Behind SolarWinds Hack,FALSE,meter-false
568,Georgian PM’s Distortion of the Rose Revolution Legacy,MISLEADING,meter-false
569,Iraq Reports Coronavirus Variant ‘More Dangerous’ for Children,UNCERTAIN,meter-false
570,Maduro’s Dissembling Attack on Leopoldo Lopez,FALSE,meter-false
571,Iran’s Unconvincing Denial of Ties with Erbil Attackers,LIKELY FALSE,meter-false
572,"Cambodia’s Internet Clampdown: A ‘Great Firewall’, or No Worse than the West?",MISLEADING,meter-false
573,Russia and Syria: More Falsehoods About ‘False Flag’ Attacks,LIKELY FALSE,meter-false
574,Disinfo from Brazil: UK Has Reached Herd Immunity,MISLEADING,meter-false
575,"After Navalny Protests, Russian Riot Police Demo in a School",MISLEADING,meter-false
576,Was a Bangkok Market the Original Coronavirus Source?,UNSUBSTANTIATED,meter-false
577,"Russian UN Official Calls Ukraine Aggression a ‘Fairy Tale,’ But It’s Non-Fiction",FALSE,meter-false
578,Venezuela’s Blind Spot on European Sanctions,MISLEADING,meter-false
579,RT Falsely Claims No Proof Kremlin is Behind SolarWinds Hack,FALSE,meter-false
580,Georgian PM’s Distortion of the Rose Revolution Legacy,MISLEADING,meter-false
581,Iraq Reports Coronavirus Variant ‘More Dangerous’ for Children,UNCERTAIN,meter-false
582,Maduro’s Dissembling Attack on Leopoldo Lopez,FALSE,meter-false
583,Iran’s Unconvincing Denial of Ties with Erbil Attackers,LIKELY FALSE,meter-false
584,"Cambodia’s Internet Clampdown: A ‘Great Firewall’, or No Worse than the West?",MISLEADING,meter-false
585,Russia and Syria: More Falsehoods About ‘False Flag’ Attacks,LIKELY FALSE,meter-false
586,Disinfo from Brazil: UK Has Reached Herd Immunity,MISLEADING,meter-false
587,"After Navalny Protests, Russian Riot Police Demo in a School",MISLEADING,meter-false
588,"Blasting Western Media, China Skirts Its Own History of Spreading Coronavirus Lies",MISLEADING,meter-false
589,"Olympic Chief Promises Safe Games in China, But Beijing’s Credibility in Question",MISLEADING,meter-false
590,"In Swipe at Canada over Arrests, China Ignores Its Own Record",MISLEADING,meter-false
591,Uighurs and Rohingya: RT America Host’s False Equivalence,MISLEADING,meter-false
592,Anti-Vaxxers' False Claims About COVID-19 Vaccine Deaths,FALSE,meter-false
593,Are the US and EU Running the Navalny Protests? Hardly.,FALSE,meter-false
594,Tanzania’s President Rejected Coronavirus Reality. Now He Rejects Vaccines.,FALSE,meter-false
595,Turkish Interior Minister Falsely Blames US for 2016 Coup,FALSE,meter-false
596,COVID-19 Vaccine Turns People Gay? Iranian Cleric Spins Wild Conspiracy,FALSE,meter-false
597,Russia Disinfo Targets New Ukraine Media Sanctions,MISLEADING,meter-false
598,Kremlin Mouthpiece Falsely Claims ‘No Repression’ Despite Navalny Protest Crackdown,FALSE,meter-false
599,Maduro Attacks 'Hate’ Campaign Against His COVID-19 ‘Miracle Drops.’ Experts Just Want Proof.,MISLEADING,meter-false
600,Russian Disinfo on Navalny Sentencing: The West is Hysterical,FALSE,meter-false
601,Taliban Refreshes False Claim That U.S. Copters Ferried Islamic State Fighters,FALSE,meter-false
602,China Hypocritically Claims U.S. is ‘Radicalizing’ People in Myanmar,FALSE,meter-false
603,Myanmar Military: This Coup Is Not a Coup,FALSE,meter-false
604,Lukashenko Falsely Claims West Planned Belarus ‘Blitzkrieg’ To Topple Him,FALSE,meter-false
605,"In Ukraine, Pro-Moscow Media Turn a First President's Words Upside Down",FALSE,meter-false
606,China Showcases ‘Happy’ Uighurs to Fend Off Genocide Claims,MISLEADING,meter-false
607,Russia’s Scapegoat for Nationwide Protests? The US Embassy (Again),FALSE,meter-false
608,"With Scant Evidence, Maduro Touts ""100 Percent"" COVID-19 Cure",UNSUBSTANTIATED,meter-false
609,Maduro’s Fairy Tale Narrative on the Exodus from Venezuela,MISLEADING,meter-false
610,"Biden – Putin: One Phone Call, Two Readouts. What’s Different?",MISLEADING,meter-false
611,"Whose Palace Is It, Anyway? Kremlin’s Less-Than-Upfront Reaction to Navalny Video",MISLEADING,meter-false
612,"Invoking Racism, Russian State TV Slights New U.S. Defense Chief",FALSE,meter-false
613,‘Malicious Farce’ - China’s Latest False Denial of Genocide Evidence,FALSE,meter-false
614,"Defending Trump, Top Russian Lawmaker Gets Free Speech All Wrong",MISLEADING,meter-false
615,Brazilian Leaders Deflect Blame as COVID-19 Overruns Hospitals in Amazonas,MISLEADING,meter-false
616,"Russia’s FM Calls Outcry Over Navalny Arrest ‘Unlawful,’ Sidestepping His Poisoning",FALSE,meter-false
617,"Iranian State TV Denies Al-Qaida Ties, But There Is History",FALSE,meter-false
618,Putin’s Baseless Brag About Russian COVID-19 Vaccine,UNSUBSTANTIATED,meter-false
619,"After Capitol Hill Fury, Bolsonaro ‘Guru’ in US Spreads Conspiracy Theories",FALSE,meter-false
620,"In Russia, a Conspiracy Rehash Blames US for Coronavirus",FALSE,meter-false
621,Deleted: China Tweet says ‘Emancipated’ Uighur Women No Longer 'Baby-making Machines’,FALSE,meter-false
622,No ‘Russian Chants’ at Capitol Riot,FALSE,meter-false
623,Nancy Pelosi Did Not Call Hong Kong Violence a ‘Beautiful Sight to Behold’,FALSE,meter-false
624,China Misleads on Military Threat of Arctic Expansion,MISLEADING,meter-false
625,Brazil: Fantasy and Failure to Protect the Amazon,MISLEADING,meter-false
626,"As Virus Spreads, Top Thai Minister Denies Gambling Link",FALSE,meter-false
627,Pro-Gov Turkish Media Misrepresent US Ties to Kurds,MISLEADING,meter-false
628,Chinese Party Paper Whitewashes State Censorship over Coronavirus Reporting in Wuhan,FALSE,meter-false
