,nc,1,claim,0,nt
520,Фейк: Украинских беженцев в Польше спрашивают об их отношении к Бандере и Волынской трагедии...,meter-false,Fake: Ukrainian refugees in Poland are being asked about their attitude towards Bandera and the Volyn tragedy...,Ukrainian refugees in Poland are being asked about their attitude towards Bandera and the Volyn tragedy...,Fake
521,Фейк: Во временно оккупированной части Запорожской области заявили о «налаживании международных контактов»,meter-false,"Fake: In the temporarily occupied part of the Zaporizhia region, they announced “the establishment of international contacts”","In the temporarily occupied part of the Zaporizhia region, they announced “the establishment of international contacts”",Fake
522,Фейк: Оксфордский университет отзывает свыше 10 тысяч дипломов детей российских чиновников,meter-false,"Fake: Oxford University Revokes Over 10,000 Diplomas of Children of Russian Officials","Oxford University Revokes Over 10,000 Diplomas of Children of Russian Officials",Fake
524,Манипуляция: Премьер Молдовы опасается «перекидывания в страну конфликта с Украины»,meter-false,Manipulation: Prime Minister of Moldova fears “spreading the conflict from Ukraine into the country”,Prime Minister of Moldova fears “spreading the conflict from Ukraine into the country”,Manipulation
525,Фейк: В США разработали план и карту раздела России￼,meter-false,Fake: The United States has developed a plan and a map for the division of Russia￼,The United States has developed a plan and a map for the division of Russia￼,Fake
526,"Фейки об ударах по одесскому порту: «ВСУ сами обстреляли порт», «это HIMARS», и «в...",meter-false,"Fake news about strikes on the port of Odessa: “The Armed Forces of Ukraine shelled the port themselves”, “this is HIMARS”, and “in...","“The Armed Forces of Ukraine shelled the port themselves”, “this is HIMARS”, and “in...",Fake news about strikes on the port of Odessa
527,Фейк: Европолу известно о случаях контрабанды оружия из Украины,meter-false,Fake: Europol is aware of cases of arms smuggling from Ukraine,Europol is aware of cases of arms smuggling from Ukraine,Fake
528,"Фейк: В аэропортах Великобритании плакаты на украинском призывают «не мусорить и не ломать оборудование»,...",meter-false,"Fake: At UK airports, posters in Ukrainian urge “do not litter or break equipment”,...","At UK airports, posters in Ukrainian urge “do not litter or break equipment”,...",Fake
529,Фейк: Венгрия готовится к защите от «насилия Киева и Брюсселя»,meter-false,Fake: Hungary is preparing to defend itself against the “violence of Kyiv and Brussels”,Hungary is preparing to defend itself against the “violence of Kyiv and Brussels”,Fake
530,"Фейк: Драмтеатр в Мариуполе «взорвали изнутри украинские военные», и погибших  там «всего лишь 14...",meter-false,"Fake: Drama theater in Mariupol “blowed up from the inside by the Ukrainian military”, and “only 14 died there...","Drama theater in Mariupol “blowed up from the inside by the Ukrainian military”, and “only 14 died there...",Fake
531,Фейк Лаврова: Киев до сих пор не установил имена погибших в Буче и не...,meter-false,Fake Lavrova: Kyiv has not yet established the names of those killed in Bucha and...,Kyiv has not yet established the names of those killed in Bucha and...,Fake Lavrova
532,Фейк: Украина наносит удары по собственным объектам культурного наследия,meter-false,Fake: Ukraine strikes at its own cultural heritage sites,Ukraine strikes at its own cultural heritage sites,Fake
533,"Фейк: Социальная реклама в Германии предлагает мыть только четыре области тела, «чтобы разозлить Путина»",meter-false,Fake: PSA in Germany suggests washing only four areas of the body “to piss off Putin”,PSA in Germany suggests washing only four areas of the body “to piss off Putin”,Fake
534,Фейк: Украинские беженцы устроили потасовку на дороге в Италии ￼,meter-false,Fake: Ukrainian refugees brawl on a road in Italy ￼,Ukrainian refugees brawl on a road in Italy ￼,Fake
535,Фейк: Украинские военные пытаются скрыть следы неудачного перехвата ракеты над Винницей,meter-false,Fake: The Ukrainian military is trying to cover up the traces of a failed missile interception over Vinnitsa,The Ukrainian military is trying to cover up the traces of a failed missile interception over Vinnitsa,Fake
536,Фейк: Посольство США в Киеве и консульство в Одессе прекратили свою работу,meter-false,Fake: The US Embassy in Kyiv and the Consulate in Odessa have stopped their work,The US Embassy in Kyiv and the Consulate in Odessa have stopped their work,Fake
537,"Манипуляция: Экс-посол США в России Макфол заявил, что «ученые США поддерживают идеи Путина»",meter-false,"Manipulation: Former US Ambassador to Russia McFaul said that ""US scientists support Putin's ideas""","Former US Ambassador to Russia McFaul said that ""US scientists support Putin's ideas""",Manipulation
538,Фейк: Президент Бразилии рекомендовал Зеленскому сдаться,meter-false,Fake: President of Brazil recommended Zelensky to surrender,President of Brazil recommended Zelensky to surrender,Fake
539,Фейк: Американцы хотели использовать в Украине клещей в качестве биологического оружия,meter-false,Fake: Americans wanted to use ticks as biological weapons in Ukraine,Americans wanted to use ticks as biological weapons in Ukraine,Fake
540,Фейк: Россия нанесла ракетный удар в Одессе «по военным складам»,meter-false,Fake: Russia launched a missile strike in Odessa “on military depots”,Russia launched a missile strike in Odessa “on military depots”,Fake
541,Фейк: Украинским беженцам предложили пожить в бывшем концлагере Заксенхаузен в Германии,meter-false,Fake: Ukrainian refugees were offered to live in the former Sachsenhausen concentration camp in Germany,Ukrainian refugees were offered to live in the former Sachsenhausen concentration camp in Germany,Fake
542,Манипуляция: Польша получила от Киева право раздавать украинские паспорта,meter-false,Manipulation: Poland received from Kyiv the right to distribute Ukrainian passports,Poland received from Kyiv the right to distribute Ukrainian passports,Manipulation
543,Манипуляция: ООН осудила обстрел «гражданской инфраструктуры» в оккупированной Новой Каховке,meter-false,"Manipulation: the UN condemned the shelling of ""civilian infrastructure"" in the occupied Nova Kakhovka","the UN condemned the shelling of ""civilian infrastructure"" in the occupied Nova Kakhovka",Manipulation
544,Видеофейк: «Азовец» Константин «Фокс» Никитенко расстреливал на БТР мирных граждан,meter-false,Video fake: Azovets Konstantin “Fox” Nikitenko shot civilians in an armored personnel carrier,Azovets Konstantin “Fox” Nikitenko shot civilians in an armored personnel carrier,Video fake
545,"Селитра, гуманитарка и будущая кухня — как российские СМИ объясняли взрывы на складах боеприпасов...",meter-false,"Saltpeter, humanitarian aid and future cuisine - how the Russian media explained the explosions at the ammunition depots...","Saltpeter, humanitarian aid and future cuisine - how the Russian media explained the explosions at the ammunition depots...",meter-false
546,Фейк: Германия участвовала в разработке биологического оружия в Украине,meter-false,Fake: Germany participated in the development of biological weapons in Ukraine,Germany participated in the development of biological weapons in Ukraine,Fake
547,Фейк: ВС РФ нанесли ракетный удар по военной части ВСУ в Виннице,meter-false,Fake: Russian Armed Forces launched a missile attack on the military unit of the Armed Forces of Ukraine in Vinnitsa,Russian Armed Forces launched a missile attack on the military unit of the Armed Forces of Ukraine in Vinnitsa,Fake
548,Фейк: В Украине расстреливают военных за неподчинение￼,meter-false,Fake: Ukrainian soldiers are shot for insubordination￼,Ukrainian soldiers are shot for insubordination￼,Fake
549,Фейк: Россия «уничтожила два HIMARS» в Донецкой области,meter-false,"Fake: Russia ""destroyed two HIMARS"" in the Donetsk region","Russia ""destroyed two HIMARS"" in the Donetsk region",Fake
550,Манипуляция: ВСУ провалят наступление на юге Украины — The Independent,meter-false,Manipulation: Ukrainian Armed Forces will fail offensive in southern Ukraine – The Independent,Ukrainian Armed Forces will fail offensive in southern Ukraine – The Independent,Manipulation
551,Фейк: Национальная коллекция микроорганизмов Украины оказалась в руках Пентагона,meter-false,Fake: The National Collection of Microorganisms of Ukraine ended up in the hands of the Pentagon,The National Collection of Microorganisms of Ukraine ended up in the hands of the Pentagon,Fake
552,Манипуляция: ЕС боится «украинской контрабанды» оружия и наркотиков,meter-false,Manipulation: the EU is afraid of “Ukrainian smuggling” of weapons and drugs,the EU is afraid of “Ukrainian smuggling” of weapons and drugs,Manipulation
553,Фейк: В Польше планируют остаться 50% украинских беженцев￼,meter-false,Fake: 50% of Ukrainian refugees plan to stay in Poland,50% of Ukrainian refugees plan to stay in Poland,Fake
554,"Фейк: Столтенберг «проговорился», что НАТО 8 лет «готовилось к войне с Россией»",meter-false,"Fake: Stoltenberg ""lets slip"" that NATO has been ""preparing for war with Russia"" for 8 years","Stoltenberg ""lets slip"" that NATO has been ""preparing for war with Russia"" for 8 years",Fake
555,Фейк: В Германии свастику на поле  «выкосили беженцы из Украины»￼,meter-false,"Fake: In Germany, the swastika on the field was “mowed down by refugees from Ukraine”￼","In Germany, the swastika on the field was “mowed down by refugees from Ukraine”￼",Fake
556,Фейк: Дед президента Польши Анджея Дуды служил в УПА,meter-false,Fake: Grandfather of Polish President Andrzej Duda served in the UPA,Grandfather of Polish President Andrzej Duda served in the UPA,Fake
557,Фейк: Премьер-министр Венгрии Орбан назвал Зеленского идиотом,meter-false,Fake: Hungarian Prime Minister Orban called Zelensky an idiot,Hungarian Prime Minister Orban called Zelensky an idiot,Fake
558,Фейк: Власти и жители Харьковской области «хотят в состав России»,meter-false,Fake: Authorities and residents of Kharkiv region “want to join Russia”,Authorities and residents of Kharkiv region “want to join Russia”,Fake
559,Фейк: В Европарламенте «усомнились» в способности Киева выплатить долги,meter-false,"Fake: The European Parliament ""questions"" about Kyiv's ability to pay debts","The European Parliament ""questions"" about Kyiv's ability to pay debts",Fake
560,"Фейк: Армия РФ уничтожила часть бойцов, установивших флаг Украины на Змеином",meter-false,Fake: The Russian army destroyed some of the fighters who planted the flag of Ukraine on Zmein,The Russian army destroyed some of the fighters who planted the flag of Ukraine on Zmein,Fake
561,"Фейк: Запад хочет заключить срочный мирный договор с Россией, так как «Украину ждет катастрофа»...",meter-false,"Fake: The West wants to conclude an urgent peace treaty with Russia, as ""Ukraine is in for a catastrophe""...","The West wants to conclude an urgent peace treaty with Russia, as ""Ukraine is in for a catastrophe""...",Fake
562,Фейк: США «заставили» Киссинджера «отказаться от мысли» о «передаче» России украинских территорий,meter-false,"Fake: US ""forced"" Kissinger to ""give up the idea"" of ""transferring"" Ukrainian territories to Russia","US ""forced"" Kissinger to ""give up the idea"" of ""transferring"" Ukrainian territories to Russia",Fake
563,"Фейк: Анджей Дуда заявил, что Балтика теперь станет «внутренним морем НАТО»",meter-false,"Fake: Andrzej Duda said that the Baltic will now become ""NATO's inland sea""","Andrzej Duda said that the Baltic will now become ""NATO's inland sea""",Fake
564,Фейк: Украина потеряла 234 самолета и 137 вертолетов с начала спецоперации – минобороны РФ,meter-false,Fake: Ukraine has lost 234 planes and 137 helicopters since the beginning of the special operation - Russian Defense Ministry,Ukraine has lost 234 planes and 137 helicopters since the beginning of the special operation - Russian Defense Ministry,Fake
565,Фейк: Вооруженные Силы России «уничтожили» Грузинский Легион под Лисичанском,meter-false,Fake: Russian Armed Forces “destroyed” the Georgian Legion near Lisichansk,Russian Armed Forces “destroyed” the Georgian Legion near Lisichansk,Fake
566,Фейк: Многие из приехавших украинских беженцев видят в Польше «дойную корову» — польские СМИ￼,meter-false,"Fake: Many of the Ukrainian refugees who arrived see Poland as a ""cash cow"" - Polish media￼","Many of the Ukrainian refugees who arrived see Poland as a ""cash cow"" - Polish media￼",Fake
567,Манипуляция: В ООН обеспокоились «нарушениями ВСУ гуманитарного права»,meter-false,Manipulation: The UN was concerned about “violations of the Armed Forces of Ukraine of humanitarian law”,The UN was concerned about “violations of the Armed Forces of Ukraine of humanitarian law”,Manipulation
568,"Фейк: Bild сообщил, что российские военные завладели трофейной немецкой гаубицей PzH 2000",meter-false,Fake: Bild reported that the Russian military took possession of a captured German howitzer PzH 2000,Bild reported that the Russian military took possession of a captured German howitzer PzH 2000,Fake
569,Фейк: «Власти» Запорожья назвали арест российского судна в Турции «пиратством»,meter-false,Fake: “Authorities” of Zaporizhzhya called the arrest of a Russian ship in Turkey “piracy”,“Authorities” of Zaporizhzhya called the arrest of a Russian ship in Turkey “piracy”,Fake
570,Фейк: В Украине запускают производство военной формы для женщин – к грядущей мобилизации,meter-false,Fake: Production of military uniforms for women is launched in Ukraine - to the upcoming mobilization,Production of military uniforms for women is launched in Ukraine - to the upcoming mobilization,Fake
571,"Манипуляция: В Европе хранится 200 ядерных запасов, угрожающих России и Беларуси",meter-false,Manipulation: Europe has 200 nuclear stockpiles that threaten Russia and Belarus,Europe has 200 nuclear stockpiles that threaten Russia and Belarus,Manipulation
572,Фейк: Попадание российских ракет по высотке и базам отдыха в Одесской области — «постановка»...,meter-false,"Fake: Russian missiles hit high-rise buildings and recreation centers in the Odessa region - ""staging"" ...","Russian missiles hit high-rise buildings and recreation centers in the Odessa region - ""staging"" ...",Fake
573,Фейк: Украинские власти планируют «принудительно депортировать» проживающих в зонах боевых действий на Луганщине,meter-false,Fake: Ukrainian authorities plan to “forcefully deport” people living in combat zones in the Luhansk region,Ukrainian authorities plan to “forcefully deport” people living in combat zones in the Luhansk region,Fake
574,Фейк: Министр обороны Украины «объявил Третью мировую войну и призвал Запад не бояться повышать...,meter-false,Fake: The Minister of Defense of Ukraine “declared World War III and urged the West not to be afraid to increase...,The Minister of Defense of Ukraine “declared World War III and urged the West not to be afraid to increase...,Fake
575,Фейк: В Украине собираются мобилизовать всех граждан Беларуси в «полк Калиновского»,meter-false,Fake: Ukraine is going to mobilize all citizens of Belarus into the “Kalinouski regiment”,Ukraine is going to mobilize all citizens of Belarus into the “Kalinouski regiment”,Fake
576,Фейк: Судилище в «ДНР» над украинскими военнопленными похоже на Нюрнбергский процесс,meter-false,"Fake: Judgment in the ""DPR"" over Ukrainian prisoners of war is similar to the Nuremberg trials","Judgment in the ""DPR"" over Ukrainian prisoners of war is similar to the Nuremberg trials",Fake
577,Фейк: Британцы выступают за прекращение военной помощи Украине,meter-false,Fake: Brits are in favor of ending military aid to Ukraine,Brits are in favor of ending military aid to Ukraine,Fake
578,Фейк: Статус кандидата в ЕС «мало что будет значить» для Украины,meter-false,Fake: EU candidate status 'would mean little' for Ukraine,EU candidate status 'would mean little' for Ukraine,Fake
579,Фейк: Глава украинской разведки пригрозил России «терактами»,meter-false,"Fake: The head of Ukrainian intelligence threatened Russia with ""acts of terror""","The head of Ukrainian intelligence threatened Russia with ""acts of terror""",Fake
580,Манипуляция: успех России приведет к разделению территории Украины — CNN,meter-false,Manipulation: Russia's success will lead to the division of the territory of Ukraine - CNN,Russia's success will lead to the division of the territory of Ukraine - CNN,Manipulation
581,Манипуляция: Запад призвал воевать «до последнего украинца»,meter-false,"Manipulation: The West urged to fight ""until the last Ukrainian""","The West urged to fight ""until the last Ukrainian""",Manipulation
582,Фейк: Украина «готовит удар» по Приднестровью,meter-false,Fake: Ukraine is “preparing a strike” on Transnistria,Ukraine is “preparing a strike” on Transnistria,Fake
583,Фейк: Ракетная атака на ТРЦ в Кременчуге – это «провокация ВСУ»,meter-false,Fake: Rocket attack on the mall in Kremenchuk is a “provocation of the Armed Forces of Ukraine”,Rocket attack on the mall in Kremenchuk is a “provocation of the Armed Forces of Ukraine”,Fake
584,Фейк: ВСУ позаимствовали свою форму у Вермахта,meter-false,Fake: Armed Forces of Ukraine borrowed their uniforms from the Wehrmacht,Armed Forces of Ukraine borrowed their uniforms from the Wehrmacht,Fake
585,Фейк: Украинцы расклеили в бывшем концлагере Аушвиц стикеры с «русофобскими надписями»,meter-false,Fake: Ukrainians pasted stickers with “Russophobic inscriptions” in the former Auschwitz concentration camp,Ukrainians pasted stickers with “Russophobic inscriptions” in the former Auschwitz concentration camp,Fake
586,Фейк: Украина «поставит под ружье» школьников,meter-false,Fake: Ukraine will “arm” schoolchildren,Ukraine will “arm” schoolchildren,Fake
587,Фейк: Россия атаковала «высокоточными» ракетами «военные объекты» в Киеве,meter-false,Fake: Russia attacked “military facilities” in Kyiv with “high-precision” missiles,Russia attacked “military facilities” in Kyiv with “high-precision” missiles,Fake
588,Манипуляция: Большинство жителей Лисичанска ждут российскую армию￼,meter-false,Manipulation: Most residents of Lisichansk are waiting for the Russian army￼,Most residents of Lisichansk are waiting for the Russian army￼,Manipulation
589,Фейк: Российские военные захватили французские самоходные гаубицы Caesar,meter-false,Fake: Russian military captured French Caesar self-propelled howitzers,Russian military captured French Caesar self-propelled howitzers,Fake
590,"Фейк: Генерал ВВС Германии заявил, что НАТО готовится применить ядерное оружие в Украине",meter-false,Fake: German Air Force General Says NATO Prepares to Use Nuclear Weapons in Ukraine,German Air Force General Says NATO Prepares to Use Nuclear Weapons in Ukraine,Fake
591,Фейк: ВСУ «уничтожили 24 июня» элеватор с зерном в Рубежном,meter-false,Fake: Ukrainian Armed Forces “destroyed” a grain elevator in Rubizhne on June 24,Ukrainian Armed Forces “destroyed” a grain elevator in Rubizhne on June 24,Fake
592,Фейк: ЕС может депортировать украинцев для мобилизации в армию,meter-false,Fake: EU may deport Ukrainians for mobilization into the army,EU may deport Ukrainians for mobilization into the army,Fake
593,Фейк: 12 иностранных судов не могут выйти из порта Херсона из-за украинских мин,meter-false,Fake: 12 foreign ships cannot leave the port of Kherson due to Ukrainian mines,12 foreign ships cannot leave the port of Kherson due to Ukrainian mines,Fake
594,Фейк: В Одессе ВСУ выгнали больных из поликлиники и разместили рядом артиллерию ￼,meter-false,"Fake: In Odessa, the Armed Forces of Ukraine expelled patients from the clinic and placed artillery nearby ￼","In Odessa, the Armed Forces of Ukraine expelled patients from the clinic and placed artillery nearby ￼",Fake
595,Фейк: Запрет левых партий в Украине может помешать вступлению в ЕС,meter-false,Fake: Ban on left-wing parties in Ukraine could hinder EU accession,Ban on left-wing parties in Ukraine could hinder EU accession,Fake
596,Манипуляция: Санкции против России вынудили Австрию вернуться в «угольный век»,meter-false,"Manipulation: Sanctions against Russia forced Austria to return to the ""coal age""","Sanctions against Russia forced Austria to return to the ""coal age""",Manipulation
597,Фейк: НАТО строила базу в Северодонецке,meter-false,Fake: NATO was building a base in Severodonetsk,NATO was building a base in Severodonetsk,Fake
598,Фейк: В Украине запретили распространение книг на русском языке,meter-false,Fake: Distribution of books in Russian is banned in Ukraine,Distribution of books in Russian is banned in Ukraine,Fake
599,Фейк: Степана Бандеру «причислили к лику святых» – документ ПЦУ,meter-false,"Fake: Stepan Bandera ""canonized"" - OCU document","Stepan Bandera ""canonized"" - OCU document",Fake
600,Фейк: Многие страны уже отдали Украины все имеющееся оружие — постпред США при НАТО,meter-false,Fake: Many countries have already given Ukraine all their weapons - US Ambassador to NATO,Many countries have already given Ukraine all their weapons - US Ambassador to NATO,Fake
601,Манипуляция: Борис Джонсон «устал от Украины»,meter-false,Manipulation: Boris Johnson is “tired of Ukraine”,Boris Johnson is “tired of Ukraine”,Manipulation
602,Фейк: В Мариупольском драмтеатре до российского вторжения ставили только украинский репертуар,meter-false,Fake: Only Ukrainian repertoire was staged in the Mariupol Drama Theater before the Russian invasion,Only Ukrainian repertoire was staged in the Mariupol Drama Theater before the Russian invasion,Fake
603,Фейк: Великобритания решила признать так называемую «ДНР»,meter-false,"Fake: Britain decided to recognize the so-called ""DPR""","Britain decided to recognize the so-called ""DPR""",Fake
604,Фейк: В Запорожье формируют списки «добровольцев» для «защиты» от ВСУ,meter-false,Fake: Lists of “volunteers” are being formed in Zaporozhye to “protect” from the Armed Forces of Ukraine,Lists of “volunteers” are being formed in Zaporozhye to “protect” from the Armed Forces of Ukraine,Fake
605,Фейк: «Украинские националисты» сорвали эвакуацию мирного населения из Северодонецка,meter-false,"Fake: ""Ukrainian nationalists"" disrupted the evacuation of civilians from Severodonetsk","""Ukrainian nationalists"" disrupted the evacuation of civilians from Severodonetsk",Fake
606,Фейк Лаврова: ООН врет о военных преступлениях россиян в Ягодном,meter-false,Fake Lavrova: UN lies about war crimes of Russians in Yagodnoe,UN lies about war crimes of Russians in Yagodnoe,Fake Lavrova
607,Фейк: Украина просит Польшу депортировать из страны всех мужчин для отправки на фронт –...,meter-false,Fake: Ukraine asks Poland to deport all men from the country to be sent to the front -...,Ukraine asks Poland to deport all men from the country to be sent to the front -...,Fake
608,Фейк: Запад начал убеждать Украину в необходимости территориальных уступок,meter-false,Fake: The West began to convince Ukraine of the need for territorial concessions,The West began to convince Ukraine of the need for territorial concessions,Fake
609,Фейк: Министерство образования собирает информацию о выпускниках школ призывного возраста − документ,meter-false,Fake: The Ministry of Education collects information on school graduates of military age - document,The Ministry of Education collects information on school graduates of military age - document,Fake
610,Фейк: Американцы обвинили США и Украину в краже 40 миллиардов военной помощи Киеву,meter-false,Fake: Americans accuse the US and Ukraine of stealing 40 billion military aid to Kyiv,Americans accuse the US and Ukraine of stealing 40 billion military aid to Kyiv,Fake
611,Фейк: Харьковчан призывают оставлять квартиры открытыми — для доступа ВСУ,meter-false,Fake: Residents of Kharkiv are urged to leave their apartments open for access to the Armed Forces of Ukraine,Residents of Kharkiv are urged to leave their apartments open for access to the Armed Forces of Ukraine,Fake
612,Манипуляция: Немцам не понравился ультиматум Зеленского Шольцу − они выбирают Россию,meter-false,Manipulation: The Germans did not like Zelensky's ultimatum to Scholz - they choose Russia,The Germans did not like Zelensky's ultimatum to Scholz - they choose Russia,Manipulation
613,Фейк: Россия «точными ударами» уничтожила «стратегический объект» на Тернопольщине,meter-false,"Fake: Russia ""precise strikes"" destroyed a ""strategic facility"" in the Ternopil region","Russia ""precise strikes"" destroyed a ""strategic facility"" in the Ternopil region",Fake
614,Манипуляция: В США обеспокоились из-за пропажи отправленных Киеву миллиардов долларов,meter-false,"Manipulation: In the United States, they were worried about the loss of billions of dollars sent to Kyiv","In the United States, they were worried about the loss of billions of dollars sent to Kyiv",Manipulation
615,Фейк: В Украине готовятся мобилизовать женщин,meter-false,Fake: Ukraine prepares to mobilize women,Ukraine prepares to mobilize women,Fake
616,Фейк: ВОЗ «опровергла» возможность распространения холеры в Мариуполе,meter-false,"Fake: WHO ""denied"" the possibility of the spread of cholera in Mariupol","WHO ""denied"" the possibility of the spread of cholera in Mariupol",Fake
617,"Фейк: ВСУ, отступая, умышленно подожгли скит Святогорской Лавры",meter-false,"Fake: AFU, retreating, deliberately set fire to the skete of the Svyatogorsk Lavra","AFU, retreating, deliberately set fire to the skete of the Svyatogorsk Lavra",Fake
618,Фейк: Американский конгрессмен Пол Массаро призвал уничтожить Россию,meter-false,Fake: US Congressman Paul Massaro called for the destruction of Russia,US Congressman Paul Massaro called for the destruction of Russia,Fake
619,"Решение Болгарии не платить за российский газ в рублях − «поспешное», признали в правительстве",meter-false,"Bulgaria's decision not to pay for Russian gas in rubles is ""hasty"", the government acknowledged","Bulgaria's decision not to pay for Russian gas in rubles is ""hasty"", the government acknowledged",meter-false
620,"Манипуляция: Столтенберг допустил, что Украине придется пойти на «территориальные уступки ради мира»",meter-false,Manipulation: Stoltenberg admitted that Ukraine would have to make “territorial concessions for the sake of peace”,Stoltenberg admitted that Ukraine would have to make “territorial concessions for the sake of peace”,Manipulation
621,Манипуляция: Секретарь СНБО Данилов не считает потерю территорий «трагедией для Киева»,meter-false,"Manipulation: NSDC Secretary Danilov does not consider the loss of territories a ""tragedy for Kyiv""","NSDC Secretary Danilov does not consider the loss of territories a ""tragedy for Kyiv""",Manipulation
622,Фейк: Французы потребовали пожизненного заключения для Зеленского,meter-false,Fake: The French demanded a life sentence for Zelensky,The French demanded a life sentence for Zelensky,Fake
623,Фейк: Вооруженные силы РФ потопили украинский корвет «Винница»,meter-false,Fake: Russian Armed Forces Sunk Ukrainian Corvette Vinnitsa,Russian Armed Forces Sunk Ukrainian Corvette Vinnitsa,Fake
624,Фейк: «Заблокированные» на заводе «Азот» в Северодонецке украинские военные «удерживают заложников»,meter-false,"Fake: “Blocked” at the Azot plant in Severodonetsk, the Ukrainian military are “holding hostages”","“Blocked” at the Azot plant in Severodonetsk, the Ukrainian military are “holding hostages”",Fake
625,Фейк: В Северодонецке найдены документы полковника польской армии,meter-false,Fake: Documents of Polish army colonel found in Severodonetsk,Documents of Polish army colonel found in Severodonetsk,Fake
626,Фейк: Китайская делегация бойкотировала выступление Зеленского в Сингапуре,meter-false,Fake: Chinese delegation boycotted Zelensky's speech in Singapore,Chinese delegation boycotted Zelensky's speech in Singapore,Fake
627,"Фейк: Бывший омбудсмен Украины признала, что распространяла ложь о сексуальных преступлениях российских солдат",meter-false,Fake: Former Ukrainian Ombudsman Admits Spreading Lies About Russian Soldiers' Sexual Crimes,Former Ukrainian Ombudsman Admits Spreading Lies About Russian Soldiers' Sexual Crimes,Fake
628,Фейк: Украина «случайно» получила два тактических ядерных заряда от США￼,meter-false,"Fake: Ukraine ""accidentally"" received two tactical nuclear weapons from the United States￼","Ukraine ""accidentally"" received two tactical nuclear weapons from the United States￼",Fake
629,Фейк: Большинство мариупольцев поддерживают Россию — подтверждает секретный документ «Азова»,meter-false,Fake: Majority of Mariupol Residents Support Russia – Azov’s Secret Document Confirms,Majority of Mariupol Residents Support Russia – Azov’s Secret Document Confirms,Fake
630,"Манипуляция: Итальянцы вышли на протесты, требуя расследовать «преступления украинских военных»",meter-false,"Manipulation: Italians protested, demanding to investigate the ""crimes of the Ukrainian military""","Italians protested, demanding to investigate the ""crimes of the Ukrainian military""",Manipulation
631,Фейк: KFC и Booking.com разместили в Мюнхене оскорбляющую украинок рекламу,meter-false,Fake: KFC and Booking.com placed ads insulting Ukrainian women in Munich,KFC and Booking.com placed ads insulting Ukrainian women in Munich,Fake
632,Фейк: СНБО принял решение прекратить предоставление услуг связи украинскими операторами в Запорожской области,meter-false,Fake: The National Security and Defense Council decided to stop the provision of communication services by Ukrainian operators in the Zaporozhye region,The National Security and Defense Council decided to stop the provision of communication services by Ukrainian operators in the Zaporozhye region,Fake
633,Фейк: В Украине хотят ввести закон о призыве в армию с 16 лет,meter-false,"Fake: In Ukraine, they want to introduce a law on conscription into the army from the age of 16","In Ukraine, they want to introduce a law on conscription into the army from the age of 16",Fake
634,Манипуляция: В мире ожидается голод из-за санкций против российских удобрений,meter-false,Manipulation: Famine is expected in the world due to sanctions against Russian fertilizers,Famine is expected in the world due to sanctions against Russian fertilizers,Manipulation
635,Фейк: Украинские военные захватили офис ООН в Краматорске,meter-false,Fake: Ukrainian military seized the UN office in Kramatorsk,Ukrainian military seized the UN office in Kramatorsk,Fake
636,"Фейк: Байден заявил, что Украине придется отдать свои территории России для прекращения войны",meter-false,Fake: Biden Says Ukraine Will Have to Give Up Its Territories to Russia to End the War,Biden Says Ukraine Will Have to Give Up Its Territories to Russia to End the War,Fake
637,Манипуляция: Пентагон изучает захваченную российскую технику — в надежде заполучить «передовые технологии»,meter-false,"Manipulation: The Pentagon is studying captured Russian equipment - in the hope of getting ""advanced technologies""","The Pentagon is studying captured Russian equipment - in the hope of getting ""advanced technologies""",Manipulation
638,Фейк: Зеленский намерен легализовать «захват Украины поляками»,meter-false,Fake: Zelensky intends to legalize the “seizure of Ukraine by the Poles”,Zelensky intends to legalize the “seizure of Ukraine by the Poles”,Fake
639,Фейк: Украинцы массово уклоняются от мобилизации − видео ￼,meter-false,Fake: Ukrainians massively evade mobilization - video ￼,Ukrainians massively evade mobilization - video ￼,Fake
640,Фейк: Uber по всему миру отказывается перевозить украинских беженцев￼,meter-false,Fake: Uber refuses to transport Ukrainian refugees around the world￼,Uber refuses to transport Ukrainian refugees around the world￼,Fake
641,Фейк: В Мариуполе «Красный крест» собирал данные о «здоровых органах» детей,meter-false,"Fake: In Mariupol, the Red Cross collected data on the “healthy organs” of children","In Mariupol, the Red Cross collected data on the “healthy organs” of children",Fake
642,"Фейк: «Байрактар», на который литовцы собирали деньги, сбили сразу же после первого взлета￼",meter-false,"Fake: Bayraktar, for which the Lithuanians raised money, was shot down immediately after the first takeoff￼","Bayraktar, for which the Lithuanians raised money, was shot down immediately after the first takeoff￼",Fake
643,Манипуляция: Скадовск после оккупации Россией «получил доступ к воде» для посевной,meter-false,"Manipulation: Skadovsk, after being occupied by Russia, “gained access to water” for sowing","Skadovsk, after being occupied by Russia, “gained access to water” for sowing",Manipulation
644,"Фейк: ВСУ «устроили провокацию», подорвав цистерну с азотом на комбинате «Азот» в Северодонецке",meter-false,"Fake: Armed Forces of Ukraine ""staged a provocation"" by blowing up a nitrogen tank at the Azot plant in Severodonetsk","Armed Forces of Ukraine ""staged a provocation"" by blowing up a nitrogen tank at the Azot plant in Severodonetsk",Fake
